計測日時,太陽光発電(創蓄パワコン),蓄電池充電,蓄電池放電,主幹買電,主幹売電,食器洗乾燥機・キッチン,洗濯機・洗面,冷蔵庫・リビング,エアコン・リビング,エアコン・主寝室,リビング テレビ,未使用,照明・リビング,1階和室・エアコン,増設1,増設2,増設3,増設4,増設5,増設6,増設7,増設8,増設9,増設10,増設11,増設12,増設13,増設14,増設15,増設16,増設17,増設18,増設19,増設20,増設21,増設22,増設23,増設24,増設25,増設26,増設27,増設28,増設29,増設30,使用電力量,ガス使用量,水使用量,お湯使用量,燃料電池ガス使用量,補助熱源ガス使用量,燃料電池お湯使用量,補助熱源お湯使用量,燃料電池排熱回収量
20180501,-,-,-,6630,0,0,2494,2880,0,0,2110,0,336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6630,-,-,-,-,-,-,-,-
20180502,-,-,-,7842,0,200,2577,3058,0,0,3122,0,885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7842,-,-,-,-,-,-,-,-
20180503,-,-,-,7522,0,0,2507,2856,0,0,3278,0,454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7522,-,-,-,-,-,-,-,-
20180504,-,-,-,7574,0,203,2738,2549,0,0,2939,0,394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7574,-,-,-,-,-,-,-,-
20180505,-,-,-,9263,0,415,3185,2705,0,0,3445,0,1478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9263,-,-,-,-,-,-,-,-
20180506,-,-,-,8727,0,206,3772,2560,0,0,2602,0,984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8727,-,-,-,-,-,-,-,-
20180507,-,-,-,7570,0,400,2318,2971,0,0,2637,0,1169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7570,-,-,-,-,-,-,-,-
20180508,-,-,-,7376,0,205,2546,2724,0,0,2485,0,1040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7376,-,-,-,-,-,-,-,-
20180509,-,-,-,6977,0,0,2564,2839,0,0,2396,0,370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6977,-,-,-,-,-,-,-,-
20180510,-,-,-,8012,0,204,2666,2801,0,0,3036,0,973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8012,-,-,-,-,-,-,-,-
20180511,-,-,-,8834,0,614,2954,2947,0,0,3028,0,1193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8834,-,-,-,-,-,-,-,-
