計測日時,太陽光発電(創蓄パワコン),蓄電池充電,蓄電池放電,主幹買電,主幹売電,リビングエアコン,IH,エコキュート,奥様寝室エアコン,冷蔵庫,リビングTV・照明,未使用,食洗機,洗濯機,増設1,増設2,増設3,増設4,増設5,増設6,増設7,増設8,増設9,増設10,増設11,増設12,増設13,増設14,増設15,増設16,増設17,増設18,増設19,増設20,増設21,増設22,増設23,増設24,増設25,増設26,増設27,増設28,増設29,増設30,使用電力量,ガス使用量,水使用量,お湯使用量,燃料電池ガス使用量,補助熱源ガス使用量,燃料電池お湯使用量,補助熱源お湯使用量,燃料電池排熱回収量
20180601,-,-,-,28826,0,111,2174,5561,0,6506,1929,0,1511,395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28826,-,-,-,-,-,-,-,-
20180602,-,-,-,30898,0,1159,2383,5853,177,7015,2203,0,1594,797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30898,-,-,-,-,-,-,-,-
20180603,-,-,-,33164,0,2004,1838,5188,53,6841,2787,0,2713,741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33164,-,-,-,-,-,-,-,-
20180604,-,-,-,26995,0,0,1240,5945,530,6558,1271,0,978,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26995,-,-,-,-,-,-,-,-
20180605,-,-,-,25268,0,0,2188,3595,0,6798,1663,0,1625,415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25268,-,-,-,-,-,-,-,-
20180606,-,-,-,25417,0,0,1379,4671,116,6460,1531,0,1378,710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25417,-,-,-,-,-,-,-,-
20180607,-,-,-,28040,0,0,1816,4428,325,6663,1635,0,1495,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28040,-,-,-,-,-,-,-,-
20180608,-,-,-,29244,0,3150,1811,3643,245,6699,1774,0,1904,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29244,-,-,-,-,-,-,-,-
20180609,-,-,-,28326,0,2191,1708,3762,251,6698,1815,0,881,453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28326,-,-,-,-,-,-,-,-
20180610,-,-,-,32410,0,3752,2465,3387,277,7086,1893,0,2240,738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32410,-,-,-,-,-,-,-,-
20180611,-,-,-,24855,0,0,1387,4355,0,6546,1151,0,1110,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24855,-,-,-,-,-,-,-,-
20180612,-,-,-,28176,0,0,1869,4458,0,6619,1730,0,1950,697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28176,-,-,-,-,-,-,-,-
20180613,-,-,-,23693,0,0,2219,4209,0,6901,1265,0,1439,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23693,-,-,-,-,-,-,-,-
20180614,-,-,-,27178,0,0,1202,4858,0,6588,1772,0,1570,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27178,-,-,-,-,-,-,-,-
20180615,-,-,-,28178,0,0,1459,5461,0,6495,1563,0,1023,413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28178,-,-,-,-,-,-,-,-
20180616,-,-,-,24928,0,0,2345,3671,0,6579,2314,0,2077,521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24928,-,-,-,-,-,-,-,-
