計測日時,太陽光発電(創蓄パワコン),蓄電池充電,蓄電池放電,主幹買電,主幹売電,テレビ冷蔵庫洗濯機,エアコン・リビング,２階寝室エアコン,照明・リビング,電子レンジ・キッチン,照明・キッチン,未使用,エアコン・２階,照明・洗面,増設1,増設2,増設3,増設4,増設5,増設6,増設7,増設8,増設9,増設10,増設11,増設12,増設13,増設14,増設15,増設16,増設17,増設18,増設19,増設20,増設21,増設22,増設23,増設24,増設25,増設26,増設27,増設28,増設29,増設30,使用電力量,ガス使用量,水使用量,お湯使用量,燃料電池ガス使用量,補助熱源ガス使用量,燃料電池お湯使用量,補助熱源お湯使用量,燃料電池排熱回収量
20171201,-,-,-,7198,0,2842,0,19,847,482,570,0,113,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7198,-,-,-,-,-,-,-,-
20171202,-,-,-,7973,0,2904,0,43,1220,491,1767,0,2370,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7973,-,-,-,-,-,-,-,-
20171203,-,-,-,8453,0,2739,0,11,852,771,1263,0,3110,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8453,-,-,-,-,-,-,-,-
20171204,-,-,-,7677,0,2644,0,38,1143,625,1057,0,461,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7677,-,-,-,-,-,-,-,-
20171205,-,-,-,8288,0,3120,0,1668,951,659,690,0,145,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8288,-,-,-,-,-,-,-,-
20171206,-,-,-,8143,0,3511,0,1588,780,549,867,0,142,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8143,-,-,-,-,-,-,-,-
20171207,-,-,-,8407,0,3433,0,44,802,643,840,0,135,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8407,-,-,-,-,-,-,-,-
20171208,-,-,-,8980,0,3570,0,10,1073,652,494,0,66,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8980,-,-,-,-,-,-,-,-
20171209,-,-,-,9260,0,3080,0,105,1253,733,1060,0,3116,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9260,-,-,-,-,-,-,-,-
20171210,-,-,-,9605,0,2408,0,22,1922,491,1269,0,3898,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9605,-,-,-,-,-,-,-,-
