計測日時,太陽光発電(創蓄パワコン),蓄電池充電,蓄電池放電,主幹買電,主幹売電,IH,エアコン,未使用,エアコン,リビング電灯,エコキュート？,未使用,エアコン,エアコン,増設1,増設2,増設3,増設4,増設5,増設6,増設7,増設8,増設9,増設10,増設11,増設12,増設13,増設14,増設15,増設16,増設17,増設18,増設19,増設20,増設21,増設22,増設23,増設24,増設25,増設26,増設27,増設28,増設29,増設30,使用電力量,ガス使用量,水使用量,お湯使用量,燃料電池ガス使用量,補助熱源ガス使用量,燃料電池お湯使用量,補助熱源お湯使用量,燃料電池排熱回収量
20180101,-,-,-,18954,0,1360,4413,1782,0,6847,13935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18954,-,-,223,-,-,-,-,-
20180102,-,-,-,31622,0,2886,3467,7064,0,4332,26884,0,1655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31622,-,-,142,-,-,-,-,-
20180103,-,-,-,17192,0,409,2681,3016,0,3020,15728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17192,-,-,173,-,-,-,-,-
20180104,-,-,-,24891,0,451,4705,4702,0,3612,23989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24891,-,-,83,-,-,-,-,-
20180105,-,-,-,21487,0,442,7934,3465,0,2784,13409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21487,-,-,46,-,-,-,-,-
20180106,-,-,-,12996,0,455,1,3576,0,3432,12381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12996,-,-,466,-,-,-,-,-
20180107,-,-,-,28040,0,676,5250,5208,0,3130,27741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28040,-,-,172,-,-,-,-,-
20180108,-,-,-,20471,0,179,1846,4606,2728,3640,15528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20471,-,-,533,-,-,-,-,-
20180109,-,-,-,34576,0,775,1335,3454,12128,3162,27448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34576,-,-,154,-,-,-,-,-
20180110,-,-,-,40473,0,821,5815,6646,8902,3364,30120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40473,-,-,623,-,-,-,-,-
20180111,-,-,-,47267,0,388,5313,7161,15172,3010,31317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47267,-,-,247,-,-,-,-,-
20180112,-,-,-,50764,0,448,10235,8595,16874,2571,22371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50764,-,-,501,-,-,-,-,-
20180113,-,-,-,58662,0,1748,3181,19508,12961,3626,35950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58662,-,-,282,-,-,-,-,-
20180114,-,-,-,21748,0,721,1,3000,3313,2912,24818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21748,-,-,133,-,-,-,-,-
20180115,-,-,-,45711,0,1101,0,14749,13305,3604,26012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45711,-,-,562,-,-,-,-,-
20180116,-,-,-,26685,0,552,1466,7881,2601,4503,19996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26685,-,-,123,-,-,-,-,-
20180117,-,-,-,21883,0,111,680,3699,2149,4675,22774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21883,-,-,488,-,-,-,-,-
20180118,-,-,-,35817,0,488,0,11683,5971,4257,27553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35817,-,-,438,-,-,-,-,-
20180119,-,-,-,21942,0,530,0,4187,3537,3893,20561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21942,-,-,473,-,-,-,-,-
