計測日時,太陽光発電(創蓄パワコン),蓄電池充電,蓄電池放電,主幹買電,主幹売電,居間エアコン,娘寝室エアコン,1F冷蔵庫,居間TV照明・コンセント,洗濯機,電子レンジ,未使用,キッチンエアコン,2F冷蔵庫・階段照明,増設1,増設2,増設3,増設4,増設5,増設6,増設7,増設8,増設9,増設10,増設11,増設12,増設13,増設14,増設15,増設16,増設17,増設18,増設19,増設20,増設21,増設22,増設23,増設24,増設25,増設26,増設27,増設28,増設29,増設30,使用電力量,ガス使用量,水使用量,お湯使用量,燃料電池ガス使用量,補助熱源ガス使用量,燃料電池お湯使用量,補助熱源お湯使用量,燃料電池排熱回収量
20180601,-,-,-,3053,0,0,0,1152,63,1078,40,0,0,489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3053,-,-,-,-,-,-,-,-
20180602,-,-,-,8723,0,0,0,4050,623,1750,317,0,0,1684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8723,-,-,-,-,-,-,-,-
20180603,-,-,-,12078,0,0,0,5194,2267,2072,156,0,0,1988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12078,-,-,-,-,-,-,-,-
20180604,-,-,-,13252,0,0,0,5692,1488,3201,15,0,0,2179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13252,-,-,-,-,-,-,-,-
20180605,-,-,-,5678,0,0,0,2777,581,1140,0,0,0,928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5678,-,-,-,-,-,-,-,-
20180606,-,-,-,16625,0,0,0,5639,2496,5927,82,0,0,2154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16625,-,-,-,-,-,-,-,-
20180607,-,-,-,10843,0,596,0,4167,1391,2364,96,0,0,1821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10843,-,-,-,-,-,-,-,-
20180608,-,-,-,12020,0,1674,0,4066,605,3369,102,0,0,1772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12020,-,-,-,-,-,-,-,-
20180609,-,-,-,13742,0,1152,0,5289,1810,2778,373,0,0,1891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13742,-,-,-,-,-,-,-,-
20180610,-,-,-,10255,0,2292,0,3447,1468,1320,243,0,0,1247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10255,-,-,-,-,-,-,-,-
20180611,-,-,-,14528,0,171,0,5385,1770,3934,513,0,0,2104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14528,-,-,-,-,-,-,-,-
20180612,-,-,-,2544,0,15,0,1196,209,506,0,0,0,453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2544,-,-,-,-,-,-,-,-
20180613,-,-,-,1304,0,0,0,529,225,236,50,0,0,211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1304,-,-,-,-,-,-,-,-
20180614,-,-,-,9467,0,0,0,4188,1397,1808,51,0,0,1701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9467,-,-,-,-,-,-,-,-
20180615,-,-,-,13477,0,0,0,6851,2040,1978,84,0,0,2138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13477,-,-,-,-,-,-,-,-
20180616,-,-,-,13757,0,0,0,5996,2079,3007,0,0,0,2242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13757,-,-,-,-,-,-,-,-
20180617,-,-,-,14420,0,0,0,5641,2745,3658,74,0,0,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14420,-,-,-,-,-,-,-,-
20180618,-,-,-,12579,0,1156,0,5130,1113,2052,372,0,0,2148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12579,-,-,-,-,-,-,-,-
20180619,-,-,-,16693,0,3032,0,5489,2898,2206,459,0,0,2081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16693,-,-,-,-,-,-,-,-
20180620,-,-,-,17618,0,2076,0,5540,1327,5004,643,0,0,2260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17618,-,-,-,-,-,-,-,-
20180621,-,-,-,14274,0,0,0,6200,2179,2264,817,0,0,2272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14274,-,-,-,-,-,-,-,-
20180622,-,-,-,3084,0,0,0,1319,630,569,0,0,0,483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3084,-,-,-,-,-,-,-,-
20180623,-,-,-,795,0,0,0,519,1,115,0,0,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,795,-,-,-,-,-,-,-,-
20180624,-,-,-,7555,0,1321,0,2034,1547,1772,0,0,0,789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7555,-,-,-,-,-,-,-,-
20180625,-,-,-,4855,0,639,0,1314,854,1285,0,0,0,655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4855,-,-,-,-,-,-,-,-
20180626,-,-,-,11262,0,2447,0,3589,663,1790,397,0,0,1764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11262,-,-,-,-,-,-,-,-
20180627,-,-,-,16405,0,4500,0,5295,1125,2134,458,0,0,2156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16405,-,-,-,-,-,-,-,-
20180628,-,-,-,20957,0,5236,0,5731,1555,5486,374,0,0,2078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20957,-,-,-,-,-,-,-,-
20180629,-,-,-,12369,0,2233,0,4017,1417,2227,392,0,0,1636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12369,-,-,-,-,-,-,-,-
20180630,-,-,-,20257,0,3222,0,6012,1789,5703,558,0,0,2267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20257,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
