計測日時,太陽光発電(創蓄パワコン),蓄電池充電,蓄電池放電,主幹買電,主幹売電,リビングエアコン,IH,エコキュート,キッチン電源・洗濯機,冷蔵庫,浴室乾燥機,未使用,2F照明,和室照明,増設1,増設2,増設3,増設4,増設5,増設6,増設7,増設8,増設9,増設10,増設11,増設12,増設13,増設14,増設15,増設16,増設17,増設18,増設19,増設20,増設21,増設22,増設23,増設24,増設25,増設26,増設27,増設28,増設29,増設30,使用電力量,ガス使用量,水使用量,お湯使用量,燃料電池ガス使用量,補助熱源ガス使用量,燃料電池お湯使用量,補助熱源お湯使用量,燃料電池排熱回収量
20180401,-,-,-,12701,0,0,1395,4113,3132,2497,35,0,167,423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12701,-,-,-,-,-,-,-,-
20180402,-,-,-,12220,0,0,1205,4208,2934,2160,23,0,332,365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12220,-,-,-,-,-,-,-,-
20180403,-,-,-,11733,0,0,1526,3608,2978,2219,36,0,141,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11733,-,-,-,-,-,-,-,-
20180404,-,-,-,11806,0,0,1470,3701,2953,2539,0,0,115,362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11806,-,-,-,-,-,-,-,-
20180405,-,-,-,12405,0,0,2147,3485,2884,2371,33,0,53,376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12405,-,-,-,-,-,-,-,-
20180406,-,-,-,13018,0,0,865,3100,4093,2361,882,0,20,420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13018,-,-,-,-,-,-,-,-
20180407,-,-,-,14859,0,0,1462,5142,4060,1921,371,0,8,499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14859,-,-,-,-,-,-,-,-
20180408,-,-,-,18082,0,0,2426,7837,3902,1830,333,0,30,593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18082,-,-,-,-,-,-,-,-
20180409,-,-,-,14980,0,0,2485,4717,3423,2137,411,0,28,539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14980,-,-,-,-,-,-,-,-
20180410,-,-,-,13361,0,0,1870,4452,3255,2307,37,0,54,459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13361,-,-,-,-,-,-,-,-
20180411,-,-,-,12881,0,0,1450,4613,2979,2402,14,0,61,443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12881,-,-,-,-,-,-,-,-
20180412,-,-,-,11409,0,0,1190,3731,2829,2347,27,0,96,349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11409,-,-,-,-,-,-,-,-
20180413,-,-,-,13000,0,0,1439,4855,2994,2217,40,0,8,386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13000,-,-,-,-,-,-,-,-
20180414,-,-,-,17216,0,0,1064,8044,3408,2205,957,0,225,370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17216,-,-,-,-,-,-,-,-
20180415,-,-,-,14830,0,0,993,6654,3473,2316,5,0,35,409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14830,-,-,-,-,-,-,-,-
20180416,-,-,-,14451,0,0,1453,5479,3461,2151,41,0,16,362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14451,-,-,-,-,-,-,-,-
20180417,-,-,-,14410,0,0,1096,6067,3262,1975,372,0,12,405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14410,-,-,-,-,-,-,-,-
20180418,-,-,-,13118,0,0,1230,4509,3671,2122,15,0,140,407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13118,-,-,-,-,-,-,-,-
20180419,-,-,-,14544,0,0,1609,6188,3103,2173,47,0,84,443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14544,-,-,-,-,-,-,-,-
20180420,-,-,-,14390,0,0,2191,5231,3249,2290,20,0,84,435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14390,-,-,-,-,-,-,-,-
20180421,-,-,-,10203,0,0,1799,1945,2711,2375,4,0,95,368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10203,-,-,-,-,-,-,-,-
20180422,-,-,-,11310,0,0,1209,2879,2886,2801,1,0,160,357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11310,-,-,-,-,-,-,-,-
20180423,-,-,-,10591,0,0,976,3045,2748,2392,2,0,223,355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10591,-,-,-,-,-,-,-,-
20180424,-,-,-,11281,0,0,1314,3009,3369,2218,1,0,85,341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11281,-,-,-,-,-,-,-,-
20180425,-,-,-,11158,0,0,1118,3457,3289,1886,13,0,41,401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11158,-,-,-,-,-,-,-,-
20180426,-,-,-,12276,0,0,1027,4532,3155,2192,9,0,45,392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12276,-,-,-,-,-,-,-,-
