計測日時,太陽光発電(創蓄パワコン),蓄電池充電,蓄電池放電,主幹買電,主幹売電,リビングAC・200V,IHヒーター・200V,主寝室AC,キッチンAC,冷蔵庫・キッチン電灯コン,洗濯機・居間TV電灯コン,未使用,2F電灯コンセント,井戸ポンプ・ボイラー,無効1,無効2,無効3,無効4,無効5,無効6,無効7,無効8,無効9,無効10,無効11,無効12,無効13,無効14,無効15,無効16,無効17,無効18,無効19,無効20,無効21,無効22,無効23,無効24,無効25,無効26,無効27,無効28,無効29,無効30,使用電力量,ガス使用量,水使用量,お湯使用量,燃料電池ガス使用量,補助熱源ガス使用量,燃料電池お湯使用量,補助熱源お湯使用量,燃料電池排熱回収量
20180201,-,-,-,19383,0,0,759,0,0,2560,2350,0,1852,657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19383,-,-,-,-,-,-,-,-
20180202,-,-,-,22008,0,0,974,0,0,2864,2282,0,1762,780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22008,-,-,-,-,-,-,-,-
20180203,-,-,-,17285,0,0,600,0,0,3056,2802,0,1598,619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17285,-,-,-,-,-,-,-,-
20180204,-,-,-,21314,0,0,850,0,0,2999,4762,0,1641,691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21314,-,-,-,-,-,-,-,-
20180205,-,-,-,20952,0,0,1611,0,0,3055,2422,0,1891,718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20952,-,-,-,-,-,-,-,-
20180206,-,-,-,11847,0,0,368,0,0,1691,1021,0,1220,367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11847,-,-,-,-,-,-,-,-
20180207,-,-,-,5969,0,0,0,0,0,1186,926,0,928,1306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5969,-,-,-,-,-,-,-,-
20180208,-,-,-,6600,0,0,132,0,0,1250,1306,0,1179,1175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6600,-,-,-,-,-,-,-,-
20180209,-,-,-,11520,0,0,0,0,0,1539,2940,0,837,501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11520,-,-,-,-,-,-,-,-
20180210,-,-,-,20619,0,4418,607,0,0,2712,3277,0,1244,795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20619,-,-,-,-,-,-,-,-
