計測日時,太陽光発電(創蓄パワコン),蓄電池充電,蓄電池放電,主幹買電,主幹売電,リビングエアコン,主寝室エアコン・食洗機,リビングTV1・2,リビング照明,冷蔵庫,妹部屋エアコン,未使用,息子部屋エアコン,洗濯機,増設1,増設2,増設3,増設4,増設5,増設6,増設7,増設8,増設9,増設10,増設11,増設12,増設13,増設14,増設15,増設16,増設17,増設18,増設19,増設20,増設21,増設22,増設23,増設24,増設25,増設26,増設27,増設28,増設29,増設30,使用電力量,ガス使用量,水使用量,お湯使用量,燃料電池ガス使用量,補助熱源ガス使用量,燃料電池お湯使用量,補助熱源お湯使用量,燃料電池排熱回収量
20180401,-,-,-,14693,0,0,0,7198,167,2153,7,0,0,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14693,-,-,-,-,-,-,-,-
20180402,-,-,-,13105,0,0,0,6255,235,2224,107,0,0,301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13105,-,-,-,-,-,-,-,-
20180403,-,-,-,13050,0,0,0,6313,352,2265,20,0,0,218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13050,-,-,-,-,-,-,-,-
20180404,-,-,-,13177,0,0,0,6548,390,2126,27,0,0,211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13177,-,-,-,-,-,-,-,-
20180405,-,-,-,11529,0,0,0,5210,323,2103,11,0,0,292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11529,-,-,-,-,-,-,-,-
20180406,-,-,-,11659,0,0,0,4980,142,2195,139,0,0,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11659,-,-,-,-,-,-,-,-
20180407,-,-,-,18666,0,0,0,7650,350,2322,2756,0,0,241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18666,-,-,-,-,-,-,-,-
20180408,-,-,-,19041,0,0,0,7374,290,2678,3057,0,1045,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19041,-,-,-,-,-,-,-,-
20180409,-,-,-,10827,0,0,0,5043,171,1959,13,0,146,345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10827,-,-,-,-,-,-,-,-
20180410,-,-,-,11556,0,0,0,5466,243,2057,5,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11556,-,-,-,-,-,-,-,-
20180411,-,-,-,11516,0,0,0,5120,220,2170,11,0,0,269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11516,-,-,-,-,-,-,-,-
20180412,-,-,-,11503,0,0,0,5600,152,2025,9,0,0,371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11503,-,-,-,-,-,-,-,-
20180413,-,-,-,12770,0,0,0,5860,276,2194,31,0,0,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12770,-,-,-,-,-,-,-,-
20180414,-,-,-,10251,0,0,0,5430,519,1919,28,0,0,247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10251,-,-,-,-,-,-,-,-
20180415,-,-,-,14469,0,0,0,7467,523,2393,0,0,0,228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14469,-,-,-,-,-,-,-,-
20180416,-,-,-,10740,0,0,0,5210,276,1984,0,0,0,326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10740,-,-,-,-,-,-,-,-
20180417,-,-,-,13606,0,1987,0,5218,244,1812,935,0,0,257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13606,-,-,-,-,-,-,-,-
20180418,-,-,-,10546,0,0,0,4704,230,1707,483,0,0,346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10546,-,-,-,-,-,-,-,-
20180419,-,-,-,10563,0,0,0,4834,106,1800,0,0,0,291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10563,-,-,-,-,-,-,-,-
20180420,-,-,-,10773,0,0,0,4869,233,1887,0,0,0,224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10773,-,-,-,-,-,-,-,-
20180421,-,-,-,9989,0,0,0,4871,175,1944,0,0,0,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9989,-,-,-,-,-,-,-,-
20180422,-,-,-,14363,0,0,0,7899,318,2412,0,0,0,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14363,-,-,-,-,-,-,-,-
20180423,-,-,-,10336,0,0,0,5355,144,2018,0,0,0,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10336,-,-,-,-,-,-,-,-
20180424,-,-,-,9982,0,0,0,4749,214,1895,0,0,0,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9982,-,-,-,-,-,-,-,-
20180425,-,-,-,13300,0,2729,0,5594,328,1749,0,0,0,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13300,-,-,-,-,-,-,-,-
20180426,-,-,-,11400,0,0,0,5853,133,1848,0,0,0,356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11400,-,-,-,-,-,-,-,-
20180427,-,-,-,10804,0,0,0,5183,199,1913,0,0,0,254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10804,-,-,-,-,-,-,-,-
20180428,-,-,-,12104,0,0,0,7024,95,1795,0,0,0,249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12104,-,-,-,-,-,-,-,-
20180429,-,-,-,11745,0,0,0,6356,127,2028,0,0,0,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11745,-,-,-,-,-,-,-,-
20180430,-,-,-,12754,0,0,0,7121,124,2185,0,0,0,305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12754,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
