計測日時,太陽光発電(創蓄パワコン),蓄電池充電,蓄電池放電,主幹買電,主幹売電,食器乾燥機冷蔵庫,未使用,未使用,未使用,エアコン・リビング,エアコン・和室,未使用,リビング・照明・テレビ,和室玄関ローカ照明,増設1,増設2,増設3,増設4,増設5,増設6,増設7,増設8,増設9,増設10,増設11,増設12,増設13,増設14,増設15,増設16,増設17,増設18,増設19,増設20,増設21,増設22,増設23,増設24,増設25,増設26,増設27,増設28,増設29,増設30,使用電力量,ガス使用量,水使用量,お湯使用量,燃料電池ガス使用量,補助熱源ガス使用量,燃料電池お湯使用量,補助熱源お湯使用量,燃料電池排熱回収量
20180601,-,-,-,8340,0,3959,0,0,0,0,0,0,4255,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8340,-,-,-,-,-,-,-,-
20180602,-,-,-,8380,0,3460,0,0,0,0,0,0,4803,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8380,-,-,-,-,-,-,-,-
20180603,-,-,-,7976,0,4321,0,0,0,0,0,0,3524,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7976,-,-,-,-,-,-,-,-
20180604,-,-,-,8339,0,4464,0,0,0,0,0,0,3738,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8339,-,-,-,-,-,-,-,-
20180605,-,-,-,8875,0,3595,0,0,0,0,0,0,4694,448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8875,-,-,-,-,-,-,-,-
20180606,-,-,-,9942,0,3728,0,0,0,0,0,0,6054,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9942,-,-,-,-,-,-,-,-
20180607,-,-,-,8395,0,3978,0,0,0,0,0,0,4094,217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8395,-,-,-,-,-,-,-,-
20180608,-,-,-,9990,0,4645,0,0,0,0,0,0,5168,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9990,-,-,-,-,-,-,-,-
20180609,-,-,-,10661,0,4360,0,0,0,504,1268,0,4330,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10661,-,-,-,-,-,-,-,-
20180610,-,-,-,12085,0,4780,0,0,0,1297,0,0,5815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12085,-,-,-,-,-,-,-,-
20180611,-,-,-,10864,0,4478,0,0,0,0,0,0,6199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10864,-,-,-,-,-,-,-,-
20180612,-,-,-,7952,0,3955,0,0,0,0,0,0,3893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7952,-,-,-,-,-,-,-,-
20180613,-,-,-,7935,0,3702,0,0,0,0,0,0,4063,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7935,-,-,-,-,-,-,-,-
20180614,-,-,-,9158,0,4062,0,0,0,0,0,0,4933,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9158,-,-,-,-,-,-,-,-
20180615,-,-,-,9105,0,4271,0,0,0,0,0,0,4710,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9105,-,-,-,-,-,-,-,-
20180616,-,-,-,9735,0,4412,0,0,0,0,0,0,5004,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9735,-,-,-,-,-,-,-,-
20180617,-,-,-,10429,0,4770,0,0,0,1791,0,0,3728,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10429,-,-,-,-,-,-,-,-
20180618,-,-,-,8911,0,4114,0,0,0,794,0,0,3896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8911,-,-,-,-,-,-,-,-
20180619,-,-,-,8108,0,3505,0,0,0,0,0,0,4476,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8108,-,-,-,-,-,-,-,-
20180620,-,-,-,10317,0,4137,0,0,0,935,0,0,5088,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10317,-,-,-,-,-,-,-,-
20180621,-,-,-,9227,0,4049,0,0,0,928,0,0,4111,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9227,-,-,-,-,-,-,-,-
20180622,-,-,-,10451,0,4397,0,0,0,1593,0,0,4313,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10451,-,-,-,-,-,-,-,-
20180623,-,-,-,9421,0,3954,0,0,0,942,0,0,4389,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9421,-,-,-,-,-,-,-,-
