計測日時,太陽光発電(創蓄パワコン),蓄電池充電,蓄電池放電,主幹買電,主幹売電,増設部屋エアコン,IHヒーター,エコキュート,LDKエアコン,不明,リビング照明,未使用,廊下・照明,未使用,増設1,増設2,増設3,増設4,増設5,増設6,増設7,増設8,増設9,増設10,増設11,増設12,増設13,増設14,増設15,増設16,増設17,増設18,増設19,増設20,増設21,増設22,増設23,増設24,増設25,増設26,増設27,増設28,増設29,増設30,使用電力量,ガス使用量,水使用量,お湯使用量,燃料電池ガス使用量,補助熱源ガス使用量,燃料電池お湯使用量,補助熱源お湯使用量,燃料電池排熱回収量
20180301,-,-,-,27279,0,0,1062,8236,4440,31,7666,0,1690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27279,-,-,490,-,-,-,-,-
20180302,-,-,-,24522,0,0,854,9732,345,271,7743,0,1666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24522,-,-,535,-,-,-,-,-
20180303,-,-,-,19323,0,0,967,4092,843,352,7765,0,1689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19323,-,-,498,-,-,-,-,-
20180304,-,-,-,25118,0,0,1013,8138,1704,6,8622,0,1932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25118,-,-,373,-,-,-,-,-
20180305,-,-,-,18988,0,0,1102,3564,0,255,7868,0,1910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18988,-,-,433,-,-,-,-,-
20180306,-,-,-,25801,0,0,768,9295,2498,322,7550,0,1776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25801,-,-,365,-,-,-,-,-
20180307,-,-,-,19031,0,0,858,4905,906,268,7101,0,1904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19031,-,-,381,-,-,-,-,-
20180308,-,-,-,24597,0,0,1749,7427,2943,79,7692,0,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24597,-,-,444,-,-,-,-,-
20180309,-,-,-,26912,0,0,1196,6251,5195,519,8459,0,1479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26912,-,-,611,-,-,-,-,-
20180310,-,-,-,26703,0,0,1175,11587,626,718,7434,0,1800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26703,-,-,448,-,-,-,-,-
20180311,-,-,-,24645,0,0,987,6584,390,702,8118,0,2156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24645,-,-,373,-,-,-,-,-
20180312,-,-,-,24863,0,0,1189,10137,980,295,7595,0,1687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24863,-,-,305,-,-,-,-,-
20180313,-,-,-,18913,0,0,912,4306,1852,126,7631,0,1765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18913,-,-,410,-,-,-,-,-
20180314,-,-,-,24204,0,0,1065,7922,2332,2,8122,0,1719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24204,-,-,540,-,-,-,-,-
20180315,-,-,-,23333,0,0,1486,7288,1769,199,7593,0,1474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23333,-,-,103,-,-,-,-,-
20180316,-,-,-,17731,0,0,1812,1835,334,488,7389,0,1686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17731,-,-,390,-,-,-,-,-
