計測日時,太陽光発電(創蓄パワコン),蓄電池充電,蓄電池放電,主幹買電,主幹売電,洗濯機・洗面,冷蔵庫・キッチン,エコキュート,エアコン・リビング,エアコン・和室１,リビング・照明・電源TV,未使用,キッチン・照明・電源,電子レンジ・キッチン,増設1,増設2,増設3,増設4,増設5,増設6,増設7,増設8,増設9,増設10,増設11,増設12,増設13,増設14,増設15,増設16,増設17,増設18,増設19,増設20,増設21,増設22,増設23,増設24,増設25,増設26,増設27,増設28,増設29,増設30,使用電力量,ガス使用量,水使用量,お湯使用量,燃料電池ガス使用量,補助熱源ガス使用量,燃料電池お湯使用量,補助熱源お湯使用量,燃料電池排熱回収量
20180101,-,-,-,22699,0,440,1542,13997,3024,0,995,0,1516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22699,-,-,-,-,-,-,-,-
20180102,-,-,-,21554,0,426,1592,13450,1191,0,1458,0,2225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21554,-,-,-,-,-,-,-,-
20180103,-,-,-,18915,0,448,1480,11896,0,0,1638,0,2273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18915,-,-,-,-,-,-,-,-
20180104,-,-,-,15940,0,380,1601,10805,0,0,236,0,1745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15940,-,-,-,-,-,-,-,-
20180105,-,-,-,14132,0,190,1551,3310,6197,0,426,0,1198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14132,-,-,-,-,-,-,-,-
20180106,-,-,-,18580,0,194,1447,3506,9844,0,960,0,1039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18580,-,-,-,-,-,-,-,-
20180107,-,-,-,21314,0,217,1396,6497,10569,0,224,0,1130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21314,-,-,-,-,-,-,-,-
20180108,-,-,-,10042,0,179,1442,4272,0,0,681,0,2376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10042,-,-,-,-,-,-,-,-
20180109,-,-,-,9924,0,378,1499,5624,0,0,50,0,1517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9924,-,-,-,-,-,-,-,-
20180110,-,-,-,9811,0,207,1356,4633,1327,0,24,0,1450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9811,-,-,-,-,-,-,-,-
20180111,-,-,-,12404,0,220,1337,5511,2615,0,185,0,1650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12404,-,-,-,-,-,-,-,-
20180112,-,-,-,15611,0,381,1367,11148,0,0,342,0,1416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15611,-,-,-,-,-,-,-,-
20180113,-,-,-,18895,0,265,1369,4545,9841,0,444,0,1450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18895,-,-,-,-,-,-,-,-
20180114,-,-,-,12565,0,220,1326,5790,2499,0,62,0,1876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12565,-,-,-,-,-,-,-,-
20180115,-,-,-,18682,0,223,1430,5176,9165,0,368,0,1443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18682,-,-,-,-,-,-,-,-
20180116,-,-,-,17067,0,325,1451,4760,7417,0,560,0,1524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17067,-,-,-,-,-,-,-,-
20180117,-,-,-,10614,0,192,1306,6890,0,0,215,0,1382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10614,-,-,-,-,-,-,-,-
20180118,-,-,-,22710,0,177,1550,2430,15096,0,923,0,1587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22710,-,-,-,-,-,-,-,-
20180119,-,-,-,11960,0,202,1419,3796,3542,0,560,0,1584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11960,-,-,-,-,-,-,-,-
20180120,-,-,-,16606,0,193,1493,6028,5992,0,714,0,1301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16606,-,-,-,-,-,-,-,-
20180121,-,-,-,8569,0,188,1436,3649,1068,0,71,0,1377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8569,-,-,-,-,-,-,-,-
20180122,-,-,-,13208,0,195,1542,4293,4156,0,630,0,1407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13208,-,-,-,-,-,-,-,-
20180123,-,-,-,11224,0,274,1674,6217,0,0,724,0,1343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11224,-,-,-,-,-,-,-,-
20180124,-,-,-,13866,0,296,1484,7534,1924,0,45,0,1641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13866,-,-,-,-,-,-,-,-
20180125,-,-,-,11565,0,259,1367,4974,2362,0,273,0,1345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11565,-,-,-,-,-,-,-,-
20180126,-,-,-,15243,0,236,1369,6171,4751,0,196,0,1443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15243,-,-,-,-,-,-,-,-
20180127,-,-,-,9279,0,233,1315,5431,0,0,53,0,1293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9279,-,-,-,-,-,-,-,-
20180128,-,-,-,29668,0,229,1365,5323,18803,0,1412,0,1517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29668,-,-,-,-,-,-,-,-
20180129,-,-,-,18340,0,223,1474,5722,7793,0,546,0,1584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18340,-,-,-,-,-,-,-,-
20180130,-,-,-,22336,0,393,1466,6755,10642,0,667,0,1391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22336,-,-,-,-,-,-,-,-
20180131,-,-,-,25427,0,254,1466,8240,12224,0,635,0,1523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25427,-,-,-,-,-,-,-,-
