計測日時,太陽光発電(創蓄パワコン),蓄電池充電,蓄電池放電,主幹買電,主幹売電,電子レンジ,和室クーラー,2階クーラー,洋室クーラー,2階電灯コンセント,キッチン冷蔵庫,未使用,洋室照明,電子レンジ予備用,増設1,増設2,増設3,増設4,増設5,増設6,増設7,増設8,増設9,増設10,増設11,増設12,増設13,増設14,増設15,増設16,増設17,増設18,増設19,増設20,増設21,増設22,増設23,増設24,増設25,増設26,増設27,増設28,増設29,増設30,使用電力量,ガス使用量,水使用量,お湯使用量,燃料電池ガス使用量,補助熱源ガス使用量,燃料電池お湯使用量,補助熱源お湯使用量,燃料電池排熱回収量
20171201,-,-,-,8115,0,332,0,0,0,317,1977,0,2731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8115,-,-,-,-,-,-,-,-
20171202,-,-,-,5995,0,259,0,0,0,7,1392,0,1958,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5995,-,-,-,-,-,-,-,-
20171203,-,-,-,8870,0,500,0,0,0,19,2201,0,3701,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8870,-,-,-,-,-,-,-,-
20171204,-,-,-,8378,0,521,0,0,0,190,2404,0,2866,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8378,-,-,-,-,-,-,-,-
20171205,-,-,-,9015,0,400,0,0,0,177,2245,0,3879,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9015,-,-,-,-,-,-,-,-
20171206,-,-,-,9194,0,655,0,0,0,68,2214,0,4131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9194,-,-,-,-,-,-,-,-
20171207,-,-,-,7726,0,322,0,0,0,48,1975,0,2988,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7726,-,-,-,-,-,-,-,-
20171208,-,-,-,8575,0,406,0,0,0,101,1987,0,3537,233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8575,-,-,-,-,-,-,-,-
20171209,-,-,-,6147,0,279,0,0,0,12,1412,0,2201,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6147,-,-,-,-,-,-,-,-
20171210,-,-,-,7728,0,340,0,0,0,48,1671,0,3443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7728,-,-,-,-,-,-,-,-
20171211,-,-,-,8937,0,325,0,0,0,52,1822,0,4657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8937,-,-,-,-,-,-,-,-
20171212,-,-,-,8588,0,320,0,0,0,162,1826,0,4115,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8588,-,-,-,-,-,-,-,-
20171213,-,-,-,9717,0,237,0,0,0,28,1665,0,5496,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9717,-,-,-,-,-,-,-,-
20171214,-,-,-,9411,0,331,0,0,0,9,1586,0,5449,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9411,-,-,-,-,-,-,-,-
20171215,-,-,-,8469,0,375,0,0,0,102,1617,0,4036,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8469,-,-,-,-,-,-,-,-
20171216,-,-,-,11157,0,647,0,0,0,146,1921,0,6425,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11157,-,-,-,-,-,-,-,-
20171217,-,-,-,12523,0,377,0,0,0,65,1957,0,8182,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12523,-,-,-,-,-,-,-,-
