計測日時,太陽光発電(創蓄パワコン),蓄電池充電,蓄電池放電,主幹買電,主幹売電,リビングエアコン,IH,エコキュート,キッチン電源・洗濯機,冷蔵庫,浴室乾燥機,未使用,2F照明,和室照明,増設1,増設2,増設3,増設4,増設5,増設6,増設7,増設8,増設9,増設10,増設11,増設12,増設13,増設14,増設15,増設16,増設17,増設18,増設19,増設20,増設21,増設22,増設23,増設24,増設25,増設26,増設27,増設28,増設29,増設30,使用電力量,ガス使用量,水使用量,お湯使用量,燃料電池ガス使用量,補助熱源ガス使用量,燃料電池お湯使用量,補助熱源お湯使用量,燃料電池排熱回収量
20180101,-,-,-,26969,0,0,1029,11022,5885,1672,834,0,3721,1327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26969,-,-,-,-,-,-,-,-
20180102,-,-,-,26951,0,1472,2124,11812,4690,1543,618,0,2001,1039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26951,-,-,-,-,-,-,-,-
20180103,-,-,-,28820,0,0,1505,12464,4694,1737,776,0,5295,804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28820,-,-,-,-,-,-,-,-
20180104,-,-,-,23800,0,0,1643,10119,4827,1871,613,0,2000,1166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23800,-,-,-,-,-,-,-,-
20180105,-,-,-,23508,0,0,1612,9423,5002,1702,787,0,2620,884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23508,-,-,-,-,-,-,-,-
20180106,-,-,-,21354,0,0,1001,10235,4538,1506,462,0,1137,1072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21354,-,-,-,-,-,-,-,-
20180107,-,-,-,23887,0,0,1457,9830,4521,1862,685,0,3464,874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23887,-,-,-,-,-,-,-,-
20180108,-,-,-,19421,0,0,1247,7273,4886,1777,555,0,1552,780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19421,-,-,-,-,-,-,-,-
20180109,-,-,-,24150,0,1266,1364,9640,4114,1722,657,0,2668,769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24150,-,-,-,-,-,-,-,-
20180110,-,-,-,28003,0,0,2164,12651,5647,1713,1016,0,1997,841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28003,-,-,-,-,-,-,-,-
