計測日時,太陽光発電(創蓄パワコン),蓄電池充電,蓄電池放電,主幹買電,主幹売電,リビングAC,和室AC,冷蔵庫①新,冷蔵庫②旧・電子レンジ,居間TV・キッチン電灯コ,洗濯機,未使用,和室電灯コンセント・TV,不明,増設1,増設2,増設3,増設4,増設5,増設6,増設7,増設8,増設9,増設10,増設11,増設12,増設13,増設14,増設15,増設16,増設17,増設18,増設19,増設20,増設21,増設22,増設23,増設24,増設25,増設26,増設27,増設28,増設29,増設30,使用電力量,ガス使用量,水使用量,お湯使用量,燃料電池ガス使用量,補助熱源ガス使用量,燃料電池お湯使用量,補助熱源お湯使用量,燃料電池排熱回収量
20171201,-,-,-,13522,0,5546,0,293,1581,4722,152,0,689,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13522,-,-,-,-,-,-,-,-
20171202,-,-,-,16013,0,7879,0,324,1473,4784,194,0,598,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16013,-,-,-,-,-,-,-,-
20171203,-,-,-,15514,0,5995,0,286,1620,6414,66,0,553,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15514,-,-,-,-,-,-,-,-
20171204,-,-,-,17498,0,8749,0,281,1825,5473,77,0,559,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17498,-,-,-,-,-,-,-,-
20171205,-,-,-,11060,0,3393,0,312,1616,4474,0,0,585,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11060,-,-,-,-,-,-,-,-
20171206,-,-,-,16203,0,7927,0,337,1690,4933,36,0,678,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16203,-,-,-,-,-,-,-,-
20171207,-,-,-,18743,0,10040,0,323,1502,5590,0,0,616,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18743,-,-,-,-,-,-,-,-
20171208,-,-,-,10420,0,89,0,322,1771,6730,84,0,553,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10420,-,-,-,-,-,-,-,-
20171209,-,-,-,23576,0,10433,0,338,1831,9342,285,0,677,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23576,-,-,-,-,-,-,-,-
20171210,-,-,-,14445,0,3284,0,315,1584,7749,190,0,566,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14445,-,-,-,-,-,-,-,-
20171211,-,-,-,14825,0,5138,0,320,1388,6537,72,0,710,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14825,-,-,-,-,-,-,-,-
20171212,-,-,-,15105,0,5112,0,508,1169,6804,83,0,542,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15105,-,-,-,-,-,-,-,-
20171213,-,-,-,17386,0,5374,0,531,1358,7865,216,0,524,717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17386,-,-,-,-,-,-,-,-
20171214,-,-,-,18997,0,3785,0,509,1801,9192,0,0,668,2540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18997,-,-,-,-,-,-,-,-
20171215,-,-,-,13355,0,809,0,470,1905,7684,140,0,583,1234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13355,-,-,-,-,-,-,-,-
20171216,-,-,-,18939,0,7248,0,461,1710,8245,140,0,604,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18939,-,-,-,-,-,-,-,-
