計測日時,太陽光発電(創蓄パワコン),蓄電池充電,蓄電池放電,主幹買電,主幹売電,リビングAC,IHヒーター,電気温水器,寝室AC,キッチン電灯・冷蔵庫,リビング電灯・TV,未使用,食洗機,洗濯機,増設1,増設2,増設3,増設4,増設5,増設6,増設7,増設8,増設9,増設10,増設11,増設12,増設13,増設14,増設15,増設16,増設17,増設18,増設19,増設20,増設21,増設22,増設23,増設24,増設25,増設26,増設27,増設28,増設29,増設30,使用電力量,ガス使用量,水使用量,お湯使用量,燃料電池ガス使用量,補助熱源ガス使用量,燃料電池お湯使用量,補助熱源お湯使用量,燃料電池排熱回収量
20180101,-,-,-,34493,0,7676,0,12045,0,2214,5909,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34493,-,-,-,-,-,-,-,-
20180102,-,-,-,45486,0,5836,0,23172,0,2775,5305,0,1373,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45486,-,-,-,-,-,-,-,-
20180103,-,-,-,39790,0,4227,0,22959,0,2221,3456,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39790,-,-,-,-,-,-,-,-
20180104,-,-,-,45719,0,6752,444,20970,0,3761,5747,0,485,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45719,-,-,-,-,-,-,-,-
20180105,-,-,-,44074,0,3837,781,21574,0,3569,3891,0,0,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44074,-,-,-,-,-,-,-,-
20180106,-,-,-,37204,0,3474,258,19850,0,3026,4560,0,568,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37204,-,-,-,-,-,-,-,-
20180107,-,-,-,38401,0,6834,159,14499,0,2997,6174,0,423,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38401,-,-,-,-,-,-,-,-
20180108,-,-,-,39904,0,2234,152,22518,0,3299,3692,0,569,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39904,-,-,-,-,-,-,-,-
20180109,-,-,-,39747,0,4499,533,20020,0,3226,4630,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39747,-,-,-,-,-,-,-,-
20180110,-,-,-,42331,0,6607,572,20693,0,3167,3287,0,924,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42331,-,-,-,-,-,-,-,-
20180111,-,-,-,47371,0,8103,838,21827,0,3285,5349,0,376,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47371,-,-,-,-,-,-,-,-
20180112,-,-,-,44864,0,7074,197,24478,0,2941,3601,0,69,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44864,-,-,-,-,-,-,-,-
20180113,-,-,-,48180,0,7767,843,22491,0,2995,5664,0,1027,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48180,-,-,-,-,-,-,-,-
20180114,-,-,-,43360,0,5331,277,21555,0,3241,4613,0,390,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43360,-,-,-,-,-,-,-,-
20180115,-,-,-,50471,0,8124,676,24056,0,3111,6519,0,72,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50471,-,-,-,-,-,-,-,-
20180116,-,-,-,49656,0,5353,666,26127,0,3389,4406,0,551,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49656,-,-,-,-,-,-,-,-
20180117,-,-,-,45127,0,3165,950,22302,0,4041,5241,0,415,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45127,-,-,-,-,-,-,-,-
20180118,-,-,-,41129,0,2771,896,20781,0,3647,5535,0,489,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41129,-,-,-,-,-,-,-,-
20180119,-,-,-,38246,0,3171,474,21043,0,3685,3748,0,486,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38246,-,-,-,-,-,-,-,-
20180120,-,-,-,42003,0,4661,212,20710,0,2752,4851,0,468,221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42003,-,-,-,-,-,-,-,-
20180121,-,-,-,49625,0,5615,563,27107,0,2883,5814,0,1045,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49625,-,-,-,-,-,-,-,-
20180122,-,-,-,46063,0,5474,661,20593,0,3161,4888,0,0,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46063,-,-,-,-,-,-,-,-
