計測日時,太陽光発電(創蓄パワコン),蓄電池充電,蓄電池放電,主幹買電,主幹売電,リビング TV 電灯,食器洗乾燥機・キッチン,エアコン・主寝室,エアコン・リビング,キッチン・冷蔵庫 照明,洗濯機・洗面,未使用,キッチン・炊飯器,電子レンジ,増設1,増設2,増設3,増設4,増設5,増設6,増設7,増設8,増設9,増設10,増設11,増設12,増設13,増設14,増設15,増設16,増設17,増設18,増設19,増設20,増設21,増設22,増設23,増設24,増設25,増設26,増設27,増設28,増設29,増設30,使用電力量,ガス使用量,水使用量,お湯使用量,燃料電池ガス使用量,補助熱源ガス使用量,燃料電池お湯使用量,補助熱源お湯使用量,燃料電池排熱回収量
201801011330+0900,-,-,-,1245,0,306,0,0,0,147,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1245,-,-,-,-,-,-,-,-
201801011400+0900,-,-,-,559,0,323,0,0,0,46,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,559,-,-,-,-,-,-,-,-
201801011430+0900,-,-,-,498,0,317,0,0,0,46,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,498,-,-,-,-,-,-,-,-
201801011500+0900,-,-,-,958,0,808,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,958,-,-,-,-,-,-,-,-
201801011530+0900,-,-,-,1028,0,807,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1028,-,-,-,-,-,-,-,-
201801011600+0900,-,-,-,1117,0,802,0,0,0,128,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1117,-,-,-,-,-,-,-,-
201801011630+0900,-,-,-,1933,0,823,0,0,0,84,4,0,0,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1933,-,-,-,-,-,-,-,-
201801011700+0900,-,-,-,1867,0,809,0,0,0,91,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1867,-,-,-,-,-,-,-,-
201801011730+0900,-,-,-,1475,0,792,0,0,0,72,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1475,-,-,-,-,-,-,-,-
201801011800+0900,-,-,-,1997,0,791,49,0,0,72,663,0,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1997,-,-,-,-,-,-,-,-
