計測日時,太陽光発電(創蓄パワコン),蓄電池充電,蓄電池放電,主幹買電,主幹売電,居間AC・TV・冷蔵・レ,居間灯・寝室灯・冷蔵庫2,未使用,未使用,洋室電灯コンセント・TV,洋室AC,未使用,不明,不明,増設1,増設2,増設3,増設4,増設5,増設6,増設7,増設8,増設9,増設10,増設11,増設12,増設13,増設14,増設15,増設16,増設17,増設18,増設19,増設20,増設21,増設22,増設23,増設24,増設25,増設26,増設27,増設28,増設29,増設30,使用電力量,ガス使用量,水使用量,お湯使用量,燃料電池ガス使用量,補助熱源ガス使用量,燃料電池お湯使用量,補助熱源お湯使用量,燃料電池排熱回収量
20180601,-,-,-,9923,0,8221,1060,0,0,55,0,0,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9923,-,-,-,-,-,-,-,-
20180602,-,-,-,10779,0,8863,1094,0,0,39,0,0,0,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10779,-,-,-,-,-,-,-,-
20180603,-,-,-,10691,0,8222,1422,0,0,62,0,0,0,335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10691,-,-,-,-,-,-,-,-
20180604,-,-,-,8273,0,6460,898,0,0,21,0,0,0,343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8273,-,-,-,-,-,-,-,-
20180605,-,-,-,11408,0,9460,1202,0,0,35,0,0,0,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11408,-,-,-,-,-,-,-,-
20180606,-,-,-,9460,0,7571,1048,0,0,24,0,0,0,339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9460,-,-,-,-,-,-,-,-
20180607,-,-,-,11881,0,10397,812,0,0,89,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11881,-,-,-,-,-,-,-,-
20180608,-,-,-,10713,0,9098,896,0,0,94,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10713,-,-,-,-,-,-,-,-
20180609,-,-,-,11870,0,9899,856,0,0,125,0,0,0,323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11870,-,-,-,-,-,-,-,-
20180610,-,-,-,13475,0,9494,2513,0,0,685,0,0,0,277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13475,-,-,-,-,-,-,-,-
20180611,-,-,-,11486,0,9541,989,0,0,102,0,0,0,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11486,-,-,-,-,-,-,-,-
20180612,-,-,-,10504,0,8795,906,0,0,40,0,0,0,306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10504,-,-,-,-,-,-,-,-
20180613,-,-,-,11450,0,9136,1514,0,0,40,0,0,0,269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11450,-,-,-,-,-,-,-,-
20180614,-,-,-,8662,0,7014,1036,0,0,33,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8662,-,-,-,-,-,-,-,-
20180615,-,-,-,9684,0,7452,1107,0,0,63,0,0,0,420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9684,-,-,-,-,-,-,-,-
20180616,-,-,-,10193,0,7683,1107,0,0,32,0,0,0,726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10193,-,-,-,-,-,-,-,-
