計測日時,太陽光発電(創蓄パワコン),蓄電池充電,蓄電池放電,主幹買電,主幹売電,リビング台所AC,洋室AC 玄関,台所浴室 電灯コンセント,座敷リビング 電灯,洋室 玄関 WC 電灯,寝室 AC,未使用,座敷 AC,温風ヒーター,増設1,増設2,増設3,増設4,増設5,増設6,増設7,増設8,増設9,増設10,増設11,増設12,増設13,増設14,増設15,増設16,増設17,増設18,増設19,増設20,増設21,増設22,増設23,増設24,増設25,増設26,増設27,増設28,増設29,増設30,使用電力量,ガス使用量,水使用量,お湯使用量,燃料電池ガス使用量,補助熱源ガス使用量,燃料電池お湯使用量,補助熱源お湯使用量,燃料電池排熱回収量
20171201,-,-,-,23956,0,5890,0,4834,4592,133,8057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23956,-,-,-,-,-,-,-,-
20171202,-,-,-,34368,0,7265,0,5692,4699,848,15325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34368,-,-,-,-,-,-,-,-
20171203,-,-,-,24238,0,4773,0,5012,5068,285,8685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24238,-,-,-,-,-,-,-,-
20171204,-,-,-,24280,0,6038,0,5199,4105,337,7496,0,706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24280,-,-,-,-,-,-,-,-
20171205,-,-,-,30280,0,9097,0,6757,3510,166,10292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30280,-,-,-,-,-,-,-,-
20171206,-,-,-,26682,0,7258,0,5425,4077,1018,8474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26682,-,-,-,-,-,-,-,-
20171207,-,-,-,32400,0,6753,0,5460,4952,774,8545,0,5496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32400,-,-,-,-,-,-,-,-
20171208,-,-,-,25256,0,2192,0,9201,4569,152,8784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25256,-,-,-,-,-,-,-,-
20171209,-,-,-,23559,0,2290,0,8931,3562,67,8306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23559,-,-,-,-,-,-,-,-
20171210,-,-,-,44276,0,13388,0,11499,4868,976,8033,0,5143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44276,-,-,-,-,-,-,-,-
20171211,-,-,-,38554,0,8663,0,10450,3672,915,9732,0,4753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38554,-,-,-,-,-,-,-,-
20171212,-,-,-,55211,0,15181,0,13391,4895,937,13949,0,6423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55211,-,-,-,-,-,-,-,-
20171213,-,-,-,47479,0,10546,0,11428,4317,841,14193,0,5677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47479,-,-,-,-,-,-,-,-
20171214,-,-,-,34349,0,7623,0,11659,3827,326,10573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34349,-,-,-,-,-,-,-,-
20171215,-,-,-,23893,0,2155,0,9373,3357,164,8503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23893,-,-,-,-,-,-,-,-
20171216,-,-,-,20037,0,0,0,8410,2545,98,8573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20037,-,-,-,-,-,-,-,-
