計測日時,太陽光発電(創蓄パワコン),蓄電池充電,蓄電池放電,主幹買電,主幹売電,食器洗乾燥機・キッチン,洗濯機冷蔵庫,冷蔵庫・キッチン,リビング・エアコンTV,エアコン・主寝室,キッチンリビング・照明,未使用,エアコン・和室,照明・洋室,増設1,増設2,増設3,増設4,増設5,増設6,増設7,増設8,増設9,増設10,増設11,増設12,増設13,増設14,増設15,増設16,増設17,増設18,増設19,増設20,増設21,増設22,増設23,増設24,増設25,増設26,増設27,増設28,増設29,増設30,使用電力量,ガス使用量,水使用量,お湯使用量,燃料電池ガス使用量,補助熱源ガス使用量,燃料電池お湯使用量,補助熱源お湯使用量,燃料電池排熱回収量
20171001,-,-,-,8179,0,771,910,1573,2942,2,3340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8179,-,-,-,-,-,-,-,-
20171002,-,-,-,9905,0,662,1133,1751,3429,176,4403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9905,-,-,-,-,-,-,-,-
20171003,-,-,-,8179,0,687,1224,1963,2417,75,2843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8179,-,-,-,-,-,-,-,-
20171004,-,-,-,8847,0,953,1157,1815,3580,144,2523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8847,-,-,-,-,-,-,-,-
20171005,-,-,-,8145,0,649,1101,1659,2654,175,2836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8145,-,-,-,-,-,-,-,-
20171006,-,-,-,9045,0,777,1154,1847,3066,103,3598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9045,-,-,-,-,-,-,-,-
20171007,-,-,-,8722,0,829,1215,2136,2238,66,3464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8722,-,-,-,-,-,-,-,-
20171008,-,-,-,10112,0,672,1392,2081,3870,2,3733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10112,-,-,-,-,-,-,-,-
20171009,-,-,-,10017,0,537,1262,2238,3569,1,3429,0,0,568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10017,-,-,-,-,-,-,-,-
20171010,-,-,-,8283,0,883,1267,2141,2051,40,2496,0,0,291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8283,-,-,-,-,-,-,-,-
20171011,-,-,-,8909,0,334,1205,2175,2242,160,3018,0,0,793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8909,-,-,-,-,-,-,-,-
20171012,-,-,-,8296,0,218,1349,1984,2265,101,2744,0,0,426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8296,-,-,-,-,-,-,-,-
20171013,-,-,-,9337,0,723,1184,1857,3221,155,3494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9337,-,-,-,-,-,-,-,-
20171014,-,-,-,7340,0,482,1086,1728,1913,121,2897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7340,-,-,-,-,-,-,-,-
20171015,-,-,-,9311,0,998,988,1663,3426,194,3625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9311,-,-,-,-,-,-,-,-
20171016,-,-,-,8264,0,797,1126,1614,2519,123,3129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8264,-,-,-,-,-,-,-,-
20171017,-,-,-,9536,0,942,1089,1453,4112,127,3326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9536,-,-,-,-,-,-,-,-
20171018,-,-,-,7335,0,689,1065,1543,1628,207,3104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7335,-,-,-,-,-,-,-,-
20171019,-,-,-,9150,0,726,968,1773,3656,147,3257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9150,-,-,-,-,-,-,-,-
20171020,-,-,-,8946,0,564,873,1641,3958,108,3115,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8946,-,-,-,-,-,-,-,-
20171021,-,-,-,10019,0,418,1051,1568,3075,158,5409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10019,-,-,-,-,-,-,-,-
20171022,-,-,-,9707,0,579,984,1364,4899,112,3487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9707,-,-,-,-,-,-,-,-
20171023,-,-,-,8824,0,636,1016,1484,3726,24,2587,0,0,457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8824,-,-,-,-,-,-,-,-
20171024,-,-,-,10625,0,659,1022,1352,5459,114,2468,0,0,1118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10625,-,-,-,-,-,-,-,-
20171025,-,-,-,9915,0,674,991,1297,4512,159,2922,0,0,1048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9915,-,-,-,-,-,-,-,-
20171026,-,-,-,10055,0,766,938,1305,4432,129,3140,0,0,962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10055,-,-,-,-,-,-,-,-
20171027,-,-,-,7434,0,683,950,1409,2669,222,2239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7434,-,-,-,-,-,-,-,-
20171028,-,-,-,10486,0,731,971,1440,4134,410,4480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10486,-,-,-,-,-,-,-,-
20171029,-,-,-,9843,0,958,991,1680,4012,227,3703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9843,-,-,-,-,-,-,-,-
20171030,-,-,-,11394,0,581,1000,1354,5980,121,3030,0,0,1102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11394,-,-,-,-,-,-,-,-
20171031,-,-,-,12929,0,568,948,1462,7022,231,4557,0,0,640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12929,-,-,-,-,-,-,-,-
