計測日時,太陽光発電(創蓄パワコン),蓄電池充電,蓄電池放電,主幹買電,主幹売電,未使用,洋室１廊下　照明・電源,作業場　事務所,リビング　エアコン　TV,電子レンジ　冷蔵庫,未使用,未使用,未使用,未使用,増設1,増設2,増設3,増設4,増設5,増設6,増設7,増設8,増設9,増設10,増設11,増設12,増設13,増設14,増設15,増設16,増設17,増設18,増設19,増設20,増設21,増設22,増設23,増設24,増設25,増設26,増設27,増設28,増設29,増設30,使用電力量,ガス使用量,水使用量,お湯使用量,燃料電池ガス使用量,補助熱源ガス使用量,燃料電池お湯使用量,補助熱源お湯使用量,燃料電池排熱回収量
20180101,-,-,-,16581,0,0,2232,5093,4632,1871,2458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16581,-,-,-,-,-,-,-,-
20180102,-,-,-,13370,0,0,2342,3174,3325,1686,2384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13370,-,-,-,-,-,-,-,-
20180103,-,-,-,11650,0,0,2125,3077,2546,1297,2234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11650,-,-,-,-,-,-,-,-
20180104,-,-,-,13608,0,0,2576,3949,2852,1519,2403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13608,-,-,-,-,-,-,-,-
20180105,-,-,-,20184,0,0,3269,8368,3062,1748,3605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20184,-,-,-,-,-,-,-,-
20180106,-,-,-,19813,0,0,2513,8982,2850,1544,3801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19813,-,-,-,-,-,-,-,-
20180107,-,-,-,13208,0,0,2113,3243,3345,1849,2368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13208,-,-,-,-,-,-,-,-
20180108,-,-,-,11845,0,0,1884,3160,2752,1519,2197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11845,-,-,-,-,-,-,-,-
20180109,-,-,-,20611,0,0,2153,9549,3144,1773,3894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20611,-,-,-,-,-,-,-,-
20180110,-,-,-,17709,0,0,1989,8137,3089,1595,2787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17709,-,-,-,-,-,-,-,-
20180111,-,-,-,18501,0,0,2403,8933,3016,1455,2645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18501,-,-,-,-,-,-,-,-
20180112,-,-,-,20108,0,0,2609,9405,3594,1402,3116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20108,-,-,-,-,-,-,-,-
20180113,-,-,-,21572,0,0,2865,9515,3307,1800,4007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21572,-,-,-,-,-,-,-,-
