計測日時,太陽光発電(創蓄パワコン),蓄電池充電,蓄電池放電,主幹買電,主幹売電,リビング TV 電灯,食器洗乾燥機・キッチン,エアコン・主寝室,エアコン・リビング,キッチン・冷蔵庫 照明,洗濯機・洗面,未使用,キッチン・炊飯器,電子レンジ,増設1,増設2,増設3,増設4,増設5,増設6,増設7,増設8,増設9,増設10,増設11,増設12,増設13,増設14,増設15,増設16,増設17,増設18,増設19,増設20,増設21,増設22,増設23,増設24,増設25,増設26,増設27,増設28,増設29,増設30,使用電力量,ガス使用量,水使用量,お湯使用量,燃料電池ガス使用量,補助熱源ガス使用量,燃料電池お湯使用量,補助熱源お湯使用量,燃料電池排熱回収量
201712101630+0900,-,-,-,638,0,306,0,0,0,59,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,638,-,-,-,-,-,-,-,-
201712101700+0900,-,-,-,890,0,295,50,0,0,94,134,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,890,-,-,-,-,-,-,-,-
201712101730+0900,-,-,-,839,0,293,37,0,0,109,104,0,13,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,839,-,-,-,-,-,-,-,-
201712101800+0900,-,-,-,533,0,102,8,0,0,82,112,0,13,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,533,-,-,-,-,-,-,-,-
201712101830+0900,-,-,-,1045,0,106,0,0,0,81,575,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1045,-,-,-,-,-,-,-,-
201712101900+0900,-,-,-,1217,0,106,35,0,0,80,729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1217,-,-,-,-,-,-,-,-
201712101930+0900,-,-,-,734,0,104,49,0,0,117,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,734,-,-,-,-,-,-,-,-
201712102000+0900,-,-,-,540,0,105,16,0,0,49,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,540,-,-,-,-,-,-,-,-
201712102030+0900,-,-,-,682,0,222,0,0,0,52,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,682,-,-,-,-,-,-,-,-
201712102100+0900,-,-,-,1282,0,302,0,0,0,63,647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1282,-,-,-,-,-,-,-,-
201712102130+0900,-,-,-,1488,0,304,0,11,0,61,679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1488,-,-,-,-,-,-,-,-
201712102200+0900,-,-,-,2270,0,296,0,421,0,49,495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2270,-,-,-,-,-,-,-,-
201712102230+0900,-,-,-,1643,0,251,0,425,0,49,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1643,-,-,-,-,-,-,-,-
201712102300+0900,-,-,-,1020,0,245,0,39,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1020,-,-,-,-,-,-,-,-
201712102330+0900,-,-,-,951,0,247,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,951,-,-,-,-,-,-,-,-
