計測日時,太陽光発電(創蓄パワコン),蓄電池充電,蓄電池放電,主幹買電,主幹売電,リビングエアコン,主寝室エアコン,LTV・照明・K冷蔵庫,洗濯機・冷蔵庫2・納戸,電子レンジ・炊飯器,2F電灯,未使用,2F東エアコン,2F西エアコン,増設1,増設2,増設3,増設4,増設5,増設6,増設7,増設8,増設9,増設10,増設11,増設12,増設13,増設14,増設15,増設16,増設17,増設18,増設19,増設20,増設21,増設22,増設23,増設24,増設25,増設26,増設27,増設28,増設29,増設30,使用電力量,ガス使用量,水使用量,お湯使用量,燃料電池ガス使用量,補助熱源ガス使用量,燃料電池お湯使用量,補助熱源お湯使用量,燃料電池排熱回収量
20180101,-,-,-,12697,0,0,995,5478,5244,489,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12697,-,-,-,-,-,-,-,-
20180102,-,-,-,13118,0,0,0,5661,6447,584,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13118,-,-,-,-,-,-,-,-
20180103,-,-,-,12012,0,0,1217,5783,3758,721,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12012,-,-,-,-,-,-,-,-
20180104,-,-,-,12242,0,0,834,4831,5723,441,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12242,-,-,-,-,-,-,-,-
20180105,-,-,-,9345,0,0,720,4896,2591,659,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9345,-,-,-,-,-,-,-,-
20180106,-,-,-,9026,0,0,1164,4516,2197,593,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9026,-,-,-,-,-,-,-,-
20180107,-,-,-,11891,0,0,3619,4394,2866,560,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11891,-,-,-,-,-,-,-,-
20180108,-,-,-,11958,0,0,615,4658,5777,415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11958,-,-,-,-,-,-,-,-
20180109,-,-,-,11741,0,0,854,4337,5379,661,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11741,-,-,-,-,-,-,-,-
20180110,-,-,-,16475,0,0,1234,5500,8719,581,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16475,-,-,-,-,-,-,-,-
20180111,-,-,-,12842,0,0,1999,5081,4607,617,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12842,-,-,-,-,-,-,-,-
20180112,-,-,-,11236,0,0,0,3741,6705,374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11236,-,-,-,-,-,-,-,-
20180113,-,-,-,10810,0,0,1374,3939,4681,367,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10810,-,-,-,-,-,-,-,-
20180114,-,-,-,11321,0,0,1445,4839,4077,433,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11321,-,-,-,-,-,-,-,-
20180115,-,-,-,14858,0,0,1655,4842,7621,367,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14858,-,-,-,-,-,-,-,-
20180116,-,-,-,10626,0,0,601,4062,4991,583,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10626,-,-,-,-,-,-,-,-
20180117,-,-,-,7620,0,0,0,3541,3193,328,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7620,-,-,-,-,-,-,-,-
20180118,-,-,-,8364,0,0,0,3421,3971,416,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8364,-,-,-,-,-,-,-,-
