計測日時,太陽光発電(創蓄パワコン),蓄電池充電,蓄電池放電,主幹買電,主幹売電,IHヒーター,エアコン,エコキュート,リビング照明 冷蔵庫,特定5,洗濯機 テレビ 照明,未使用,洋室コンセント,特定8,増設1,増設2,増設3,増設4,増設5,増設6,増設7,増設8,増設9,増設10,増設11,増設12,増設13,増設14,増設15,増設16,増設17,増設18,増設19,増設20,増設21,増設22,増設23,増設24,増設25,増設26,増設27,増設28,増設29,増設30,使用電力量,ガス使用量,水使用量,お湯使用量,燃料電池ガス使用量,補助熱源ガス使用量,燃料電池お湯使用量,補助熱源お湯使用量,燃料電池排熱回収量
20180501,-,-,-,21236,0,0,103,7115,2205,279,8721,0,2232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21236,-,-,429,-,-,-,-,-
20180502,-,-,-,18584,0,1460,0,4936,2445,449,6612,0,2076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18584,-,-,879,-,-,-,-,-
20180503,-,-,-,22394,0,151,158,9372,2840,715,6480,0,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22394,-,-,757,-,-,-,-,-
20180504,-,-,-,17845,0,152,210,9123,2067,149,3542,0,1953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17845,-,-,397,-,-,-,-,-
20180505,-,-,-,17645,0,907,183,4009,2546,373,6886,0,2081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17645,-,-,732,-,-,-,-,-
20180506,-,-,-,25204,0,660,0,9970,3014,1271,7678,0,2028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25204,-,-,719,-,-,-,-,-
20180507,-,-,-,16792,0,68,0,4749,2170,391,6697,0,2134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16792,-,-,749,-,-,-,-,-
20180508,-,-,-,17346,0,512,59,7232,1903,881,3987,0,2095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17346,-,-,601,-,-,-,-,-
20180509,-,-,-,9692,0,140,289,2481,1582,181,2240,0,2092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9692,-,-,666,-,-,-,-,-
20180510,-,-,-,19803,0,977,215,9636,1718,646,4040,0,1860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19803,-,-,605,-,-,-,-,-
20180511,-,-,-,14324,0,0,176,5295,1456,660,4045,0,1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14324,-,-,691,-,-,-,-,-
20180512,-,-,-,17336,0,852,114,5653,2749,1456,3659,0,2253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17336,-,-,614,-,-,-,-,-
20180513,-,-,-,20471,0,1592,0,7094,2734,1162,5274,0,1982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20471,-,-,987,-,-,-,-,-
20180514,-,-,-,20169,0,546,0,5631,2466,901,7905,0,2093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20169,-,-,462,-,-,-,-,-
20180515,-,-,-,15381,0,87,0,3009,1996,288,7056,0,2319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15381,-,-,785,-,-,-,-,-
20180516,-,-,-,17476,0,187,0,7863,2166,14,4559,0,2113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17476,-,-,782,-,-,-,-,-
20180517,-,-,-,20411,0,2322,0,4294,2756,411,7675,0,2322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20411,-,-,675,-,-,-,-,-
20180518,-,-,-,14310,0,107,0,4512,2309,708,3907,0,2244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14310,-,-,386,-,-,-,-,-
20180519,-,-,-,19588,0,1165,0,3330,2883,586,8935,0,2036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19588,-,-,539,-,-,-,-,-
20180520,-,-,-,15814,0,187,0,5768,2233,181,4841,0,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15814,-,-,584,-,-,-,-,-
20180521,-,-,-,13087,0,0,0,4032,1998,124,3855,0,2515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13087,-,-,411,-,-,-,-,-
20180522,-,-,-,14053,0,454,0,4709,2120,0,3981,0,2226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14053,-,-,594,-,-,-,-,-
20180523,-,-,-,16532,0,475,0,4142,1999,183,6979,0,2105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16532,-,-,668,-,-,-,-,-
20180524,-,-,-,19350,0,1520,0,4828,2311,494,6969,0,2598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19350,-,-,643,-,-,-,-,-
20180525,-,-,-,21723,0,1084,0,5473,2630,674,9101,0,2160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21723,-,-,552,-,-,-,-,-
20180526,-,-,-,14780,0,1087,0,2182,2487,635,5530,0,2288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14780,-,-,664,-,-,-,-,-
20180527,-,-,-,15818,0,129,0,6582,2407,1179,2862,0,2113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15818,-,-,756,-,-,-,-,-
20180528,-,-,-,16229,0,862,0,4650,3027,497,4167,0,2497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16229,-,-,502,-,-,-,-,-
20180529,-,-,-,14477,0,1556,0,3367,2071,638,4050,0,2219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14477,-,-,487,-,-,-,-,-
20180530,-,-,-,15421,0,244,0,3915,2600,867,4961,0,2279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15421,-,-,719,-,-,-,-,-
20180531,-,-,-,18682,0,1550,0,3189,4706,1091,5139,0,2401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18682,-,-,387,-,-,-,-,-
