計測日時,太陽光発電(創蓄パワコン),蓄電池充電,蓄電池放電,主幹買電,主幹売電,IHヒーター,エアコン,エコキュート,リビング照明 冷蔵庫,特定5,洗濯機 テレビ 照明,未使用,洋室コンセント,特定8,増設1,増設2,増設3,増設4,増設5,増設6,増設7,増設8,増設9,増設10,増設11,増設12,増設13,増設14,増設15,増設16,増設17,増設18,増設19,増設20,増設21,増設22,増設23,増設24,増設25,増設26,増設27,増設28,増設29,増設30,使用電力量,ガス使用量,水使用量,お湯使用量,燃料電池ガス使用量,補助熱源ガス使用量,燃料電池お湯使用量,補助熱源お湯使用量,燃料電池排熱回収量
20180301,-,-,-,22651,0,833,548,6049,4051,657,7685,0,2141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22651,-,-,-,-,-,-,-,-
20180302,-,-,-,23975,0,423,543,9851,3614,129,6532,0,2105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23975,-,-,-,-,-,-,-,-
20180303,-,-,-,24704,0,75,539,11583,4433,0,5470,0,1980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24704,-,-,-,-,-,-,-,-
20180304,-,-,-,17154,0,0,257,8657,2485,0,2974,0,2082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17154,-,-,-,-,-,-,-,-
20180305,-,-,-,23349,0,501,266,8904,4861,752,5328,0,2137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23349,-,-,-,-,-,-,-,-
20180306,-,-,-,17944,0,93,537,7634,3061,741,3443,0,1852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17944,-,-,-,-,-,-,-,-
20180307,-,-,-,21112,0,1552,453,6201,3134,662,5941,0,2476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21112,-,-,274,-,-,-,-,-
20180308,-,-,-,25560,0,873,535,8169,3034,718,9414,0,2119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25560,-,-,703,-,-,-,-,-
20180309,-,-,-,30431,0,64,536,13190,3845,842,9309,0,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30431,-,-,960,-,-,-,-,-
20180310,-,-,-,21117,0,499,541,8236,3036,272,5483,0,2330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21117,-,-,533,-,-,-,-,-
20180311,-,-,-,24999,0,666,550,12905,3086,44,5044,0,1915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24999,-,-,562,-,-,-,-,-
20180312,-,-,-,20545,0,0,537,8121,3374,0,5672,0,2208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20545,-,-,633,-,-,-,-,-
