計測日時,太陽光発電(創蓄パワコン),蓄電池充電,蓄電池放電,主幹買電,主幹売電,K電源 L照明TV 洗濯,キッチンエアコン,200V和室エアコン,2Fエアコン,主寝室エアコン,リビングエアコン,未使用,未使用,小屋,増設1,増設2,増設3,増設4,増設5,増設6,増設7,増設8,増設9,増設10,増設11,増設12,増設13,増設14,増設15,増設16,増設17,増設18,増設19,増設20,増設21,増設22,増設23,増設24,増設25,増設26,増設27,増設28,増設29,増設30,使用電力量,ガス使用量,水使用量,お湯使用量,燃料電池ガス使用量,補助熱源ガス使用量,燃料電池お湯使用量,補助熱源お湯使用量,燃料電池排熱回収量
20180201,-,-,-,33015,0,9278,0,0,6760,6563,5747,0,0,4099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33015,-,-,-,-,-,-,-,-
20180202,-,-,-,24511,0,10597,0,0,0,3940,5288,0,0,4113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24511,-,-,-,-,-,-,-,-
20180203,-,-,-,28399,0,10509,0,0,5292,4137,5269,0,0,2428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28399,-,-,-,-,-,-,-,-
20180204,-,-,-,33586,0,9999,0,0,179,10325,10257,0,0,2316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33586,-,-,-,-,-,-,-,-
20180205,-,-,-,47125,0,11646,0,0,9933,10592,10012,0,0,4302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47125,-,-,-,-,-,-,-,-
20180206,-,-,-,43555,0,11501,0,0,8244,7673,10821,0,0,4681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43555,-,-,-,-,-,-,-,-
20180207,-,-,-,34451,0,9862,0,0,8348,4857,7214,0,0,3668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34451,-,-,-,-,-,-,-,-
20180208,-,-,-,28555,0,9857,0,0,8389,1288,5622,0,0,2814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28555,-,-,-,-,-,-,-,-
20180209,-,-,-,24038,0,9341,0,0,6562,950,1698,0,0,4033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24038,-,-,-,-,-,-,-,-
20180210,-,-,-,31398,0,9363,0,0,2904,11479,3516,0,0,3292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31398,-,-,-,-,-,-,-,-
20180211,-,-,-,33401,0,10150,0,0,5658,3129,10193,0,0,3046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33401,-,-,-,-,-,-,-,-
20180212,-,-,-,40459,0,9978,0,0,7836,9646,7992,0,0,4492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40459,-,-,-,-,-,-,-,-
20180213,-,-,-,32829,0,11101,0,0,6546,4052,6711,0,0,3880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32829,-,-,-,-,-,-,-,-
20180214,-,-,-,27930,0,10157,0,0,6427,2593,4981,0,0,3352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27930,-,-,-,-,-,-,-,-
20180215,-,-,-,28173,0,10391,0,0,2381,6151,4786,0,0,4010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28173,-,-,-,-,-,-,-,-
20180216,-,-,-,28764,0,9377,0,0,0,10031,4971,0,0,3932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28764,-,-,-,-,-,-,-,-
