計測日時,太陽光発電(創蓄パワコン),蓄電池充電,蓄電池放電,主幹買電,主幹売電,太陽光発電,IH,エコキュート,主寝室AC,冷蔵庫,LDK・電灯コンセント,未使用,食洗機,洗濯機,増設1,増設2,増設3,増設4,増設5,増設6,増設7,増設8,増設9,増設10,増設11,増設12,増設13,増設14,増設15,増設16,増設17,増設18,増設19,増設20,増設21,増設22,増設23,増設24,増設25,増設26,増設27,増設28,増設29,増設30,使用電力量,ガス使用量,水使用量,お湯使用量,燃料電池ガス使用量,補助熱源ガス使用量,燃料電池お湯使用量,補助熱源お湯使用量,燃料電池排熱回収量
20171201,-,-,-,18872,28890,34470,1690,12735,0,6311,2327,0,329,2551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24452,-,-,-,-,-,-,-,-
20171202,-,-,-,17181,30671,41418,2208,15360,0,5888,2148,0,576,1453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27928,-,-,-,-,-,-,-,-
20171203,-,-,-,18511,35636,44083,2594,13937,0,6325,2621,0,505,1580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26958,-,-,-,-,-,-,-,-
20171204,-,-,-,22969,12697,17864,3012,14115,1077,6496,2388,0,583,1461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28136,-,-,-,-,-,-,-,-
20171205,-,-,-,21047,27979,33159,2321,14260,775,5883,3012,0,619,1388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26227,-,-,-,-,-,-,-,-
20171206,-,-,-,20467,24505,30073,2470,14364,693,6274,2691,0,489,1409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26035,-,-,-,-,-,-,-,-
20171207,-,-,-,22359,16128,22082,3835,17779,0,5972,3681,0,396,1508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28313,-,-,-,-,-,-,-,-
20171208,-,-,-,20947,13835,18605,2224,12499,0,6741,4482,0,560,1335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25717,-,-,-,-,-,-,-,-
20171209,-,-,-,22777,21985,28418,1942,15782,822,6114,2974,0,1097,1456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29210,-,-,-,-,-,-,-,-
20171210,-,-,-,26163,334,4774,2412,14108,697,5874,3028,0,953,1480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30603,-,-,-,-,-,-,-,-
20171211,-,-,-,22326,7693,12782,2584,12635,1108,6248,2346,0,291,1426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27415,-,-,-,-,-,-,-,-
20171212,-,-,-,25105,10945,15392,2768,15534,1580,5480,1959,0,589,1481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29552,-,-,-,-,-,-,-,-
20171213,-,-,-,23360,32206,38477,2465,15515,3767,6075,2240,0,602,1525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29631,-,-,-,-,-,-,-,-
20171214,-,-,-,21066,29107,34390,2126,15154,677,5779,1923,0,437,1556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26349,-,-,-,-,-,-,-,-
20171215,-,-,-,19237,27160,32891,2581,14866,0,6349,2507,0,361,1423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24968,-,-,-,-,-,-,-,-
20171216,-,-,-,30946,71,1699,2557,12974,0,6060,3163,0,847,1646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32574,-,-,-,-,-,-,-,-
20171217,-,-,-,25615,29153,34605,3134,16110,119,6009,3376,0,591,1769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31067,-,-,-,-,-,-,-,-
20171218,-,-,-,23265,4542,9892,2607,15789,917,6137,3338,0,413,1575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28615,-,-,-,-,-,-,-,-
20171219,-,-,-,22031,23615,27058,2094,14647,1081,5890,2392,0,492,1326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25474,-,-,-,-,-,-,-,-
