計測日時,太陽光発電(創蓄パワコン),蓄電池充電,蓄電池放電,主幹買電,主幹売電,リビングAC,寝室AC,座敷AC・200V,LDK電灯コン・冷蔵庫1,洋室電灯コンセ・冷蔵庫2,浴室・脱衣所・洗濯機,未使用,座敷電灯コンセント,洋室AC,増設1,増設2,増設3,増設4,増設5,増設6,増設7,増設8,増設9,増設10,増設11,増設12,増設13,増設14,増設15,増設16,増設17,増設18,増設19,増設20,増設21,増設22,増設23,増設24,増設25,増設26,増設27,増設28,増設29,増設30,使用電力量,ガス使用量,水使用量,お湯使用量,燃料電池ガス使用量,補助熱源ガス使用量,燃料電池お湯使用量,補助熱源お湯使用量,燃料電池排熱回収量
20180201,-,-,-,23565,0,3234,0,0,7539,5454,1259,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23565,-,-,-,-,-,-,-,-
20180202,-,-,-,22663,0,3169,0,0,7556,4291,919,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22663,-,-,-,-,-,-,-,-
20180203,-,-,-,23463,0,3363,0,0,7954,5453,1158,0,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23463,-,-,-,-,-,-,-,-
20180204,-,-,-,26448,0,4035,0,0,8208,5776,1185,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26448,-,-,-,-,-,-,-,-
20180205,-,-,-,25235,0,4680,0,328,8011,6105,407,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25235,-,-,-,-,-,-,-,-
20180206,-,-,-,27855,0,4731,0,0,7958,4465,2344,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27855,-,-,-,-,-,-,-,-
20180207,-,-,-,24541,0,3494,309,0,8045,4997,1158,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24541,-,-,-,-,-,-,-,-
20180208,-,-,-,24024,0,3838,0,0,8125,4413,1415,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24024,-,-,-,-,-,-,-,-
20180209,-,-,-,20781,0,3136,0,0,7458,3528,985,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20781,-,-,-,-,-,-,-,-
20180210,-,-,-,19871,0,2112,0,0,8342,3692,753,0,264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19871,-,-,-,-,-,-,-,-
