計測日時,太陽光発電(創蓄パワコン),蓄電池充電,蓄電池放電,主幹買電,主幹売電,IHクッキングヒーター,電気オーブン・レンジ,エコキュート,居間エアコン,エアコン・場所不明,キッチン電灯,未使用,リビング電灯,不明,増設1,増設2,増設3,増設4,増設5,増設6,増設7,増設8,増設9,増設10,増設11,増設12,増設13,増設14,増設15,増設16,増設17,増設18,増設19,増設20,増設21,増設22,増設23,増設24,増設25,増設26,増設27,増設28,増設29,増設30,使用電力量,ガス使用量,水使用量,お湯使用量,燃料電池ガス使用量,補助熱源ガス使用量,燃料電池お湯使用量,補助熱源お湯使用量,燃料電池排熱回収量
20180401,-,-,-,28408,0,2170,125,8772,0,0,2717,0,11101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28408,-,-,583,-,-,-,-,-
20180402,-,-,-,30117,0,1585,146,7039,0,0,2765,0,14589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30117,-,-,638,-,-,-,-,-
20180403,-,-,-,23475,0,874,218,4499,0,0,2719,0,11224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23475,-,-,534,-,-,-,-,-
20180404,-,-,-,25584,0,744,312,6022,0,0,2803,0,11651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25584,-,-,684,-,-,-,-,-
20180405,-,-,-,31114,0,2087,461,8701,0,0,2860,0,12919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31114,-,-,721,-,-,-,-,-
20180406,-,-,-,40345,0,1615,365,5193,0,0,3070,0,11762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40345,-,-,650,-,-,-,-,-
20180407,-,-,-,44431,0,1960,155,9869,0,0,2532,0,11019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44431,-,-,961,-,-,-,-,-
20180408,-,-,-,42483,0,4704,317,11452,0,0,2496,0,17142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42483,-,-,736,-,-,-,-,-
20180409,-,-,-,33807,0,3755,272,7504,0,0,2723,0,14225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33807,-,-,1022,-,-,-,-,-
20180410,-,-,-,36707,0,3736,805,10635,0,0,2903,0,12555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36707,-,-,921,-,-,-,-,-
20180411,-,-,-,36069,0,1254,552,7583,0,0,2848,0,12915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36069,-,-,827,-,-,-,-,-
20180412,-,-,-,28401,0,733,230,6707,0,0,2827,0,12271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28401,-,-,611,-,-,-,-,-
20180413,-,-,-,29699,0,1253,585,7866,0,0,2743,0,13127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29699,-,-,641,-,-,-,-,-
20180414,-,-,-,36011,0,1833,78,5281,0,0,2708,0,16038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36011,-,-,494,-,-,-,-,-
20180415,-,-,-,31478,0,2614,169,5836,0,0,2773,0,13980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31478,-,-,730,-,-,-,-,-
20180416,-,-,-,35002,0,2861,491,10446,0,0,2634,0,13928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35002,-,-,692,-,-,-,-,-
20180417,-,-,-,34360,0,1916,563,5774,0,0,2566,0,15141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34360,-,-,465,-,-,-,-,-
20180418,-,-,-,30410,0,2352,326,6026,0,0,2569,0,12885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30410,-,-,625,-,-,-,-,-
20180419,-,-,-,33498,0,1564,120,8603,0,0,2565,0,13092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33498,-,-,494,-,-,-,-,-
