計測日時,太陽光発電(創蓄パワコン),蓄電池充電,蓄電池放電,主幹買電,主幹売電,エアコン・リビング,ＩＨ・キッチン,エコキュート,キッチン・冷蔵庫　電レ,テレビ,リビング・キッチン照明　,未使用,キッチン　炊飯器,洗濯機、トイレ照明　便座,増設1,増設2,増設3,増設4,増設5,増設6,増設7,増設8,増設9,増設10,増設11,増設12,増設13,増設14,増設15,増設16,増設17,増設18,増設19,増設20,増設21,増設22,増設23,増設24,増設25,増設26,増設27,増設28,増設29,増設30,使用電力量,ガス使用量,水使用量,お湯使用量,燃料電池ガス使用量,補助熱源ガス使用量,燃料電池お湯使用量,補助熱源お湯使用量,燃料電池排熱回収量
20180501,-,-,-,7982,0,1241,0,1477,3040,1058,971,0,591,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7982,-,-,-,-,-,-,-,-
20180502,-,-,-,7977,0,1245,0,2044,3122,1317,1030,0,145,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7977,-,-,-,-,-,-,-,-
20180503,-,-,-,8166,0,1245,0,2084,3224,891,1101,0,469,295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8166,-,-,-,-,-,-,-,-
20180504,-,-,-,7176,0,1245,0,2273,2923,614,1044,0,0,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7176,-,-,-,-,-,-,-,-
20180505,-,-,-,7722,0,1245,0,2034,2864,967,1027,0,539,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7722,-,-,-,-,-,-,-,-
20180506,-,-,-,8819,0,1249,0,2741,3268,1348,1341,0,491,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8819,-,-,-,-,-,-,-,-
20180507,-,-,-,7415,0,1246,0,989,2817,604,1160,0,551,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7415,-,-,-,-,-,-,-,-
20180508,-,-,-,7298,0,1249,0,2740,2833,569,1058,0,289,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7298,-,-,-,-,-,-,-,-
20180509,-,-,-,7202,0,1244,0,1701,2611,658,1063,0,458,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7202,-,-,-,-,-,-,-,-
20180510,-,-,-,7330,0,1246,0,3533,2695,801,824,0,434,307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7330,-,-,-,-,-,-,-,-
20180511,-,-,-,7490,0,1241,0,1521,2838,767,1141,0,415,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7490,-,-,-,-,-,-,-,-
20180512,-,-,-,7561,0,1197,0,2309,2930,882,934,0,483,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7561,-,-,-,-,-,-,-,-
20180513,-,-,-,8572,0,1255,0,2049,3377,1504,904,0,371,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8572,-,-,-,-,-,-,-,-
20180514,-,-,-,7789,0,1257,0,2257,3105,813,1010,0,437,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7789,-,-,-,-,-,-,-,-
20180515,-,-,-,8007,0,1177,0,2053,3466,888,1014,0,380,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8007,-,-,-,-,-,-,-,-
20180516,-,-,-,8389,0,1255,0,2139,3515,926,1219,0,409,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8389,-,-,-,-,-,-,-,-
20180517,-,-,-,8053,0,1255,0,2069,3512,944,962,0,396,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8053,-,-,-,-,-,-,-,-
20180518,-,-,-,8229,0,1253,0,1006,3721,929,991,0,285,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8229,-,-,-,-,-,-,-,-
20180519,-,-,-,7270,0,1249,0,1350,2983,644,864,0,606,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7270,-,-,-,-,-,-,-,-
20180520,-,-,-,7090,0,1251,0,1279,3043,673,937,0,273,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7090,-,-,-,-,-,-,-,-
20180521,-,-,-,7614,0,1255,0,1177,3193,636,1041,0,496,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7614,-,-,-,-,-,-,-,-
20180522,-,-,-,7933,0,1252,0,2512,3249,639,1169,0,361,286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7933,-,-,-,-,-,-,-,-
20180523,-,-,-,8552,0,1254,0,1210,3167,1564,970,0,588,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8552,-,-,-,-,-,-,-,-
20180524,-,-,-,7178,0,1254,0,1208,3233,619,924,0,149,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7178,-,-,-,-,-,-,-,-
20180525,-,-,-,7707,0,1208,0,3329,3373,640,966,0,390,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7707,-,-,-,-,-,-,-,-
20180526,-,-,-,8176,0,1252,0,515,3312,762,1319,0,473,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8176,-,-,-,-,-,-,-,-
20180527,-,-,-,8215,0,1200,0,2671,3358,1384,1009,0,318,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8215,-,-,-,-,-,-,-,-
20180528,-,-,-,8164,0,1255,0,1568,3300,1090,1126,0,381,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8164,-,-,-,-,-,-,-,-
20180529,-,-,-,8042,0,1253,0,2825,3543,595,930,0,485,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8042,-,-,-,-,-,-,-,-
