計測日時,太陽光発電(創蓄パワコン),蓄電池充電,蓄電池放電,主幹買電,主幹売電,キッチン・レンジ 炊飯器,洗濯機 寝室エアコン他 ,キッチン・冷蔵庫 他,エアコン・リビング,エアコン・主寝室,和室・照明・電源,未使用,照明・電源・和室１,エアコン・和室,増設1,増設2,増設3,増設4,増設5,増設6,増設7,増設8,増設9,増設10,増設11,増設12,増設13,増設14,増設15,増設16,増設17,増設18,増設19,増設20,増設21,増設22,増設23,増設24,増設25,増設26,増設27,増設28,増設29,増設30,使用電力量,ガス使用量,水使用量,お湯使用量,燃料電池ガス使用量,補助熱源ガス使用量,燃料電池お湯使用量,補助熱源お湯使用量,燃料電池排熱回収量
20180401,-,-,-,7821,0,193,333,5072,0,0,304,0,1136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7821,-,-,-,-,-,-,-,-
20180402,-,-,-,8395,0,212,153,5255,0,0,482,0,1230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8395,-,-,-,-,-,-,-,-
20180403,-,-,-,6570,0,205,148,3752,0,0,564,0,1209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6570,-,-,-,-,-,-,-,-
20180404,-,-,-,7606,0,189,221,4897,0,0,479,0,1256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7606,-,-,-,-,-,-,-,-
20180405,-,-,-,7784,0,370,175,5029,0,0,334,0,1214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7784,-,-,-,-,-,-,-,-
20180406,-,-,-,7031,0,188,95,4374,0,0,420,0,1070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7031,-,-,-,-,-,-,-,-
20180407,-,-,-,7565,0,295,227,4793,0,0,510,0,851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7565,-,-,-,-,-,-,-,-
20180408,-,-,-,11175,0,295,124,8637,0,0,524,0,737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11175,-,-,-,-,-,-,-,-
20180409,-,-,-,8754,0,222,221,5985,0,0,564,0,926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8754,-,-,-,-,-,-,-,-
20180410,-,-,-,6970,0,241,171,4449,0,0,389,0,1019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6970,-,-,-,-,-,-,-,-
20180411,-,-,-,8685,0,173,274,5944,0,0,373,0,1244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8685,-,-,-,-,-,-,-,-
20180412,-,-,-,7785,0,223,117,4835,0,0,866,0,1159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7785,-,-,-,-,-,-,-,-
20180413,-,-,-,7584,0,267,199,4999,0,0,420,0,1070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7584,-,-,-,-,-,-,-,-
20180414,-,-,-,9089,0,238,297,6246,0,0,452,0,1109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9089,-,-,-,-,-,-,-,-
