計測日時,太陽光発電(創蓄パワコン),蓄電池充電,蓄電池放電,主幹買電,主幹売電,キッチン・食器洗乾燥機・,ＩＨ・キッチン,エアコン・リビング,冷蔵庫・キッチン,洗濯機・洗面,冷蔵庫・納戸,未使用,洋室１・テレビ,和室寝室,増設1,増設2,増設3,増設4,増設5,増設6,増設7,増設8,増設9,増設10,増設11,増設12,増設13,増設14,増設15,増設16,増設17,増設18,増設19,増設20,増設21,増設22,増設23,増設24,増設25,増設26,増設27,増設28,増設29,増設30,使用電力量,ガス使用量,水使用量,お湯使用量,燃料電池ガス使用量,補助熱源ガス使用量,燃料電池お湯使用量,補助熱源お湯使用量,燃料電池排熱回収量
20180101,-,-,-,20202,0,4631,231,0,2966,143,4,0,1826,4042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20202,-,-,-,-,-,-,-,-
20180102,-,-,-,16569,0,3657,0,0,2483,0,0,0,1955,3975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16569,-,-,-,-,-,-,-,-
20180103,-,-,-,16326,0,3686,0,0,2547,0,0,0,1739,3715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16326,-,-,-,-,-,-,-,-
20180104,-,-,-,13861,0,1925,0,0,2475,124,0,0,1627,3594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13861,-,-,-,-,-,-,-,-
20180105,-,-,-,15455,0,4228,0,0,2947,95,8,0,922,3782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15455,-,-,-,-,-,-,-,-
20180106,-,-,-,15318,0,3747,0,0,2331,0,1,0,1330,3606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15318,-,-,-,-,-,-,-,-
20180107,-,-,-,14980,0,3926,0,0,2503,0,0,0,1651,3453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14980,-,-,-,-,-,-,-,-
20180108,-,-,-,12820,0,1983,0,1682,2127,0,0,0,744,3450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12820,-,-,-,-,-,-,-,-
20180109,-,-,-,13263,0,3633,0,0,1918,0,0,0,1063,3376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13263,-,-,-,-,-,-,-,-
20180110,-,-,-,15258,0,3266,0,0,2034,114,0,0,2036,3403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15258,-,-,-,-,-,-,-,-
20180111,-,-,-,15755,0,2542,0,0,2387,0,0,0,3006,3511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15755,-,-,-,-,-,-,-,-
