計測日時,太陽光発電(創蓄パワコン),蓄電池充電,蓄電池放電,主幹買電,主幹売電,太陽光発電1,太陽光発電2,ＩＨ・キッチン,エアコン・リビング,エアコン・主寝室,リビング照明・電源・TV,未使用,台所冷蔵庫照明コンセント,洗濯機・洗面・玄関照明,増設1,増設2,増設3,増設4,増設5,増設6,増設7,増設8,増設9,増設10,増設11,増設12,増設13,増設14,増設15,増設16,増設17,増設18,増設19,増設20,増設21,増設22,増設23,増設24,増設25,増設26,増設27,増設28,増設29,増設30,使用電力量,ガス使用量,水使用量,お湯使用量,燃料電池ガス使用量,補助熱源ガス使用量,燃料電池お湯使用量,補助熱源お湯使用量,燃料電池排熱回収量
20180501,-,-,-,5702,29460,18545,14772,1401,0,0,1422,0,2211,3005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9559,-,-,-,-,-,-,-,-
20180502,-,-,-,7022,2100,3064,2125,1390,0,0,1771,0,2175,3005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10111,-,-,-,-,-,-,-,-
20180503,-,-,-,5254,45143,28019,22370,2043,0,0,1239,0,2161,3133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10500,-,-,-,-,-,-,-,-
20180504,-,-,-,4640,47818,29632,23362,2033,0,0,1330,0,1832,3004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9816,-,-,-,-,-,-,-,-
20180505,-,-,-,6668,41016,26202,20351,2509,0,0,1887,0,2597,3171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12205,-,-,-,-,-,-,-,-
20180506,-,-,-,6713,2727,3662,2484,1381,0,0,1693,0,1935,3070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10132,-,-,-,-,-,-,-,-
20180507,-,-,-,7330,2975,3314,2361,1487,0,0,1566,0,2197,2898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10030,-,-,-,-,-,-,-,-
20180508,-,-,-,6811,2860,3856,2651,1815,0,0,1678,0,1872,3164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10458,-,-,-,-,-,-,-,-
20180509,-,-,-,4588,39973,25391,19435,1633,0,0,1347,0,1952,2977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9441,-,-,-,-,-,-,-,-
20180510,-,-,-,4677,48916,30249,23363,1444,0,0,1239,0,1724,3019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9373,-,-,-,-,-,-,-,-
20180511,-,-,-,4007,47269,29551,23095,1357,0,0,1319,0,1623,3156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9384,-,-,-,-,-,-,-,-
20180512,-,-,-,4747,44407,27955,21852,1653,0,0,1704,0,1803,2999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10147,-,-,-,-,-,-,-,-
20180513,-,-,-,6577,2722,3846,2655,1569,0,0,1773,0,2249,2860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10356,-,-,-,-,-,-,-,-
20180514,-,-,-,5170,43818,27017,20993,1816,0,0,1178,0,2113,2869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9362,-,-,-,-,-,-,-,-
20180515,-,-,-,4672,44674,27631,21540,1172,0,0,1143,0,2273,2941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9169,-,-,-,-,-,-,-,-
20180516,-,-,-,4508,32243,21169,15901,1558,0,0,1252,0,2101,2773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9335,-,-,-,-,-,-,-,-
20180517,-,-,-,5799,14640,10983,7822,1409,0,0,1322,0,2516,2797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9964,-,-,-,-,-,-,-,-
20180518,-,-,-,6474,7033,6193,4295,1443,0,0,1944,0,2305,2700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9929,-,-,-,-,-,-,-,-
20180519,-,-,-,6595,36330,24295,18615,3145,0,61,1962,0,2632,3026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13175,-,-,-,-,-,-,-,-
20180520,-,-,-,5295,46813,29219,22319,1771,0,0,1521,0,2259,2756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10020,-,-,-,-,-,-,-,-
20180521,-,-,-,5059,46509,28969,22513,1409,0,0,1254,0,2701,2947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10032,-,-,-,-,-,-,-,-
20180522,-,-,-,4433,44756,28267,20963,1098,0,0,1272,0,2308,2835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8907,-,-,-,-,-,-,-,-
20180523,-,-,-,7013,13187,9552,7154,1983,0,0,1657,0,2449,2825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10532,-,-,-,-,-,-,-,-
20180524,-,-,-,4898,43754,27373,20856,1611,0,0,1183,0,2225,2882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9373,-,-,-,-,-,-,-,-
20180525,-,-,-,4860,33657,21576,16603,1543,0,0,1242,0,2120,2949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9382,-,-,-,-,-,-,-,-
20180526,-,-,-,5451,25483,17103,12564,1623,0,0,1395,0,2141,2810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9635,-,-,-,-,-,-,-,-
20180527,-,-,-,4611,40256,26097,19447,1681,0,0,1379,0,2027,2832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9899,-,-,-,-,-,-,-,-
20180528,-,-,-,5941,8491,7478,5355,1708,0,0,1411,0,2472,2865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10283,-,-,-,-,-,-,-,-
20180529,-,-,-,5721,22186,15303,11221,2275,0,124,1360,0,2171,2708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10059,-,-,-,-,-,-,-,-
20180530,-,-,-,6169,34976,21940,16540,1008,593,119,1382,0,2367,2604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9673,-,-,-,-,-,-,-,-
20180531,-,-,-,6300,5106,4806,3372,1606,0,0,1447,0,2029,2758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9372,-,-,-,-,-,-,-,-
