計測日時,太陽光発電(創蓄パワコン),蓄電池充電,蓄電池放電,主幹買電,主幹売電,IH,洋間・エアコン200V,エコキュート,不明,不明,不明,未使用,不明,LDK・エアコン100V,増設1,増設2,増設3,増設4,増設5,増設6,増設7,増設8,増設9,増設10,増設11,増設12,増設13,増設14,増設15,増設16,増設17,増設18,増設19,増設20,増設21,増設22,増設23,増設24,増設25,増設26,増設27,増設28,増設29,増設30,使用電力量,ガス使用量,水使用量,お湯使用量,燃料電池ガス使用量,補助熱源ガス使用量,燃料電池お湯使用量,補助熱源お湯使用量,燃料電池排熱回収量
20180501,-,-,-,17524,0,1332,0,3942,0,112,522,0,1632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17524,-,-,316,-,-,-,-,-
20180502,-,-,-,16291,0,458,0,2377,96,326,76,0,1728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16291,-,-,273,-,-,-,-,-
20180503,-,-,-,14845,0,285,0,2756,1,192,21,0,1561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14845,-,-,287,-,-,-,-,-
20180504,-,-,-,19481,0,911,0,3280,1,737,93,0,1707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19481,-,-,492,-,-,-,-,-
20180505,-,-,-,20455,0,1072,0,4646,0,600,305,0,2040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20455,-,-,431,-,-,-,-,-
20180506,-,-,-,15888,0,183,0,3441,1,113,26,0,1782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15888,-,-,226,-,-,-,-,-
20180507,-,-,-,15482,0,1045,0,1957,1,327,512,0,1558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15482,-,-,306,-,-,-,-,-
20180508,-,-,-,15642,0,507,0,2956,1,267,116,0,1370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15642,-,-,311,-,-,-,-,-
20180509,-,-,-,16150,0,618,0,2995,0,127,0,0,1666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16150,-,-,308,-,-,-,-,-
20180510,-,-,-,19167,0,1448,0,3444,0,42,22,0,1845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19167,-,-,280,-,-,-,-,-
20180511,-,-,-,16667,0,1391,0,3129,0,120,233,0,1639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16667,-,-,389,-,-,-,-,-
20180512,-,-,-,18804,0,160,0,3750,1,825,543,0,1569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18804,-,-,448,-,-,-,-,-
20180513,-,-,-,21964,0,1735,0,3103,1,754,934,0,1626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21964,-,-,452,-,-,-,-,-
