計測日時,太陽光発電(創蓄パワコン),蓄電池充電,蓄電池放電,主幹買電,主幹売電,IHクッキングヒーター,電気オーブン・レンジ,エコキュート,居間エアコン,エアコン・北和室,キッチン電灯,未使用,リビング電灯,不明,増設1,増設2,増設3,増設4,増設5,増設6,増設7,増設8,増設9,増設10,増設11,増設12,増設13,増設14,増設15,増設16,増設17,増設18,増設19,増設20,増設21,増設22,増設23,増設24,増設25,増設26,増設27,増設28,増設29,増設30,使用電力量,ガス使用量,水使用量,お湯使用量,燃料電池ガス使用量,補助熱源ガス使用量,燃料電池お湯使用量,補助熱源お湯使用量,燃料電池排熱回収量
20180601,-,-,-,22593,0,1709,165,3337,0,0,2856,0,9666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22593,-,-,450,-,-,-,-,-
20180602,-,-,-,24179,0,1330,207,4035,250,0,2955,0,11000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24179,-,-,521,-,-,-,-,-
20180603,-,-,-,24099,0,2168,163,3117,0,0,3459,0,9976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24099,-,-,582,-,-,-,-,-
20180604,-,-,-,23860,0,696,195,3685,307,0,3376,0,9839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23860,-,-,388,-,-,-,-,-
20180605,-,-,-,25526,0,1082,39,2374,0,0,2856,0,10200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25526,-,-,450,-,-,-,-,-
20180606,-,-,-,23709,0,1228,239,2284,0,0,2927,0,8812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23709,-,-,450,-,-,-,-,-
20180607,-,-,-,23129,0,1117,446,2534,436,0,3118,0,9479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23129,-,-,363,-,-,-,-,-
20180608,-,-,-,22622,0,1421,47,2524,0,0,3612,0,10488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22622,-,-,394,-,-,-,-,-
20180609,-,-,-,23123,0,1454,0,2093,539,0,3471,0,10827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23123,-,-,407,-,-,-,-,-
20180610,-,-,-,30592,0,3327,88,2752,339,0,3312,0,11951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30592,-,-,608,-,-,-,-,-
