計測日時,太陽光発電(創蓄パワコン),蓄電池充電,蓄電池放電,主幹買電,主幹売電,キッチン・冷蔵庫,エアコン・リビング,２階・エアコン,未使用,洗面・洗濯機　照明,リビング　テレビ　照明,未使用,１階洋室　エアコン　照明,2階　主寝室・照明・電源,増設1,増設2,増設3,増設4,増設5,増設6,増設7,増設8,増設9,増設10,増設11,増設12,増設13,増設14,増設15,増設16,増設17,増設18,増設19,増設20,増設21,増設22,増設23,増設24,増設25,増設26,増設27,増設28,増設29,増設30,使用電力量,ガス使用量,水使用量,お湯使用量,燃料電池ガス使用量,補助熱源ガス使用量,燃料電池お湯使用量,補助熱源お湯使用量,燃料電池排熱回収量
20180301,-,-,-,9310,0,1524,0,0,0,1031,5492,0,796,514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9310,-,-,-,-,-,-,-,-
20180302,-,-,-,8419,0,1481,0,0,0,1200,5187,0,454,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8419,-,-,-,-,-,-,-,-
20180303,-,-,-,7156,0,1345,0,0,0,1058,4494,0,524,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7156,-,-,-,-,-,-,-,-
20180304,-,-,-,6091,0,1523,0,0,0,902,3517,0,385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6091,-,-,-,-,-,-,-,-
20180305,-,-,-,7594,0,1670,0,0,0,931,4407,0,510,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7594,-,-,-,-,-,-,-,-
20180306,-,-,-,7951,0,1771,0,0,0,1044,4635,0,421,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7951,-,-,-,-,-,-,-,-
20180307,-,-,-,7790,0,1446,0,0,0,1033,4911,0,458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7790,-,-,-,-,-,-,-,-
20180308,-,-,-,7064,0,1597,0,0,0,1007,4152,0,224,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7064,-,-,-,-,-,-,-,-
20180309,-,-,-,7979,0,1420,0,0,0,1053,5080,0,404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7979,-,-,-,-,-,-,-,-
20180310,-,-,-,9328,0,1501,0,0,0,1175,5328,0,1164,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9328,-,-,-,-,-,-,-,-
20180311,-,-,-,11301,0,1684,0,0,0,1384,5315,0,1511,1114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11301,-,-,-,-,-,-,-,-
20180312,-,-,-,10993,0,1832,0,0,0,1321,5110,0,998,1436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10993,-,-,-,-,-,-,-,-
20180313,-,-,-,8041,0,1608,0,0,0,1259,3849,0,759,804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8041,-,-,-,-,-,-,-,-
20180314,-,-,-,9525,0,1833,0,0,0,1200,4026,0,1738,571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9525,-,-,-,-,-,-,-,-
20180315,-,-,-,8987,0,1872,0,0,0,1040,4205,0,422,1292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8987,-,-,-,-,-,-,-,-
