計測日時,太陽光発電(創蓄パワコン),蓄電池充電,蓄電池放電,主幹買電,主幹売電,リビングエアコン,主寝室エアコン,和室エアコン,倉庫照明・冷蔵庫・冷凍庫,LDK電灯コンセント,洗濯機・玄関洗面コンセン,未使用,和室・電灯コンセント,2F電灯・コンセント,増設1,増設2,増設3,増設4,増設5,増設6,増設7,増設8,増設9,増設10,増設11,増設12,増設13,増設14,増設15,増設16,増設17,増設18,増設19,増設20,増設21,増設22,増設23,増設24,増設25,増設26,増設27,増設28,増設29,増設30,使用電力量,ガス使用量,水使用量,お湯使用量,燃料電池ガス使用量,補助熱源ガス使用量,燃料電池お湯使用量,補助熱源お湯使用量,燃料電池排熱回収量
20180101,-,-,-,51581,0,8815,7163,4847,3353,12763,5636,0,6386,2187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51581,-,-,-,-,-,-,-,-
20180102,-,-,-,42510,0,8412,7223,0,3301,9800,4549,0,4433,4396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42510,-,-,-,-,-,-,-,-
20180103,-,-,-,45286,0,9516,5958,0,4329,10557,4406,0,6681,3497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45286,-,-,-,-,-,-,-,-
20180104,-,-,-,48576,0,9430,6230,959,3485,13420,4390,0,6221,4068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48576,-,-,-,-,-,-,-,-
20180105,-,-,-,38845,0,3532,4948,0,3745,14060,4321,0,4532,3365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38845,-,-,-,-,-,-,-,-
20180106,-,-,-,39963,0,7283,5344,0,3977,10859,4558,0,4351,3204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39963,-,-,-,-,-,-,-,-
20180107,-,-,-,40680,0,6612,3234,0,3567,13308,4510,0,5057,4048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40680,-,-,-,-,-,-,-,-
20180108,-,-,-,34418,0,4683,1779,0,4224,11270,4157,0,4455,3501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34418,-,-,-,-,-,-,-,-
20180109,-,-,-,43929,0,9849,4839,0,3837,15504,4374,0,4179,1006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43929,-,-,-,-,-,-,-,-
20180110,-,-,-,39313,0,10305,5674,0,3422,9496,4419,0,3842,1834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39313,-,-,-,-,-,-,-,-
20180111,-,-,-,58088,0,14887,6541,2828,3043,18073,5295,0,3677,3197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58088,-,-,-,-,-,-,-,-
20180112,-,-,-,46421,0,9660,7456,1360,2904,12349,5009,0,3968,3314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46421,-,-,-,-,-,-,-,-
20180113,-,-,-,40826,0,11198,3197,0,3073,10502,4850,0,4050,3457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40826,-,-,-,-,-,-,-,-
20180114,-,-,-,38523,0,9143,4453,0,3358,9506,4555,0,3686,3201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38523,-,-,-,-,-,-,-,-
20180115,-,-,-,37763,0,9174,6717,1336,3251,8906,4907,0,656,2289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37763,-,-,-,-,-,-,-,-
20180116,-,-,-,27751,0,2956,2699,1828,3963,8323,4203,0,781,2449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27751,-,-,-,-,-,-,-,-
20180117,-,-,-,23490,0,1124,2561,829,4453,8383,4217,0,538,844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23490,-,-,-,-,-,-,-,-
20180118,-,-,-,24548,0,4763,0,291,4010,8572,4413,0,891,1031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24548,-,-,-,-,-,-,-,-
20180119,-,-,-,25193,0,3523,0,1182,3984,7015,4264,0,4292,407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25193,-,-,-,-,-,-,-,-
20180120,-,-,-,24219,0,3332,0,946,3826,7179,4152,0,3527,874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24219,-,-,-,-,-,-,-,-
20180121,-,-,-,26110,0,3117,0,890,3649,7545,4445,0,5412,751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26110,-,-,-,-,-,-,-,-
20180122,-,-,-,26973,0,7649,0,897,3636,8063,4297,0,1277,791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26973,-,-,-,-,-,-,-,-
20180123,-,-,-,23477,0,3989,0,836,3605,7943,4249,0,1568,754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23477,-,-,-,-,-,-,-,-
20180124,-,-,-,37812,0,9501,3799,2647,3101,9894,5012,0,2465,699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37812,-,-,-,-,-,-,-,-
20180125,-,-,-,34636,0,5660,0,6467,3023,8459,4956,0,5107,332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34636,-,-,-,-,-,-,-,-
20180126,-,-,-,45854,0,10273,757,5273,3204,10754,4992,0,9634,375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45854,-,-,-,-,-,-,-,-
20180127,-,-,-,42562,0,10030,0,5936,3290,9558,4905,0,7422,939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42562,-,-,-,-,-,-,-,-
20180128,-,-,-,38604,0,7282,1725,1990,3142,9181,4546,0,9302,1073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38604,-,-,-,-,-,-,-,-
20180129,-,-,-,28453,0,6296,0,1562,3187,9099,4266,0,2729,812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28453,-,-,-,-,-,-,-,-
20180130,-,-,-,31418,0,5408,0,4692,3025,10485,4866,0,1699,706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31418,-,-,-,-,-,-,-,-
20180131,-,-,-,29954,0,7163,0,1353,3088,10340,4625,0,2423,385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29954,-,-,-,-,-,-,-,-
