計測日時,太陽光発電(創蓄パワコン),蓄電池充電,蓄電池放電,主幹買電,主幹売電,北東間エアコン,食洗機,浄水器,IH,LK電源・レンジ・冷蔵庫,リビングエアコン,未使用,洗濯機・脱衣所コンセント,主寝室エアコン・照明,増設1,増設2,増設3,増設4,増設5,増設6,増設7,増設8,増設9,増設10,増設11,増設12,増設13,増設14,増設15,増設16,増設17,増設18,増設19,増設20,増設21,増設22,増設23,増設24,増設25,増設26,増設27,増設28,増設29,増設30,使用電力量,ガス使用量,水使用量,お湯使用量,燃料電池ガス使用量,補助熱源ガス使用量,燃料電池お湯使用量,補助熱源お湯使用量,燃料電池排熱回収量
20180301,-,-,-,32062,0,3567,5748,2827,1636,7217,6024,0,5243,4943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32062,-,-,-,-,-,-,-,-
20180302,-,-,-,40560,0,5430,5259,2923,4139,9114,10885,0,5337,5150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40560,-,-,-,-,-,-,-,-
20180303,-,-,-,36192,0,0,1853,2592,786,10059,10145,0,5339,5389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36192,-,-,-,-,-,-,-,-
20180304,-,-,-,23879,0,0,3357,2693,163,7540,4183,0,5497,3563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23879,-,-,-,-,-,-,-,-
20180305,-,-,-,35274,0,0,3505,2749,2811,9894,3952,0,5651,2987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35274,-,-,-,-,-,-,-,-
20180306,-,-,-,38809,0,2543,5358,2839,1037,6665,7961,0,5266,5820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38809,-,-,-,-,-,-,-,-
20180307,-,-,-,29331,0,1905,6012,2917,728,6088,4052,0,4603,3250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29331,-,-,-,-,-,-,-,-
20180308,-,-,-,30030,0,0,3583,2773,776,6808,5863,0,5113,2715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30030,-,-,-,-,-,-,-,-
20180309,-,-,-,41180,0,6625,7469,2632,1194,6342,8724,0,5347,6335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41180,-,-,-,-,-,-,-,-
20180310,-,-,-,43669,0,8883,7555,2669,1254,6993,9490,0,5598,6629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43669,-,-,-,-,-,-,-,-
20180311,-,-,-,36108,0,2737,3774,2600,369,7227,7401,0,5094,7586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36108,-,-,-,-,-,-,-,-
