計測日時,太陽光発電(創蓄パワコン),蓄電池充電,蓄電池放電,主幹買電,主幹売電,リビングAC,主寝室AC,冷蔵庫,LDK電灯コンセント,洗濯機,2F洋室AC,未使用,2F寝室電灯コンセント,浄化槽ファン,増設1,増設2,増設3,増設4,増設5,増設6,増設7,増設8,増設9,増設10,増設11,増設12,増設13,増設14,増設15,増設16,増設17,増設18,増設19,増設20,増設21,増設22,増設23,増設24,増設25,増設26,増設27,増設28,増設29,増設30,使用電力量,ガス使用量,水使用量,お湯使用量,燃料電池ガス使用量,補助熱源ガス使用量,燃料電池お湯使用量,補助熱源お湯使用量,燃料電池排熱回収量
20180101,-,-,-,12143,0,1313,0,204,3829,817,30,0,634,2943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12143,-,-,-,-,-,-,-,-
20180102,-,-,-,11942,0,931,0,188,3418,1067,41,0,761,2937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11942,-,-,-,-,-,-,-,-
20180103,-,-,-,13112,0,2712,0,210,3117,747,94,0,608,3120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13112,-,-,-,-,-,-,-,-
20180104,-,-,-,12714,0,1175,0,233,4456,1020,34,0,614,2990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12714,-,-,-,-,-,-,-,-
20180105,-,-,-,11906,0,0,0,217,4379,1137,46,0,604,3067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11906,-,-,-,-,-,-,-,-
20180106,-,-,-,10260,0,0,0,304,3148,941,154,0,636,2978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10260,-,-,-,-,-,-,-,-
20180107,-,-,-,12337,0,1329,0,325,3934,1304,7,0,627,3005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12337,-,-,-,-,-,-,-,-
20180108,-,-,-,13118,0,1422,0,259,3706,1116,68,0,653,3555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13118,-,-,-,-,-,-,-,-
20180109,-,-,-,13481,0,1786,0,238,3461,1131,45,0,650,3313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13481,-,-,-,-,-,-,-,-
20180110,-,-,-,15211,0,2653,0,268,3818,1133,66,0,646,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15211,-,-,-,-,-,-,-,-
