計測日時,太陽光発電(創蓄パワコン),蓄電池充電,蓄電池放電,主幹買電,主幹売電,未使用,洗濯機・外冷蔵庫2,寝室エアコン・外冷蔵庫,照明・ﾚﾝｼﾞ・炊飯器,キッチン冷蔵庫,TV・照明・米冷蔵庫,未使用,洋室エアコン,リビングエアコン,増設1,増設2,増設3,増設4,増設5,増設6,増設7,増設8,増設9,増設10,増設11,増設12,増設13,増設14,増設15,増設16,増設17,増設18,増設19,増設20,増設21,増設22,増設23,増設24,増設25,増設26,増設27,増設28,増設29,増設30,使用電力量,ガス使用量,水使用量,お湯使用量,燃料電池ガス使用量,補助熱源ガス使用量,燃料電池お湯使用量,補助熱源お湯使用量,燃料電池排熱回収量
20180501,-,-,-,9014,0,0,3194,1958,6048,3000,3398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9014,-,-,-,-,-,-,-,-
20180502,-,-,-,8026,0,0,1948,1904,5205,2647,3954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8026,-,-,-,-,-,-,-,-
20180503,-,-,-,8568,0,0,2914,1760,5358,2479,4068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8568,-,-,-,-,-,-,-,-
20180504,-,-,-,8687,0,0,3820,1673,4657,2545,4268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8687,-,-,-,-,-,-,-,-
20180505,-,-,-,8292,0,0,2230,2560,4907,2735,3451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8292,-,-,-,-,-,-,-,-
20180506,-,-,-,9901,0,0,1696,1732,5089,2597,7687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9901,-,-,-,-,-,-,-,-
20180507,-,-,-,9377,0,0,4136,1943,4689,2590,5061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9377,-,-,-,-,-,-,-,-
20180508,-,-,-,9529,0,0,2848,1734,5276,2635,5808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9529,-,-,-,-,-,-,-,-
20180509,-,-,-,9165,0,0,3734,1686,5538,2462,4336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9165,-,-,-,-,-,-,-,-
20180510,-,-,-,8883,0,0,3464,1696,5154,2655,4376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8883,-,-,-,-,-,-,-,-
20180511,-,-,-,8636,0,0,2615,1956,5496,2716,3824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8636,-,-,-,-,-,-,-,-
20180512,-,-,-,8737,0,0,2983,1982,5992,2831,3224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8737,-,-,-,-,-,-,-,-
20180513,-,-,-,8990,0,0,2196,1960,5559,3228,4626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8990,-,-,-,-,-,-,-,-
20180514,-,-,-,6126,0,0,1554,2020,4288,2582,1438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6126,-,-,-,-,-,-,-,-
20180515,-,-,-,6321,0,0,324,2159,4375,3262,1914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6321,-,-,-,-,-,-,-,-
20180516,-,-,-,9172,0,0,2297,2216,6211,3344,2894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9172,-,-,-,-,-,-,-,-
20180517,-,-,-,8105,0,0,2432,2373,5819,3643,1727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8105,-,-,-,-,-,-,-,-
20180518,-,-,-,9011,0,0,2326,2407,6838,3787,2449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9011,-,-,-,-,-,-,-,-
20180519,-,-,-,8306,0,0,2304,1909,5380,3073,3459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8306,-,-,-,-,-,-,-,-
20180520,-,-,-,8215,0,0,2553,1943,5552,2863,3137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8215,-,-,-,-,-,-,-,-
20180521,-,-,-,8103,0,0,2559,2080,5622,2950,2694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8103,-,-,-,-,-,-,-,-
20180522,-,-,-,8322,0,0,2361,2165,5923,3190,2688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8322,-,-,-,-,-,-,-,-
20180523,-,-,-,8842,0,0,2081,2074,5776,3269,4291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8842,-,-,-,-,-,-,-,-
20180524,-,-,-,8407,0,0,2364,2117,5927,3313,2763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8407,-,-,-,-,-,-,-,-
20180525,-,-,-,7848,0,0,1685,2263,5696,2989,2447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7848,-,-,-,-,-,-,-,-
20180526,-,-,-,7728,0,0,1634,2085,5477,3061,2730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7728,-,-,-,-,-,-,-,-
20180527,-,-,-,7551,0,0,2016,2139,5141,2956,2247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7551,-,-,-,-,-,-,-,-
20180528,-,-,-,7700,0,0,1922,2077,6004,3115,1896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7700,-,-,-,-,-,-,-,-
20180529,-,-,-,8602,0,0,2880,2198,6193,3224,2451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8602,-,-,-,-,-,-,-,-
20180530,-,-,-,8963,0,0,2833,2358,6972,3278,2286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8963,-,-,-,-,-,-,-,-
20180531,-,-,-,5703,0,0,827,2079,3675,2952,1439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5703,-,-,-,-,-,-,-,-
