計測日時,太陽光発電(創蓄パワコン),蓄電池充電,蓄電池放電,主幹買電,主幹売電,リビングAC,和室AC,冷蔵庫①新,冷蔵庫②旧・電子レンジ,居間TV・キッチン電灯コ,洗濯機,未使用,和室電灯コンセント・TV,不明,増設1,増設2,増設3,増設4,増設5,増設6,増設7,増設8,増設9,増設10,増設11,増設12,増設13,増設14,増設15,増設16,増設17,増設18,増設19,増設20,増設21,増設22,増設23,増設24,増設25,増設26,増設27,増設28,増設29,増設30,使用電力量,ガス使用量,水使用量,お湯使用量,燃料電池ガス使用量,補助熱源ガス使用量,燃料電池お湯使用量,補助熱源お湯使用量,燃料電池排熱回収量
20180301,-,-,-,12399,0,38,0,432,1281,9347,0,0,642,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12399,-,-,-,-,-,-,-,-
20180302,-,-,-,13842,0,185,0,461,1079,10549,142,0,574,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13842,-,-,-,-,-,-,-,-
20180303,-,-,-,14052,0,77,0,465,1230,10830,0,0,567,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14052,-,-,-,-,-,-,-,-
20180304,-,-,-,12382,0,112,0,413,1304,9097,128,0,670,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12382,-,-,-,-,-,-,-,-
20180305,-,-,-,11479,0,0,0,355,1366,8439,87,0,613,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11479,-,-,-,-,-,-,-,-
20180306,-,-,-,12313,0,0,0,454,1284,9140,85,0,589,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12313,-,-,-,-,-,-,-,-
20180307,-,-,-,11911,0,53,0,440,1240,8725,131,0,576,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11911,-,-,-,-,-,-,-,-
20180308,-,-,-,10654,0,0,0,409,1308,7644,48,0,584,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10654,-,-,-,-,-,-,-,-
20180309,-,-,-,12639,0,27,0,459,1298,9082,168,0,705,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12639,-,-,-,-,-,-,-,-
20180310,-,-,-,11590,0,157,0,485,1133,7464,131,0,590,890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11590,-,-,-,-,-,-,-,-
20180311,-,-,-,12629,0,97,0,464,1168,8389,128,0,601,928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12629,-,-,-,-,-,-,-,-
20180312,-,-,-,13359,0,89,0,442,1286,8588,118,0,560,1480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13359,-,-,-,-,-,-,-,-
20180313,-,-,-,12482,0,19,0,406,1440,9282,34,0,629,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12482,-,-,-,-,-,-,-,-
20180314,-,-,-,13114,0,0,0,376,1409,9889,163,0,670,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13114,-,-,-,-,-,-,-,-
20180315,-,-,-,11039,0,0,0,357,1473,7807,99,0,720,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11039,-,-,-,-,-,-,-,-
20180316,-,-,-,11584,0,0,0,398,1424,7552,147,0,1091,351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11584,-,-,-,-,-,-,-,-
20180317,-,-,-,12229,0,137,0,468,1577,6894,133,0,699,1640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12229,-,-,-,-,-,-,-,-
20180318,-,-,-,11377,0,106,0,419,1572,7459,116,0,583,392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11377,-,-,-,-,-,-,-,-
20180319,-,-,-,10684,0,0,0,362,1577,6525,58,0,539,960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10684,-,-,-,-,-,-,-,-
20180320,-,-,-,11872,0,0,0,410,1606,7448,206,0,731,739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11872,-,-,-,-,-,-,-,-
20180321,-,-,-,11226,0,0,0,442,1864,7547,105,0,564,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11226,-,-,-,-,-,-,-,-
20180322,-,-,-,12674,0,85,0,454,1634,9072,56,0,618,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12674,-,-,-,-,-,-,-,-
