計測日時,太陽光発電(創蓄パワコン),蓄電池充電,蓄電池放電,主幹買電,主幹売電,リビングAC,主寝室AC,冷蔵庫,LDK電灯コンセント,洗濯機,2F洋室AC,未使用,2F寝室電灯コンセント,浄化槽ファン,増設1,増設2,増設3,増設4,増設5,増設6,増設7,増設8,増設9,増設10,増設11,増設12,増設13,増設14,増設15,増設16,増設17,増設18,増設19,増設20,増設21,増設22,増設23,増設24,増設25,増設26,増設27,増設28,増設29,増設30,使用電力量,ガス使用量,水使用量,お湯使用量,燃料電池ガス使用量,補助熱源ガス使用量,燃料電池お湯使用量,補助熱源お湯使用量,燃料電池排熱回収量
20180601,-,-,-,8312,0,0,0,898,1495,438,93,0,1503,3026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8312,-,-,-,-,-,-,-,-
20180602,-,-,-,8626,0,0,0,973,1777,435,88,0,1540,2986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8626,-,-,-,-,-,-,-,-
20180603,-,-,-,8467,0,0,0,1039,1614,371,135,0,1536,3035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8467,-,-,-,-,-,-,-,-
20180604,-,-,-,9419,0,0,0,1186,2410,406,159,0,1522,3100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9419,-,-,-,-,-,-,-,-
20180605,-,-,-,9072,0,0,0,1087,2008,366,167,0,1537,3140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9072,-,-,-,-,-,-,-,-
20180606,-,-,-,8900,0,0,0,1003,1591,421,170,0,1553,3310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8900,-,-,-,-,-,-,-,-
20180607,-,-,-,8707,0,0,0,1196,1752,370,220,0,1541,2958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8707,-,-,-,-,-,-,-,-
20180608,-,-,-,8907,0,0,0,1346,1656,378,124,0,1538,3210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8907,-,-,-,-,-,-,-,-
20180609,-,-,-,8912,0,0,0,1352,1810,347,171,0,1548,3018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8912,-,-,-,-,-,-,-,-
20180610,-,-,-,8873,0,0,0,1382,1795,330,219,0,1554,3001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8873,-,-,-,-,-,-,-,-
20180611,-,-,-,9442,0,0,0,1182,2199,321,221,0,1539,3338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9442,-,-,-,-,-,-,-,-
20180612,-,-,-,8296,0,0,0,981,1252,594,13,0,1542,2987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8296,-,-,-,-,-,-,-,-
20180613,-,-,-,8082,0,0,0,993,1308,397,95,0,1518,2986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8082,-,-,-,-,-,-,-,-
20180614,-,-,-,8647,0,0,0,1016,1636,459,160,0,1523,3087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8647,-,-,-,-,-,-,-,-
20180615,-,-,-,8626,0,0,0,1106,1566,477,48,0,1539,3120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8626,-,-,-,-,-,-,-,-
20180616,-,-,-,8183,0,0,0,1092,1157,399,247,0,1518,3009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8183,-,-,-,-,-,-,-,-
20180617,-,-,-,8708,0,0,0,1116,1598,347,143,0,1555,3223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8708,-,-,-,-,-,-,-,-
20180618,-,-,-,8655,0,0,0,1254,1643,313,150,0,1537,3104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8655,-,-,-,-,-,-,-,-
20180619,-,-,-,9072,0,0,0,1264,1655,344,192,0,1559,3351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9072,-,-,-,-,-,-,-,-
20180620,-,-,-,9245,0,0,0,1259,1758,349,234,0,1465,3499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9245,-,-,-,-,-,-,-,-
20180621,-,-,-,8421,0,0,0,1373,1550,353,105,0,1410,2965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8421,-,-,-,-,-,-,-,-
20180622,-,-,-,8533,0,0,0,1220,1468,398,151,0,1399,3144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8533,-,-,-,-,-,-,-,-
20180623,-,-,-,8563,0,0,0,1153,1557,325,144,0,1392,3261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8563,-,-,-,-,-,-,-,-
20180624,-,-,-,8336,0,0,0,1124,1360,378,97,0,1421,3201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8336,-,-,-,-,-,-,-,-
20180625,-,-,-,8339,0,0,0,1175,1514,270,124,0,1416,3146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8339,-,-,-,-,-,-,-,-
20180626,-,-,-,8101,0,0,0,1303,1367,156,146,0,1424,2994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8101,-,-,-,-,-,-,-,-
20180627,-,-,-,8298,0,0,0,1506,1468,143,93,0,1415,3042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8298,-,-,-,-,-,-,-,-
20180628,-,-,-,9597,0,0,0,1510,2346,190,143,0,1428,3348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9597,-,-,-,-,-,-,-,-
20180629,-,-,-,8991,0,0,0,1317,1897,177,153,0,1404,3425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8991,-,-,-,-,-,-,-,-
20180630,-,-,-,8666,0,0,0,1400,1185,168,187,0,1433,3563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8666,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
