計測日時,太陽光発電(創蓄パワコン),蓄電池充電,蓄電池放電,主幹買電,主幹売電,1F照明,リビング照明,主寝室エアコン,リビングエアコン,冷蔵庫・洗濯機,リビングTV・電子レンジ,未使用,ユニットバス,１Ｆトイレ,増設1,増設2,増設3,増設4,増設5,増設6,増設7,増設8,増設9,増設10,増設11,増設12,増設13,増設14,増設15,増設16,増設17,増設18,増設19,増設20,増設21,増設22,増設23,増設24,増設25,増設26,増設27,増設28,増設29,増設30,使用電力量,ガス使用量,水使用量,お湯使用量,燃料電池ガス使用量,補助熱源ガス使用量,燃料電池お湯使用量,補助熱源お湯使用量,燃料電池排熱回収量
20180101,-,-,-,26219,0,1701,199,14710,4361,2428,3269,0,0,1812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26219,-,-,-,-,-,-,-,-
20180102,-,-,-,16397,0,519,62,0,3067,1709,5132,0,100,1879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16397,-,-,-,-,-,-,-,-
20180103,-,-,-,13785,0,314,47,0,3021,1683,3118,0,107,1849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13785,-,-,-,-,-,-,-,-
20180104,-,-,-,11705,0,431,83,0,1623,1644,3568,0,54,1859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11705,-,-,-,-,-,-,-,-
20180105,-,-,-,12048,0,695,22,0,1944,1744,2981,0,63,1826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12048,-,-,-,-,-,-,-,-
20180106,-,-,-,11191,0,255,25,0,1854,1637,3173,0,0,1841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11191,-,-,-,-,-,-,-,-
20180107,-,-,-,12551,0,324,94,0,2489,1603,2957,0,62,1823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12551,-,-,-,-,-,-,-,-
20180108,-,-,-,8522,0,643,162,0,286,1807,2817,0,94,1805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8522,-,-,-,-,-,-,-,-
20180109,-,-,-,12063,0,473,6,0,2045,1749,3118,0,0,1809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12063,-,-,-,-,-,-,-,-
20180110,-,-,-,14293,0,505,175,0,2384,1967,4168,0,90,1841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14293,-,-,-,-,-,-,-,-
20180111,-,-,-,14513,0,306,30,0,2795,1592,4382,0,69,1887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14513,-,-,-,-,-,-,-,-
20180112,-,-,-,16396,0,294,12,0,3937,1561,4086,0,13,1933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16396,-,-,-,-,-,-,-,-
20180113,-,-,-,13036,0,293,23,0,2119,1621,4183,0,61,1923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13036,-,-,-,-,-,-,-,-
20180114,-,-,-,13838,0,366,12,0,2753,1499,3817,0,0,1874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13838,-,-,-,-,-,-,-,-
20180115,-,-,-,11870,0,364,70,0,1406,1582,4398,0,98,1876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11870,-,-,-,-,-,-,-,-
20180116,-,-,-,10083,0,770,28,0,1335,1633,2568,0,55,1854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10083,-,-,-,-,-,-,-,-
20180117,-,-,-,7965,0,338,4,0,89,1851,3040,0,0,1772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7965,-,-,-,-,-,-,-,-
20180118,-,-,-,8248,0,521,31,0,463,1792,2615,0,75,1803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8248,-,-,-,-,-,-,-,-
20180119,-,-,-,9652,0,426,12,0,1165,1692,2750,0,0,1819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9652,-,-,-,-,-,-,-,-
20180120,-,-,-,8860,0,518,16,0,679,1635,3014,0,63,1838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8860,-,-,-,-,-,-,-,-
