計測日時,太陽光発電(創蓄パワコン),蓄電池充電,蓄電池放電,主幹買電,主幹売電,スポットライト,未使用,エコキュート,未使用,シャンデリア,ワインセラー,未使用,厨房換気扇,ペンダント,増設1,増設2,増設3,増設4,増設5,増設6,増設7,増設8,増設9,増設10,増設11,増設12,増設13,増設14,増設15,増設16,増設17,増設18,増設19,増設20,増設21,増設22,増設23,増設24,増設25,増設26,増設27,増設28,増設29,増設30,使用電力量,ガス使用量,水使用量,お湯使用量,燃料電池ガス使用量,補助熱源ガス使用量,燃料電池お湯使用量,補助熱源お湯使用量,燃料電池排熱回収量
201804281230+0900,-,-,-,872,0,80,0,0,0,0,22,0,308,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,872,-,-,8,-,-,-,-,-
201804281300+0900,-,-,-,1044,0,78,0,0,0,0,14,0,305,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1044,-,-,3,-,-,-,-,-
201804281330+0900,-,-,-,617,0,79,0,0,0,0,24,0,308,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,617,-,-,149,-,-,-,-,-
201804281400+0900,-,-,-,776,0,79,0,0,0,0,23,0,308,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,776,-,-,65,-,-,-,-,-
201804281430+0900,-,-,-,458,0,79,0,0,0,0,13,0,309,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,458,-,-,64,-,-,-,-,-
201804281500+0900,-,-,-,456,0,79,0,0,0,0,23,0,285,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,456,-,-,78,-,-,-,-,-
201804281530+0900,-,-,-,379,0,54,0,0,0,0,8,0,204,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,379,-,-,14,-,-,-,-,-
201804281600+0900,-,-,-,346,0,32,0,0,0,0,16,0,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,346,-,-,0,-,-,-,-,-
201804281630+0900,-,-,-,263,0,34,0,0,0,0,8,0,204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,263,-,-,0,-,-,-,-,-
201804281700+0900,-,-,-,578,0,33,0,464,0,0,16,0,238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,578,-,-,2,-,-,-,-,-
201804281730+0900,-,-,-,663,0,34,0,521,0,0,11,0,306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,663,-,-,27,-,-,-,-,-
201804281800+0900,-,-,-,883,0,33,0,520,0,0,10,0,304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,883,-,-,4,-,-,-,-,-
201804281830+0900,-,-,-,687,0,134,0,519,0,198,13,0,304,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,687,-,-,26,-,-,-,-,-
201804281900+0900,-,-,-,803,0,196,0,186,0,323,14,0,303,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,803,-,-,12,-,-,-,-,-
201804281930+0900,-,-,-,809,0,197,0,0,0,327,16,0,303,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,809,-,-,9,-,-,-,-,-
201804282000+0900,-,-,-,680,0,196,0,0,0,333,8,0,242,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,680,-,-,17,-,-,-,-,-
201804282030+0900,-,-,-,618,0,194,0,0,0,334,7,0,97,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,618,-,-,4,-,-,-,-,-
201804282100+0900,-,-,-,738,0,193,0,0,0,336,18,0,93,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,738,-,-,7,-,-,-,-,-
201804282130+0900,-,-,-,554,0,197,0,0,0,338,19,0,226,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,554,-,-,74,-,-,-,-,-
201804282200+0900,-,-,-,637,0,197,0,0,0,339,12,0,245,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,637,-,-,64,-,-,-,-,-
201804282230+0900,-,-,-,822,0,195,0,0,0,338,28,0,242,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,822,-,-,129,-,-,-,-,-
201804282300+0900,-,-,-,722,0,152,0,0,0,241,14,0,244,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,722,-,-,80,-,-,-,-,-
201804282330+0900,-,-,-,567,0,45,0,0,0,0,10,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,567,-,-,47,-,-,-,-,-
