計測日時,太陽光発電(創蓄パワコン),蓄電池充電,蓄電池放電,主幹買電,主幹売電,北東間エアコン,食洗機,浄水器,IH,LK電源・レンジ・冷蔵庫,リビングエアコン,未使用,洗濯機・脱衣所コンセント,主寝室エアコン・照明,増設1,増設2,増設3,増設4,増設5,増設6,増設7,増設8,増設9,増設10,増設11,増設12,増設13,増設14,増設15,増設16,増設17,増設18,増設19,増設20,増設21,増設22,増設23,増設24,増設25,増設26,増設27,増設28,増設29,増設30,使用電力量,ガス使用量,水使用量,お湯使用量,燃料電池ガス使用量,補助熱源ガス使用量,燃料電池お湯使用量,補助熱源お湯使用量,燃料電池排熱回収量
20180101,-,-,-,41771,0,8078,2572,2660,967,7142,12804,0,5149,7665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41771,-,-,-,-,-,-,-,-
20180102,-,-,-,48294,0,10273,5860,2767,855,7873,13027,0,6000,10832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48294,-,-,-,-,-,-,-,-
20180103,-,-,-,35645,0,4594,1993,2638,568,5495,10170,0,5060,6409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35645,-,-,-,-,-,-,-,-
20180104,-,-,-,48275,0,7810,5582,2781,1340,10474,15244,0,5026,7087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48275,-,-,-,-,-,-,-,-
20180105,-,-,-,46282,0,6638,8289,3121,1919,11630,11941,0,4996,6992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46282,-,-,-,-,-,-,-,-
20180106,-,-,-,44184,0,8512,5941,2701,1326,8981,12051,0,5357,8676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44184,-,-,-,-,-,-,-,-
20180107,-,-,-,42054,0,9476,2101,2718,366,9095,12118,0,5701,5576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42054,-,-,-,-,-,-,-,-
20180108,-,-,-,42846,0,8112,7071,2723,1680,11145,9855,0,5105,3387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42846,-,-,-,-,-,-,-,-
20180109,-,-,-,55611,0,7201,5496,3301,3009,13692,21353,0,5117,5392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55611,-,-,-,-,-,-,-,-
20180110,-,-,-,51761,0,7429,7629,2955,2765,10742,18376,0,4835,11263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51761,-,-,-,-,-,-,-,-
