計測日時,太陽光発電(創蓄パワコン),蓄電池充電,蓄電池放電,主幹買電,主幹売電,K電源 L照明TV 洗濯,キッチンエアコン,200V和室エアコン,2Fエアコン,主寝室エアコン,リビングエアコン,未使用,未使用,小屋,増設1,増設2,増設3,増設4,増設5,増設6,増設7,増設8,増設9,増設10,増設11,増設12,増設13,増設14,増設15,増設16,増設17,増設18,増設19,増設20,増設21,増設22,増設23,増設24,増設25,増設26,増設27,増設28,増設29,増設30,使用電力量,ガス使用量,水使用量,お湯使用量,燃料電池ガス使用量,補助熱源ガス使用量,燃料電池お湯使用量,補助熱源お湯使用量,燃料電池排熱回収量
20171101,-,-,-,10937,0,6874,0,0,0,469,1179,0,0,1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10937,-,-,-,-,-,-,-,-
20171102,-,-,-,10106,0,7183,0,0,0,368,0,0,0,2084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10106,-,-,-,-,-,-,-,-
20171103,-,-,-,9608,0,6764,0,0,0,409,0,0,0,1952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9608,-,-,-,-,-,-,-,-
20171104,-,-,-,14195,0,8475,0,0,0,1264,2352,0,0,1649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14195,-,-,-,-,-,-,-,-
20171105,-,-,-,14337,0,8287,0,0,1637,697,1657,0,0,1677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14337,-,-,-,-,-,-,-,-
20171106,-,-,-,12998,0,7183,0,0,1301,568,1519,0,0,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12998,-,-,-,-,-,-,-,-
20171107,-,-,-,13971,0,7620,0,0,0,2425,1690,0,0,1779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13971,-,-,-,-,-,-,-,-
20171108,-,-,-,17032,0,7881,0,0,0,6656,0,0,0,1908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17032,-,-,-,-,-,-,-,-
20171109,-,-,-,13077,0,7985,0,0,0,1128,1301,0,0,2143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13077,-,-,-,-,-,-,-,-
20171110,-,-,-,11200,0,8087,0,0,0,448,0,0,0,2144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11200,-,-,-,-,-,-,-,-
20171111,-,-,-,11760,0,9279,0,0,0,308,0,0,0,1573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11760,-,-,-,-,-,-,-,-
20171112,-,-,-,12472,0,9657,0,0,0,604,0,0,0,1704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12472,-,-,-,-,-,-,-,-
20171113,-,-,-,14607,0,8688,0,0,0,3519,0,0,0,1901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14607,-,-,-,-,-,-,-,-
20171114,-,-,-,12529,0,8009,0,0,0,2464,0,0,0,1411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12529,-,-,-,-,-,-,-,-
20171115,-,-,-,13045,0,8092,0,0,0,414,2251,0,0,1779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13045,-,-,-,-,-,-,-,-
20171116,-,-,-,14038,0,8210,0,0,0,780,2865,0,0,1702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14038,-,-,-,-,-,-,-,-
20171117,-,-,-,22160,0,9071,0,0,1335,6009,3589,0,0,1671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22160,-,-,-,-,-,-,-,-
20171118,-,-,-,16430,0,8731,0,0,0,3716,1897,0,0,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16430,-,-,-,-,-,-,-,-
20171119,-,-,-,23317,0,9606,0,0,2100,884,8418,0,0,1858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23317,-,-,-,-,-,-,-,-
20171120,-,-,-,22274,0,9928,0,0,2492,2067,4848,0,0,2409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22274,-,-,-,-,-,-,-,-
20171121,-,-,-,19178,0,9467,0,0,2635,994,2074,0,0,3467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19178,-,-,-,-,-,-,-,-
20171122,-,-,-,22767,0,9987,0,0,2227,8007,0,0,0,1854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22767,-,-,-,-,-,-,-,-
20171123,-,-,-,19337,0,7345,0,0,1953,3736,3844,0,0,1992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19337,-,-,-,-,-,-,-,-
20171124,-,-,-,21404,0,9893,0,0,0,7247,2096,0,0,1611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21404,-,-,-,-,-,-,-,-
20171125,-,-,-,18383,0,9324,0,0,0,4775,2392,0,0,1400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18383,-,-,-,-,-,-,-,-
20171126,-,-,-,17750,0,8874,0,0,0,6907,0,0,0,1361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17750,-,-,-,-,-,-,-,-
20171127,-,-,-,11567,0,8720,0,0,0,750,0,0,0,1513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11567,-,-,-,-,-,-,-,-
20171128,-,-,-,13387,0,8764,0,0,0,1647,835,0,0,1640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13387,-,-,-,-,-,-,-,-
20171129,-,-,-,21665,0,9360,0,0,0,9089,0,0,0,2511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21665,-,-,-,-,-,-,-,-
20171130,-,-,-,22830,0,8677,0,0,0,9388,0,0,0,3210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22830,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
