計測日時,太陽光発電(創蓄パワコン),蓄電池充電,蓄電池放電,主幹買電,主幹売電,コンセント・キッチン,エアコン,エアコン,浴室乾燥機・浴室,照明・キッチン,洗濯機・洗面,未使用,和室コンセントTV,照明・和室,増設1,増設2,増設3,増設4,増設5,増設6,増設7,増設8,増設9,増設10,増設11,増設12,増設13,増設14,増設15,増設16,増設17,増設18,増設19,増設20,増設21,増設22,増設23,増設24,増設25,増設26,増設27,増設28,増設29,増設30,使用電力量,ガス使用量,水使用量,お湯使用量,燃料電池ガス使用量,補助熱源ガス使用量,燃料電池お湯使用量,補助熱源お湯使用量,燃料電池排熱回収量
20180201,-,-,-,15120,0,2167,7002,11432,590,244,5,0,4578,657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15120,-,-,-,-,-,-,-,-
20180202,-,-,-,21832,0,1684,13340,17070,1361,315,110,0,4772,694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21832,-,-,-,-,-,-,-,-
20180203,-,-,-,18032,0,2166,9673,14311,1255,338,19,0,4591,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18032,-,-,-,-,-,-,-,-
20180204,-,-,-,21749,0,1750,0,31549,1067,177,0,0,2932,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21749,-,-,-,-,-,-,-,-
20180205,-,-,-,21760,0,2366,0,30517,0,345,94,0,2991,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21760,-,-,-,-,-,-,-,-
20180206,-,-,-,22632,0,2225,0,31657,1470,376,87,0,2772,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22632,-,-,-,-,-,-,-,-
20180207,-,-,-,17885,0,2098,0,21852,2369,529,0,0,3024,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17885,-,-,-,-,-,-,-,-
20180208,-,-,-,17573,0,1969,6635,14452,357,426,7,0,4113,631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17573,-,-,-,-,-,-,-,-
20180209,-,-,-,11320,0,2195,0,10336,777,359,6,0,3010,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11320,-,-,-,-,-,-,-,-
20180210,-,-,-,17267,0,2314,8135,12486,1159,303,0,0,3155,247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17267,-,-,-,-,-,-,-,-
20180211,-,-,-,20633,0,1471,5735,25881,220,438,114,0,3022,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20633,-,-,-,-,-,-,-,-
20180212,-,-,-,20337,0,1745,4732,23868,452,445,90,0,3128,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20337,-,-,-,-,-,-,-,-
20180213,-,-,-,17890,0,2111,0,23071,1484,264,21,0,2931,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17890,-,-,-,-,-,-,-,-
20180214,-,-,-,13356,0,2047,5690,7109,1270,427,185,0,4736,612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13356,-,-,-,-,-,-,-,-
20180215,-,-,-,12383,0,2287,1069,10598,477,220,4,0,3016,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12383,-,-,-,-,-,-,-,-
20180216,-,-,-,21038,0,1947,11940,15485,973,331,88,0,3297,756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21038,-,-,-,-,-,-,-,-
20180217,-,-,-,12043,0,1613,3057,13793,589,75,3,0,2967,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12043,-,-,-,-,-,-,-,-
20180218,-,-,-,13250,0,1843,0,14617,1168,306,178,0,3052,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13250,-,-,-,-,-,-,-,-
20180219,-,-,-,17544,0,2248,11130,9516,377,379,0,0,3115,656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17544,-,-,-,-,-,-,-,-
20180220,-,-,-,12609,0,1452,4489,8475,565,246,89,0,3027,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12609,-,-,-,-,-,-,-,-
20180221,-,-,-,13693,0,1542,7719,6437,438,206,3,0,3219,632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13693,-,-,-,-,-,-,-,-
20180222,-,-,-,7324,0,2289,831,2804,1062,272,119,0,3080,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7324,-,-,-,-,-,-,-,-
20180223,-,-,-,12342,0,2420,2490,9577,653,234,8,0,2979,211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12342,-,-,-,-,-,-,-,-
20180224,-,-,-,10903,0,1674,0,11325,508,179,179,0,3047,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10903,-,-,-,-,-,-,-,-
20180225,-,-,-,14765,0,1959,3882,11520,518,356,2,0,3163,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14765,-,-,-,-,-,-,-,-
20180226,-,-,-,13834,0,2327,6038,8054,748,219,257,0,3243,315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13834,-,-,-,-,-,-,-,-
20180227,-,-,-,8901,0,1549,876,6929,1364,182,6,0,3381,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8901,-,-,-,-,-,-,-,-
20180228,-,-,-,11412,0,3092,0,7473,580,571,91,0,3129,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11412,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
