計測日時,太陽光発電(創蓄パワコン),蓄電池充電,蓄電池放電,主幹買電,主幹売電,リビングエアコン,IHクッキングヒーター,エコキュート,寝室（娘）照明コンセント,LDK　TV　照明,冷蔵庫,未使用,洗濯機　電子レンジ,不明,増設1,増設2,増設3,増設4,増設5,増設6,増設7,増設8,増設9,増設10,増設11,増設12,増設13,増設14,増設15,増設16,増設17,増設18,増設19,増設20,増設21,増設22,増設23,増設24,増設25,増設26,増設27,増設28,増設29,増設30,使用電力量,ガス使用量,水使用量,お湯使用量,燃料電池ガス使用量,補助熱源ガス使用量,燃料電池お湯使用量,補助熱源お湯使用量,燃料電池排熱回収量
20180201,-,-,-,0,43527,10279,232,14326,14922,11702,2065,0,5751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,833,-,-,-,-,-
20180202,-,-,-,0,58437,15174,447,18198,27139,11883,2098,0,4950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,1225,-,-,-,-,-
20180203,-,-,-,0,37676,8978,0,4961,23875,13053,2143,0,5215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,278,-,-,-,-,-
20180204,-,-,-,0,50268,12061,0,11627,31991,11677,1746,0,4695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,628,-,-,-,-,-
20180205,-,-,-,0,57355,19204,1235,12812,23741,13483,1804,0,5801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,1054,-,-,-,-,-
20180206,-,-,-,0,64075,15281,214,25737,26260,9368,1784,0,5154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,1182,-,-,-,-,-
20180207,-,-,-,0,39138,8617,113,7088,24723,11413,2297,0,5136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,819,-,-,-,-,-
20180208,-,-,-,0,41641,4672,0,17140,20371,8814,2059,0,4961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,1227,-,-,-,-,-
20180209,-,-,-,0,44278,8006,176,14401,20775,11662,2117,0,5705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,976,-,-,-,-,-
20180210,-,-,-,14155,24797,6589,114,11479,19870,11709,2044,0,5124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12677,-,-,1487,-,-,-,-,-
20180211,-,-,-,49145,0,15147,44,14335,16855,11366,2120,0,5799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49145,-,-,900,-,-,-,-,-
20180212,-,-,-,57612,0,18188,101,16792,23801,11307,1914,0,5002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57612,-,-,956,-,-,-,-,-
