計測日時,太陽光発電(創蓄パワコン),蓄電池充電,蓄電池放電,主幹買電,主幹売電,エアコン・リビング,食器洗乾燥機・キッチン,冷蔵庫・キッチン,リビング TV 照明,キッチン・照明他,2階洋室　エアコン,未使用,洗面・洗濯機　換気扇,2階和室　エアコン,増設1,増設2,増設3,増設4,増設5,増設6,増設7,増設8,増設9,増設10,増設11,増設12,増設13,増設14,増設15,増設16,増設17,増設18,増設19,増設20,増設21,増設22,増設23,増設24,増設25,増設26,増設27,増設28,増設29,増設30,使用電力量,ガス使用量,水使用量,お湯使用量,燃料電池ガス使用量,補助熱源ガス使用量,燃料電池お湯使用量,補助熱源お湯使用量,燃料電池排熱回収量
20180201,-,-,-,9726,0,2153,0,1319,866,966,0,0,4226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9726,-,-,-,-,-,-,-,-
20180202,-,-,-,9246,0,1728,240,930,1019,1114,0,0,3961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9246,-,-,-,-,-,-,-,-
20180203,-,-,-,8139,0,908,0,770,667,1144,0,0,4283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8139,-,-,-,-,-,-,-,-
20180204,-,-,-,9496,0,1726,0,866,1299,1136,0,0,4314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9496,-,-,-,-,-,-,-,-
20180205,-,-,-,11181,0,3155,244,1054,1064,1268,0,0,4245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11181,-,-,-,-,-,-,-,-
20180206,-,-,-,10501,0,1752,168,1204,1290,1495,0,0,4454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10501,-,-,-,-,-,-,-,-
20180207,-,-,-,11680,0,2547,304,1281,1696,1899,0,0,3986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11680,-,-,-,-,-,-,-,-
20180208,-,-,-,10179,0,2546,0,983,908,1151,0,0,4390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10179,-,-,-,-,-,-,-,-
20180209,-,-,-,9739,0,1341,241,969,1507,1607,0,0,3925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9739,-,-,-,-,-,-,-,-
20180210,-,-,-,7444,0,0,0,1194,1703,1241,0,0,3126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7444,-,-,-,-,-,-,-,-
20180211,-,-,-,7836,0,742,0,1004,924,1115,0,0,3735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7836,-,-,-,-,-,-,-,-
20180212,-,-,-,9672,0,705,0,1106,1864,1566,0,0,4290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9672,-,-,-,-,-,-,-,-
20180213,-,-,-,12066,0,2896,229,1071,1908,1606,0,0,4384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12066,-,-,-,-,-,-,-,-
20180214,-,-,-,7548,0,416,232,1252,588,830,0,0,3808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7548,-,-,-,-,-,-,-,-
20180215,-,-,-,7912,0,0,217,1360,1554,1430,0,0,3142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7912,-,-,-,-,-,-,-,-
20180216,-,-,-,8112,0,0,219,1272,1392,1141,0,0,3839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8112,-,-,-,-,-,-,-,-
20180217,-,-,-,9181,0,1489,0,1085,1225,1307,0,0,3837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9181,-,-,-,-,-,-,-,-
20180218,-,-,-,8470,0,894,0,1186,1054,1306,0,0,3807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8470,-,-,-,-,-,-,-,-
20180219,-,-,-,7867,0,0,222,1373,1268,1542,0,0,3259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7867,-,-,-,-,-,-,-,-
