計測日時,太陽光発電(創蓄パワコン),蓄電池充電,蓄電池放電,主幹買電,主幹売電,リビング台所AC,洋室AC 玄関,台所浴室 電灯コンセント,座敷リビング 電灯,洋室 玄関 WC 電灯,寝室 AC,未使用,座敷 AC,温風ヒーター,増設1,増設2,増設3,増設4,増設5,増設6,増設7,増設8,増設9,増設10,増設11,増設12,増設13,増設14,増設15,増設16,増設17,増設18,増設19,増設20,増設21,増設22,増設23,増設24,増設25,増設26,増設27,増設28,増設29,増設30,使用電力量,ガス使用量,水使用量,お湯使用量,燃料電池ガス使用量,補助熱源ガス使用量,燃料電池お湯使用量,補助熱源お湯使用量,燃料電池排熱回収量
201803170000+0900,-,-,-,593,0,0,0,331,49,0,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,593,-,-,-,-,-,-,-,-
201803170030+0900,-,-,-,658,0,0,0,291,46,0,315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,658,-,-,-,-,-,-,-,-
201803170100+0900,-,-,-,668,0,0,0,288,44,15,314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,668,-,-,-,-,-,-,-,-
201803170130+0900,-,-,-,634,0,0,0,288,43,6,292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,634,-,-,-,-,-,-,-,-
201803170200+0900,-,-,-,617,0,0,0,292,41,0,277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,617,-,-,-,-,-,-,-,-
201803170230+0900,-,-,-,694,0,0,0,294,41,31,323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,694,-,-,-,-,-,-,-,-
201803170300+0900,-,-,-,742,0,0,0,288,41,88,317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,742,-,-,-,-,-,-,-,-
201803170330+0900,-,-,-,659,0,0,0,282,41,13,318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,659,-,-,-,-,-,-,-,-
201803170400+0900,-,-,-,636,0,0,0,273,41,0,316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,636,-,-,-,-,-,-,-,-
201803170430+0900,-,-,-,648,0,0,0,285,42,0,315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,648,-,-,-,-,-,-,-,-
201803170500+0900,-,-,-,650,0,0,0,289,41,0,314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,650,-,-,-,-,-,-,-,-
201803170530+0900,-,-,-,834,0,0,0,286,229,0,313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,834,-,-,-,-,-,-,-,-
201803170600+0900,-,-,-,661,0,0,0,281,63,0,311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,661,-,-,-,-,-,-,-,-
201803170630+0900,-,-,-,684,0,0,0,273,65,0,339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,684,-,-,-,-,-,-,-,-
201803170700+0900,-,-,-,710,0,0,0,282,65,0,358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,710,-,-,-,-,-,-,-,-
201803170730+0900,-,-,-,534,0,0,0,100,65,0,362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,534,-,-,-,-,-,-,-,-
201803170800+0900,-,-,-,463,0,0,0,72,65,0,320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,463,-,-,-,-,-,-,-,-
201803170830+0900,-,-,-,553,0,117,0,89,69,0,272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,553,-,-,-,-,-,-,-,-
201803170900+0900,-,-,-,1299,0,523,0,298,183,0,281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1299,-,-,-,-,-,-,-,-
201803170930+0900,-,-,-,781,0,457,0,123,62,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,781,-,-,-,-,-,-,-,-
201803171000+0900,-,-,-,553,0,379,0,109,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,553,-,-,-,-,-,-,-,-
201803171030+0900,-,-,-,946,0,299,0,83,76,0,479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,946,-,-,-,-,-,-,-,-
201803171100+0900,-,-,-,491,0,0,0,112,69,0,305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,491,-,-,-,-,-,-,-,-
201803171130+0900,-,-,-,423,0,0,0,79,69,49,219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,423,-,-,-,-,-,-,-,-
201803171200+0900,-,-,-,512,0,0,0,122,212,41,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,512,-,-,-,-,-,-,-,-
201803171230+0900,-,-,-,355,0,0,0,131,88,0,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,355,-,-,-,-,-,-,-,-
201803171300+0900,-,-,-,334,0,0,0,115,91,0,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,334,-,-,-,-,-,-,-,-
201803171330+0900,-,-,-,410,0,0,0,117,155,0,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,410,-,-,-,-,-,-,-,-
