計測日時,太陽光発電(創蓄パワコン),蓄電池充電,蓄電池放電,主幹買電,主幹売電,リビングAC,2F寝室AC・客間照明,客間AC,離れAC,居間・離れ・照明・TV,KC電源・冷蔵庫・洗濯機,未使用,外冷蔵庫,和寝室AC,増設1,増設2,増設3,増設4,増設5,増設6,増設7,増設8,増設9,増設10,増設11,増設12,増設13,増設14,増設15,増設16,増設17,増設18,増設19,増設20,増設21,増設22,増設23,増設24,増設25,増設26,増設27,増設28,増設29,増設30,使用電力量,ガス使用量,水使用量,お湯使用量,燃料電池ガス使用量,補助熱源ガス使用量,燃料電池お湯使用量,補助熱源お湯使用量,燃料電池排熱回収量
20180201,-,-,-,22071,0,0,1050,0,0,1704,7845,0,263,3205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22071,-,-,-,-,-,-,-,-
20180202,-,-,-,30708,0,4248,243,0,0,2932,8065,0,390,4876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30708,-,-,-,-,-,-,-,-
20180203,-,-,-,38891,0,6233,637,0,0,4555,10532,0,311,4154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38891,-,-,-,-,-,-,-,-
20180204,-,-,-,33046,0,2898,831,0,0,4583,9621,0,297,3816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33046,-,-,-,-,-,-,-,-
20180205,-,-,-,31550,0,1393,1436,0,0,4179,10270,0,286,3537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31550,-,-,-,-,-,-,-,-
20180206,-,-,-,31140,0,0,925,0,0,4640,9255,0,284,3449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31140,-,-,-,-,-,-,-,-
20180207,-,-,-,31441,0,0,1155,0,0,5682,7881,0,281,4043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31441,-,-,-,-,-,-,-,-
20180208,-,-,-,27482,0,0,710,0,0,3815,8125,0,282,4305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27482,-,-,-,-,-,-,-,-
20180209,-,-,-,23616,0,0,697,0,0,3507,7979,0,294,3887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23616,-,-,-,-,-,-,-,-
20180210,-,-,-,23492,0,0,1261,0,0,3312,8567,0,320,2564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23492,-,-,-,-,-,-,-,-
20180211,-,-,-,24405,0,0,459,0,0,4576,8720,0,307,3171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24405,-,-,-,-,-,-,-,-
20180212,-,-,-,32210,0,0,871,0,0,4819,8857,0,294,3707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32210,-,-,-,-,-,-,-,-
