計測日時,太陽光発電(創蓄パワコン),蓄電池充電,蓄電池放電,主幹買電,主幹売電,太陽光発電,エアコン・キッチン,エコキュート,ＩＨ・キッチン,炊飯器冷蔵庫レンジ洗濯機,2階子供部屋エアコン,未使用,キッチン玄関・照明,照明・和室,増設1,増設2,増設3,増設4,増設5,増設6,増設7,増設8,増設9,増設10,増設11,増設12,増設13,増設14,増設15,増設16,増設17,増設18,増設19,増設20,増設21,増設22,増設23,増設24,増設25,増設26,増設27,増設28,増設29,増設30,使用電力量,ガス使用量,水使用量,お湯使用量,燃料電池ガス使用量,補助熱源ガス使用量,燃料電池お湯使用量,補助熱源お湯使用量,燃料電池排熱回収量
20180601,-,-,-,11438,52154,59086,0,3460,1486,4183,0,0,4942,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18370,-,-,-,-,-,-,-,-
20180602,-,-,-,11504,46390,55099,0,4027,2532,4229,0,0,5194,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20213,-,-,-,-,-,-,-,-
20180603,-,-,-,11492,34636,42120,0,2521,2546,3816,0,0,4559,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18976,-,-,-,-,-,-,-,-
20180604,-,-,-,12715,40906,47788,0,3361,1712,4582,0,0,4877,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19597,-,-,-,-,-,-,-,-
20180605,-,-,-,16890,4324,9991,0,3501,2158,4443,0,0,5407,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22557,-,-,-,-,-,-,-,-
20180606,-,-,-,11891,13530,17923,0,2867,1122,4031,0,0,4496,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16284,-,-,-,-,-,-,-,-
20180607,-,-,-,12275,29907,37609,0,3123,2290,5303,0,0,4854,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19977,-,-,-,-,-,-,-,-
20180608,-,-,-,13149,29142,35293,226,2040,1800,4748,0,0,5671,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19300,-,-,-,-,-,-,-,-
20180609,-,-,-,10245,36685,43411,353,2807,1019,3874,0,0,4574,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16971,-,-,-,-,-,-,-,-
20180610,-,-,-,12758,15158,21520,875,2469,1812,3473,0,0,6024,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19120,-,-,-,-,-,-,-,-
