計測日時,太陽光発電(創蓄パワコン),蓄電池充電,蓄電池放電,主幹買電,主幹売電,食器洗乾燥機・キッチン,ＩＨ・キッチン,エコキュート,エアコン・リビング,エアコン・主寝室,冷蔵庫・キッチン,未使用,洋室テレビ,洗濯機・洗面,増設1,増設2,増設3,増設4,増設5,増設6,増設7,増設8,増設9,増設10,増設11,増設12,増設13,増設14,増設15,増設16,増設17,増設18,増設19,増設20,増設21,増設22,増設23,増設24,増設25,増設26,増設27,増設28,増設29,増設30,使用電力量,ガス使用量,水使用量,お湯使用量,燃料電池ガス使用量,補助熱源ガス使用量,燃料電池お湯使用量,補助熱源お湯使用量,燃料電池排熱回収量
20180401,-,-,-,13253,0,530,0,3184,0,179,2023,0,208,1956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13253,-,-,-,-,-,-,-,-
20180402,-,-,-,13511,0,1028,825,665,0,195,2125,0,356,2196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13511,-,-,-,-,-,-,-,-
20180403,-,-,-,15552,0,1014,447,3503,0,0,2100,0,369,1847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15552,-,-,-,-,-,-,-,-
20180404,-,-,-,13358,0,1005,253,2357,0,0,2268,0,167,1990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13358,-,-,-,-,-,-,-,-
20180405,-,-,-,14518,0,1027,97,2826,0,0,2123,0,169,2473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14518,-,-,-,-,-,-,-,-
20180406,-,-,-,13304,0,1031,441,2418,0,0,2080,0,437,2387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13304,-,-,-,-,-,-,-,-
20180407,-,-,-,23254,0,1093,929,3227,0,5041,3101,0,2044,2398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23254,-,-,-,-,-,-,-,-
20180408,-,-,-,23523,0,1138,0,6869,0,3171,1711,0,544,2254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23523,-,-,-,-,-,-,-,-
20180409,-,-,-,13238,0,1071,38,675,0,1975,1868,0,348,2084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13238,-,-,-,-,-,-,-,-
20180410,-,-,-,15124,0,1056,0,3533,0,0,1901,0,297,2611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15124,-,-,-,-,-,-,-,-
20180411,-,-,-,14658,0,1026,930,2369,0,0,2178,0,218,2592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14658,-,-,-,-,-,-,-,-
20180412,-,-,-,13708,0,1028,313,2282,0,0,2138,0,175,2156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13708,-,-,-,-,-,-,-,-
