計測日時,太陽光発電(創蓄パワコン),蓄電池充電,蓄電池放電,主幹買電,主幹売電,主寝室AC,冷蔵庫,リビングTV,リビング照明,食洗機,洗濯機,未使用,電子レンジ,洋室AC,増設1,増設2,増設3,増設4,増設5,増設6,増設7,増設8,増設9,増設10,増設11,増設12,増設13,増設14,増設15,増設16,増設17,増設18,増設19,増設20,増設21,増設22,増設23,増設24,増設25,増設26,増設27,増設28,増設29,増設30,使用電力量,ガス使用量,水使用量,お湯使用量,燃料電池ガス使用量,補助熱源ガス使用量,燃料電池お湯使用量,補助熱源お湯使用量,燃料電池排熱回収量
20180601,-,-,-,18322,0,0,2034,1421,3322,729,260,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18322,-,-,-,-,-,-,-,-
20180602,-,-,-,23427,0,194,2289,1520,4120,177,471,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23427,-,-,-,-,-,-,-,-
20180603,-,-,-,24096,0,664,3082,2602,4738,801,254,0,81,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24096,-,-,-,-,-,-,-,-
20180604,-,-,-,20582,0,333,2695,1207,3379,961,221,0,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20582,-,-,-,-,-,-,-,-
20180605,-,-,-,23931,0,119,2121,1421,3399,783,198,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23931,-,-,-,-,-,-,-,-
20180606,-,-,-,23586,0,70,2023,1954,3228,754,331,0,77,259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23586,-,-,-,-,-,-,-,-
20180607,-,-,-,22368,0,329,2198,1554,3049,766,154,0,210,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22368,-,-,-,-,-,-,-,-
20180608,-,-,-,24667,0,601,2718,1602,3238,1493,207,0,77,883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24667,-,-,-,-,-,-,-,-
20180609,-,-,-,23325,0,287,2164,1923,3568,682,256,0,76,419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23325,-,-,-,-,-,-,-,-
20180610,-,-,-,24872,0,375,3332,1580,3923,622,259,0,81,555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24872,-,-,-,-,-,-,-,-
20180611,-,-,-,24120,0,0,2046,1207,3641,571,256,0,93,286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24120,-,-,-,-,-,-,-,-
20180612,-,-,-,20060,0,0,1966,1672,3360,616,253,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20060,-,-,-,-,-,-,-,-
20180613,-,-,-,21190,0,0,1892,1665,3803,847,243,0,95,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21190,-,-,-,-,-,-,-,-
20180614,-,-,-,23515,0,0,2236,1666,3923,1613,282,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23515,-,-,-,-,-,-,-,-
20180615,-,-,-,21809,0,0,2236,1238,3640,753,290,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21809,-,-,-,-,-,-,-,-
20180616,-,-,-,20417,0,166,2204,1796,3646,1515,260,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20417,-,-,-,-,-,-,-,-
20180617,-,-,-,26700,0,892,3530,2215,4597,1278,286,0,1183,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26700,-,-,-,-,-,-,-,-
20180618,-,-,-,20681,0,611,2368,1340,3133,628,199,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20681,-,-,-,-,-,-,-,-
