計測日時,太陽光発電(創蓄パワコン),蓄電池充電,蓄電池放電,主幹買電,主幹売電,座敷・中間エアコン,セイコ・エアコン,冷蔵庫,茶の間・TV・エアコン,茶の間電灯,セイコ電灯,未使用,キッチン,２F電源,増設1,増設2,増設3,増設4,増設5,増設6,増設7,増設8,増設9,増設10,増設11,増設12,増設13,増設14,増設15,増設16,増設17,増設18,増設19,増設20,増設21,増設22,増設23,増設24,増設25,増設26,増設27,増設28,増設29,増設30,使用電力量,ガス使用量,水使用量,お湯使用量,燃料電池ガス使用量,補助熱源ガス使用量,燃料電池お湯使用量,補助熱源お湯使用量,燃料電池排熱回収量
20171101,-,-,-,9130,0,35,0,989,752,1645,253,0,2284,1100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9130,-,-,-,-,-,-,-,-
20171102,-,-,-,9714,0,52,0,1250,780,1318,532,0,2468,1143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9714,-,-,-,-,-,-,-,-
20171103,-,-,-,10265,0,62,0,1299,986,1306,546,0,2661,991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10265,-,-,-,-,-,-,-,-
20171104,-,-,-,10743,0,21,0,1192,909,1893,831,0,2564,995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10743,-,-,-,-,-,-,-,-
20171105,-,-,-,9136,0,38,0,1187,911,1730,14,0,2293,981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9136,-,-,-,-,-,-,-,-
20171106,-,-,-,9519,0,33,0,771,901,1692,261,0,2586,946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9519,-,-,-,-,-,-,-,-
20171107,-,-,-,9386,0,59,0,916,748,1791,32,0,2432,994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9386,-,-,-,-,-,-,-,-
20171108,-,-,-,11277,0,91,0,1327,912,2327,14,0,2801,1449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11277,-,-,-,-,-,-,-,-
20171109,-,-,-,7406,0,20,0,954,224,1389,0,0,2246,1112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7406,-,-,-,-,-,-,-,-
20171110,-,-,-,8684,0,59,0,647,480,1329,42,0,2309,1584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8684,-,-,-,-,-,-,-,-
20171111,-,-,-,10599,0,16,0,1016,817,2386,379,0,2522,1228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10599,-,-,-,-,-,-,-,-
20171112,-,-,-,10453,0,28,0,826,1138,2494,0,0,2023,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10453,-,-,-,-,-,-,-,-
20171113,-,-,-,9883,0,3,0,1191,866,2127,63,0,2173,1181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9883,-,-,-,-,-,-,-,-
20171114,-,-,-,12577,0,99,0,1748,868,2486,669,0,2607,1219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12577,-,-,-,-,-,-,-,-
20171115,-,-,-,9700,0,131,0,914,857,1580,66,0,2310,1195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9700,-,-,-,-,-,-,-,-
20171116,-,-,-,14239,0,5,3003,1001,696,1617,1607,0,2366,1303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14239,-,-,-,-,-,-,-,-
20171117,-,-,-,12387,0,3,0,1001,1048,3818,3,0,2298,1225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12387,-,-,-,-,-,-,-,-
20171118,-,-,-,10405,0,12,0,882,815,2561,0,0,2284,1346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10405,-,-,-,-,-,-,-,-
20171119,-,-,-,10971,0,18,0,960,1016,2522,0,0,2021,1132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10971,-,-,-,-,-,-,-,-
20171120,-,-,-,10739,0,129,0,800,827,2937,0,0,1957,1214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10739,-,-,-,-,-,-,-,-
20171121,-,-,-,10453,0,53,0,1295,862,2415,1,0,1906,1321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10453,-,-,-,-,-,-,-,-
20171122,-,-,-,10362,0,28,0,1122,714,2937,0,0,2043,1229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10362,-,-,-,-,-,-,-,-
20171123,-,-,-,13937,0,100,0,1273,840,3703,4,0,2657,2307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13937,-,-,-,-,-,-,-,-
20171124,-,-,-,10310,0,129,0,978,960,2620,3,0,1926,1251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10310,-,-,-,-,-,-,-,-
20171125,-,-,-,10872,0,106,0,777,744,2771,2,0,2354,1282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10872,-,-,-,-,-,-,-,-
20171126,-,-,-,10627,0,43,0,1174,1043,2101,0,0,2603,1269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10627,-,-,-,-,-,-,-,-
20171127,-,-,-,10964,0,18,0,1356,762,2275,7,0,2538,1475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10964,-,-,-,-,-,-,-,-
20171128,-,-,-,10094,0,40,0,1219,775,1600,10,0,2726,1208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10094,-,-,-,-,-,-,-,-
20171129,-,-,-,9577,0,71,432,911,718,1720,293,0,2404,1266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9577,-,-,-,-,-,-,-,-
20171130,-,-,-,9001,0,47,0,960,555,1783,28,0,2453,1236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9001,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
