計測日時,太陽光発電(創蓄パワコン),蓄電池充電,蓄電池放電,主幹買電,主幹売電,リビングAC・200V,IHヒーター・200V,主寝室AC,キッチンAC,冷蔵庫・キッチン電灯コン,洗濯機・居間TV電灯コン,未使用,2F電灯コンセント,井戸ポンプ・ボイラー,無効1,無効2,無効3,無効4,無効5,無効6,無効7,無効8,無効9,無効10,無効11,無効12,無効13,無効14,無効15,無効16,無効17,無効18,無効19,無効20,無効21,無効22,無効23,無効24,無効25,無効26,無効27,無効28,無効29,無効30,使用電力量,ガス使用量,水使用量,お湯使用量,燃料電池ガス使用量,補助熱源ガス使用量,燃料電池お湯使用量,補助熱源お湯使用量,燃料電池排熱回収量
20180401,-,-,-,9133,0,0,1090,0,0,2928,1614,0,1323,783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9133,-,-,-,-,-,-,-,-
20180402,-,-,-,9420,0,0,931,0,0,3291,1655,0,1337,694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9420,-,-,-,-,-,-,-,-
20180403,-,-,-,8831,0,0,782,0,0,3139,1747,0,1219,636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8831,-,-,-,-,-,-,-,-
20180404,-,-,-,9421,0,0,870,0,0,3463,1563,0,1228,669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9421,-,-,-,-,-,-,-,-
20180405,-,-,-,8900,0,0,1323,0,0,3186,1497,0,1233,356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8900,-,-,-,-,-,-,-,-
20180406,-,-,-,13266,0,0,858,0,0,3326,1606,0,1151,579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13266,-,-,-,-,-,-,-,-
20180407,-,-,-,9242,0,0,938,0,0,2948,1730,0,1204,533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9242,-,-,-,-,-,-,-,-
20180408,-,-,-,10710,0,0,1412,0,0,2744,2152,0,1503,758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10710,-,-,-,-,-,-,-,-
20180409,-,-,-,8669,0,0,1051,0,0,2858,1405,0,1259,575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8669,-,-,-,-,-,-,-,-
20180410,-,-,-,9676,0,0,895,0,0,3526,1603,0,1294,649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9676,-,-,-,-,-,-,-,-
20180411,-,-,-,9477,0,0,1038,0,0,3469,1639,0,1429,581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9477,-,-,-,-,-,-,-,-
20180412,-,-,-,9366,0,0,1063,0,0,2999,1857,0,1269,621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9366,-,-,-,-,-,-,-,-
20180413,-,-,-,8686,0,0,682,0,0,3306,1496,0,1252,621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8686,-,-,-,-,-,-,-,-
20180414,-,-,-,11869,0,0,408,0,0,2606,1239,0,1043,441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11869,-,-,-,-,-,-,-,-
20180415,-,-,-,13431,0,0,994,0,0,3474,1944,0,1529,652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13431,-,-,-,-,-,-,-,-
20180416,-,-,-,8837,0,0,819,0,0,3098,1484,0,1285,599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8837,-,-,-,-,-,-,-,-
20180417,-,-,-,12570,0,0,891,0,0,3106,1971,0,1268,603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12570,-,-,-,-,-,-,-,-
20180418,-,-,-,9386,0,0,877,0,0,3458,1677,0,1300,621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9386,-,-,-,-,-,-,-,-
20180419,-,-,-,10400,0,0,1443,0,0,3347,1688,0,1508,651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10400,-,-,-,-,-,-,-,-
20180420,-,-,-,9332,0,0,1084,0,0,3225,1706,0,1218,739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9332,-,-,-,-,-,-,-,-
20180421,-,-,-,7871,0,0,591,0,0,2873,1342,0,1265,540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7871,-,-,-,-,-,-,-,-
20180422,-,-,-,10413,0,0,2001,0,0,3402,1606,0,1212,1206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10413,-,-,-,-,-,-,-,-
20180423,-,-,-,9858,0,0,686,0,0,3675,1885,0,1550,729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9858,-,-,-,-,-,-,-,-
20180424,-,-,-,13681,0,0,721,0,0,3335,1710,0,1181,604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13681,-,-,-,-,-,-,-,-
20180425,-,-,-,12591,0,0,1325,0,0,3350,1708,0,1313,573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12591,-,-,-,-,-,-,-,-
20180426,-,-,-,7566,0,0,439,0,0,2652,1219,0,1390,530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7566,-,-,-,-,-,-,-,-
20180427,-,-,-,7671,0,0,392,0,0,2894,1266,0,1354,486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7671,-,-,-,-,-,-,-,-
20180428,-,-,-,8075,0,0,457,0,0,2867,1526,0,1409,560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8075,-,-,-,-,-,-,-,-
20180429,-,-,-,8491,0,0,726,0,0,2817,1639,0,1472,556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8491,-,-,-,-,-,-,-,-
