計測日時,太陽光発電(創蓄パワコン),蓄電池充電,蓄電池放電,主幹買電,主幹売電,リビングエアコン,主寝室エアコン,和室エアコン,倉庫照明・冷蔵庫・冷凍庫,LDK電灯コンセント,洗濯機・玄関洗面コンセン,未使用,和室・電灯コンセント,2F電灯・コンセント,増設1,増設2,増設3,増設4,増設5,増設6,増設7,増設8,増設9,増設10,増設11,増設12,増設13,増設14,増設15,増設16,増設17,増設18,増設19,増設20,増設21,増設22,増設23,増設24,増設25,増設26,増設27,増設28,増設29,増設30,使用電力量,ガス使用量,水使用量,お湯使用量,燃料電池ガス使用量,補助熱源ガス使用量,燃料電池お湯使用量,補助熱源お湯使用量,燃料電池排熱回収量
20180401,-,-,-,19764,0,0,0,126,5212,6271,4042,0,3148,628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19764,-,-,-,-,-,-,-,-
20180402,-,-,-,21025,0,0,0,491,4266,7872,4499,0,2982,498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21025,-,-,-,-,-,-,-,-
20180403,-,-,-,16891,0,0,0,0,3249,7694,3958,0,1216,402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16891,-,-,-,-,-,-,-,-
20180404,-,-,-,17964,0,0,0,200,3230,8095,4184,0,1400,321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17964,-,-,-,-,-,-,-,-
20180405,-,-,-,16540,0,0,0,0,3211,6644,4131,0,1794,420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16540,-,-,-,-,-,-,-,-
20180406,-,-,-,16433,0,0,0,0,3069,6649,4017,0,1880,382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16433,-,-,-,-,-,-,-,-
20180407,-,-,-,17865,0,0,0,0,2853,7160,4155,0,2621,784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17865,-,-,-,-,-,-,-,-
20180408,-,-,-,22345,0,0,2423,0,2815,7911,4506,0,3723,710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22345,-,-,-,-,-,-,-,-
20180409,-,-,-,17546,0,0,0,0,3262,6606,4292,0,2398,690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17546,-,-,-,-,-,-,-,-
20180410,-,-,-,17434,0,0,0,0,3729,6727,4129,0,1573,842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17434,-,-,-,-,-,-,-,-
20180411,-,-,-,17540,0,0,0,0,4329,7421,3942,0,730,659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17540,-,-,-,-,-,-,-,-
20180412,-,-,-,17726,0,0,0,0,5215,6800,3885,0,620,763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17726,-,-,-,-,-,-,-,-
20180413,-,-,-,17623,0,0,0,0,5138,6531,4043,0,886,538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17623,-,-,-,-,-,-,-,-
20180414,-,-,-,18986,0,0,0,0,5127,6558,4088,0,2265,654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18986,-,-,-,-,-,-,-,-
20180415,-,-,-,20116,0,0,0,0,5002,6826,4384,0,3055,682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20116,-,-,-,-,-,-,-,-
20180416,-,-,-,17504,0,0,0,0,5155,6340,4127,0,918,596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17504,-,-,-,-,-,-,-,-
20180417,-,-,-,16647,0,0,0,0,3587,7339,4233,0,508,464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16647,-,-,-,-,-,-,-,-
20180418,-,-,-,16684,0,0,0,0,3737,6784,4333,0,782,609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16684,-,-,-,-,-,-,-,-
20180419,-,-,-,18598,0,0,0,0,3451,7125,4281,0,3047,365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18598,-,-,-,-,-,-,-,-
