計測日時,太陽光発電(創蓄パワコン),蓄電池充電,蓄電池放電,主幹買電,主幹売電,LDK・AC,2F寝室AC（娘部屋）,冷蔵庫,レンジ・台所電灯コンセン,洗濯機・浴室・和室・玄関,2F洋室電灯コンセント,未使用,2F洋室AC,1F和室AC,増設1,増設2,増設3,増設4,増設5,増設6,増設7,増設8,増設9,増設10,増設11,増設12,増設13,増設14,増設15,増設16,増設17,増設18,増設19,増設20,増設21,増設22,増設23,増設24,増設25,増設26,増設27,増設28,増設29,増設30,使用電力量,ガス使用量,水使用量,お湯使用量,燃料電池ガス使用量,補助熱源ガス使用量,燃料電池お湯使用量,補助熱源お湯使用量,燃料電池排熱回収量
20180301,-,-,-,12894,0,0,0,312,7161,1419,3354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12894,-,-,-,-,-,-,-,-
20180302,-,-,-,10837,0,0,0,275,4662,1826,3481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10837,-,-,-,-,-,-,-,-
20180303,-,-,-,12435,0,0,0,534,6053,1760,3455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12435,-,-,-,-,-,-,-,-
20180304,-,-,-,9487,0,0,0,678,4287,1396,2647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9487,-,-,-,-,-,-,-,-
20180305,-,-,-,6690,0,0,0,674,1997,1975,1731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6690,-,-,-,-,-,-,-,-
20180306,-,-,-,9650,0,0,0,467,5086,1384,2199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9650,-,-,-,-,-,-,-,-
20180307,-,-,-,9900,0,0,0,370,5402,1591,2083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9900,-,-,-,-,-,-,-,-
20180308,-,-,-,14490,0,0,0,566,7033,1805,4522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14490,-,-,-,-,-,-,-,-
20180309,-,-,-,10230,0,0,0,454,5658,1786,1836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10230,-,-,-,-,-,-,-,-
20180310,-,-,-,11039,0,0,0,260,5332,1533,3280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11039,-,-,-,-,-,-,-,-
20180311,-,-,-,10235,0,0,0,321,4503,1428,3388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10235,-,-,-,-,-,-,-,-
20180312,-,-,-,8360,0,0,0,460,3823,1419,2058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8360,-,-,-,-,-,-,-,-
20180313,-,-,-,8521,0,0,0,560,2662,1342,3434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8521,-,-,-,-,-,-,-,-
20180314,-,-,-,9143,0,0,0,786,3209,1297,3457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9143,-,-,-,-,-,-,-,-
20180315,-,-,-,11161,0,0,0,704,4444,1629,3893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11161,-,-,-,-,-,-,-,-
20180316,-,-,-,11380,0,0,0,610,5200,1769,3265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11380,-,-,-,-,-,-,-,-
20180317,-,-,-,12278,0,0,0,502,5046,1440,4639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12278,-,-,-,-,-,-,-,-
