計測日時,太陽光発電(創蓄パワコン),蓄電池充電,蓄電池放電,主幹買電,主幹売電,TVレンジ食器乾照明,エアコン28照明,未使用,未使用,リビングエアコン25,洗濯機冷蔵庫二階照明,未使用,エアコン25,未使用,増設1,増設2,増設3,増設4,増設5,増設6,増設7,増設8,増設9,増設10,増設11,増設12,増設13,増設14,増設15,増設16,増設17,増設18,増設19,増設20,増設21,増設22,増設23,増設24,増設25,増設26,増設27,増設28,増設29,増設30,使用電力量,ガス使用量,水使用量,お湯使用量,燃料電池ガス使用量,補助熱源ガス使用量,燃料電池お湯使用量,補助熱源お湯使用量,燃料電池排熱回収量
20180101,-,-,-,34911,0,6112,12204,0,0,12971,3543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34911,-,-,-,-,-,-,-,-
20180102,-,-,-,33567,0,6166,11696,0,0,11818,3798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33567,-,-,-,-,-,-,-,-
20180103,-,-,-,31799,0,6105,10343,0,0,11455,3807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31799,-,-,-,-,-,-,-,-
20180104,-,-,-,33409,0,6004,11347,0,0,12171,3791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33409,-,-,-,-,-,-,-,-
20180105,-,-,-,34636,0,6305,10828,0,0,13723,3689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34636,-,-,-,-,-,-,-,-
20180106,-,-,-,32423,0,5182,9421,0,0,13971,3712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32423,-,-,-,-,-,-,-,-
20180107,-,-,-,38354,0,5803,11535,0,0,17231,3689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38354,-,-,-,-,-,-,-,-
20180108,-,-,-,26406,0,5340,7223,0,0,9929,3838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26406,-,-,-,-,-,-,-,-
20180109,-,-,-,37708,0,4560,13654,0,0,15974,3448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37708,-,-,-,-,-,-,-,-
20180110,-,-,-,45000,0,5870,16006,0,0,19365,3700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45000,-,-,-,-,-,-,-,-
20180111,-,-,-,46866,0,5259,17274,0,0,20734,3535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46866,-,-,-,-,-,-,-,-
20180112,-,-,-,43164,0,6752,15435,0,0,17699,3208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43164,-,-,-,-,-,-,-,-
20180113,-,-,-,46245,0,5738,17466,0,0,19571,3404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46245,-,-,-,-,-,-,-,-
20180114,-,-,-,43981,0,5612,14792,0,0,19885,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43981,-,-,-,-,-,-,-,-
20180115,-,-,-,43817,0,5413,15116,0,0,19395,3820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43817,-,-,-,-,-,-,-,-
20180116,-,-,-,26709,0,4796,7762,0,0,10412,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26709,-,-,-,-,-,-,-,-
20180117,-,-,-,20173,0,5116,5366,0,0,5692,3852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20173,-,-,-,-,-,-,-,-
20180118,-,-,-,31472,0,6089,8839,0,0,12649,3809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31472,-,-,-,-,-,-,-,-
20180119,-,-,-,30239,0,5818,7431,0,0,12938,3945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30239,-,-,-,-,-,-,-,-
20180120,-,-,-,32294,0,5419,8714,0,0,14386,3663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32294,-,-,-,-,-,-,-,-
20180121,-,-,-,33893,0,5462,9915,0,0,14703,3732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33893,-,-,-,-,-,-,-,-
20180122,-,-,-,38153,0,5486,12598,0,0,16336,3661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38153,-,-,-,-,-,-,-,-
20180123,-,-,-,39363,0,5664,12773,0,0,17233,3611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39363,-,-,-,-,-,-,-,-
20180124,-,-,-,40158,0,6098,10582,0,0,19883,3501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40158,-,-,-,-,-,-,-,-
20180125,-,-,-,44818,0,5356,15601,0,0,20331,3455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44818,-,-,-,-,-,-,-,-
20180126,-,-,-,47200,0,6552,17535,0,0,19493,3559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47200,-,-,-,-,-,-,-,-
20180127,-,-,-,44657,0,5613,16894,0,0,18409,3668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44657,-,-,-,-,-,-,-,-
20180128,-,-,-,45159,0,5872,14081,0,0,21075,4015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45159,-,-,-,-,-,-,-,-
20180129,-,-,-,39106,0,5950,8585,0,0,20579,3833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39106,-,-,-,-,-,-,-,-
20180130,-,-,-,41857,0,4987,13542,0,0,19569,3662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41857,-,-,-,-,-,-,-,-
20180131,-,-,-,44019,0,5396,15922,0,0,19160,3464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44019,-,-,-,-,-,-,-,-
