計測日時,太陽光発電(創蓄パワコン),蓄電池充電,蓄電池放電,主幹買電,主幹売電,キッチンAC,2F　東寝室AC,LTV　電灯 奥AC,和室AC,2F　西AC,冷蔵庫　洗濯機,未使用,四畳半洋室AC,2F　電灯　コンセント,増設1,増設2,増設3,増設4,増設5,増設6,増設7,増設8,増設9,増設10,増設11,増設12,増設13,増設14,増設15,増設16,増設17,増設18,増設19,増設20,増設21,増設22,増設23,増設24,増設25,増設26,増設27,増設28,増設29,増設30,使用電力量,ガス使用量,水使用量,お湯使用量,燃料電池ガス使用量,補助熱源ガス使用量,燃料電池お湯使用量,補助熱源お湯使用量,燃料電池排熱回収量
20171201,-,-,-,19078,0,0,0,10591,0,0,5480,0,0,2780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19078,-,-,-,-,-,-,-,-
20171202,-,-,-,17076,0,0,0,9948,0,0,4630,0,0,2217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17076,-,-,-,-,-,-,-,-
20171203,-,-,-,16186,0,0,0,9230,0,0,5198,0,0,1606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16186,-,-,-,-,-,-,-,-
20171204,-,-,-,17074,0,0,0,9287,0,0,4598,0,0,2964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17074,-,-,-,-,-,-,-,-
20171205,-,-,-,16293,0,0,0,8822,0,0,4457,0,0,2823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16293,-,-,-,-,-,-,-,-
20171206,-,-,-,15204,0,0,0,8350,0,0,4537,0,0,2131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15204,-,-,-,-,-,-,-,-
20171207,-,-,-,14068,0,0,0,7694,0,0,4085,0,0,1992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14068,-,-,-,-,-,-,-,-
20171208,-,-,-,14468,0,0,0,7527,0,0,4297,0,0,2324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14468,-,-,-,-,-,-,-,-
20171209,-,-,-,15339,0,0,0,8281,0,0,4802,0,0,1939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15339,-,-,-,-,-,-,-,-
20171210,-,-,-,17836,0,0,0,10048,0,0,4998,0,0,2471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17836,-,-,-,-,-,-,-,-
20171211,-,-,-,15218,0,0,0,8169,0,0,4055,0,0,2681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15218,-,-,-,-,-,-,-,-
20171212,-,-,-,16071,0,0,0,9126,0,0,4204,0,0,2473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16071,-,-,-,-,-,-,-,-
20171213,-,-,-,16608,0,0,0,9108,0,0,4757,0,0,2419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16608,-,-,-,-,-,-,-,-
20171214,-,-,-,14342,0,0,0,7957,0,0,3938,0,0,2107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14342,-,-,-,-,-,-,-,-
20171215,-,-,-,15548,0,0,0,7989,0,0,4716,0,0,2601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15548,-,-,-,-,-,-,-,-
20171216,-,-,-,14887,0,0,0,8489,0,0,3891,0,0,2230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14887,-,-,-,-,-,-,-,-
