計測日時,太陽光発電(創蓄パワコン),蓄電池充電,蓄電池放電,主幹買電,主幹売電,洗濯機・洗面,居間　エアコン,冷蔵庫2,2階リビング照明,母　・テレビ照明,冷蔵庫1,未使用,2階洋室仕事　エアコン,2階洋室服用　エアコン,増設1,増設2,増設3,増設4,増設5,増設6,増設7,増設8,増設9,増設10,増設11,増設12,増設13,増設14,増設15,増設16,増設17,増設18,増設19,増設20,増設21,増設22,増設23,増設24,増設25,増設26,増設27,増設28,増設29,増設30,使用電力量,ガス使用量,水使用量,お湯使用量,燃料電池ガス使用量,補助熱源ガス使用量,燃料電池お湯使用量,補助熱源お湯使用量,燃料電池排熱回収量
20180101,-,-,-,49784,0,3181,2446,1451,0,3573,2109,0,90,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49784,-,-,-,-,-,-,-,-
20180102,-,-,-,42567,0,2162,1743,1321,0,3356,2352,0,18,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42567,-,-,-,-,-,-,-,-
20180103,-,-,-,51374,0,4858,2329,1488,0,3467,2603,0,13,217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51374,-,-,-,-,-,-,-,-
20180104,-,-,-,45801,0,3226,2201,1232,0,3348,2870,0,36,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45801,-,-,-,-,-,-,-,-
20180105,-,-,-,34510,0,2971,905,1258,0,3827,2472,0,3,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34510,-,-,-,-,-,-,-,-
20180106,-,-,-,49050,0,2862,1584,1142,0,3471,2437,0,50,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49050,-,-,-,-,-,-,-,-
20180107,-,-,-,39252,0,3027,1871,1347,0,3787,3013,0,26,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39252,-,-,-,-,-,-,-,-
20180108,-,-,-,37733,0,2957,2384,1470,0,3767,2869,0,92,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37733,-,-,-,-,-,-,-,-
20180109,-,-,-,33854,0,3708,1107,1313,0,3467,2487,0,0,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33854,-,-,-,-,-,-,-,-
20180110,-,-,-,43356,0,2737,2508,1185,0,3978,2731,0,0,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43356,-,-,-,-,-,-,-,-
20180111,-,-,-,53296,0,3357,1696,1132,0,4051,3172,0,0,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53296,-,-,-,-,-,-,-,-
20180112,-,-,-,53021,0,3444,1558,1158,0,4030,3287,0,51,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53021,-,-,-,-,-,-,-,-
20180113,-,-,-,57987,0,2545,2415,1282,0,3589,3128,0,43,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57987,-,-,-,-,-,-,-,-
20180114,-,-,-,53949,0,2595,2318,1534,0,3789,3454,0,105,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53949,-,-,-,-,-,-,-,-
20180115,-,-,-,44582,0,4576,1522,1320,0,4178,3074,0,0,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44582,-,-,-,-,-,-,-,-
20180116,-,-,-,39059,0,2688,2080,1463,0,3752,2845,0,0,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39059,-,-,-,-,-,-,-,-
20180117,-,-,-,34405,0,3370,1786,1533,0,3814,3056,0,0,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34405,-,-,-,-,-,-,-,-
20180118,-,-,-,39450,0,3505,1176,1436,0,3936,2681,0,1,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39450,-,-,-,-,-,-,-,-
20180119,-,-,-,31316,0,2787,1585,1320,0,3418,3190,0,32,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31316,-,-,-,-,-,-,-,-
20180120,-,-,-,48595,0,2581,2427,1516,0,3640,2856,0,0,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48595,-,-,-,-,-,-,-,-
20180121,-,-,-,47581,0,3013,2157,1589,0,3535,3234,0,27,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47581,-,-,-,-,-,-,-,-
20180122,-,-,-,46460,0,3546,1819,1394,0,3980,3190,0,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46460,-,-,-,-,-,-,-,-
20180123,-,-,-,51659,0,4025,2242,1328,0,3636,3311,0,0,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51659,-,-,-,-,-,-,-,-
20180124,-,-,-,65126,0,2658,1074,1303,0,4137,3131,0,1,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65126,-,-,-,-,-,-,-,-
20180125,-,-,-,52460,0,2346,1130,1146,0,3951,2825,0,5,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52460,-,-,-,-,-,-,-,-
20180126,-,-,-,58293,0,2366,1547,984,0,3926,3404,0,5,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58293,-,-,-,-,-,-,-,-
20180127,-,-,-,53702,0,2531,1178,1103,0,3566,2412,0,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53702,-,-,-,-,-,-,-,-
20180128,-,-,-,54468,0,2330,3126,1302,0,3870,3390,0,204,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54468,-,-,-,-,-,-,-,-
20180129,-,-,-,42363,0,3871,2182,1137,0,4050,3060,0,97,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42363,-,-,-,-,-,-,-,-
20180130,-,-,-,52303,0,2457,2228,1223,0,3792,3025,0,86,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52303,-,-,-,-,-,-,-,-
20180131,-,-,-,55024,0,2544,2362,1263,0,3984,3169,0,133,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55024,-,-,-,-,-,-,-,-
