計測日時,太陽光発電(創蓄パワコン),蓄電池充電,蓄電池放電,主幹買電,主幹売電,食器洗乾燥機・キッチン,ＩＨ・キッチン,エコキュート,エアコン・リビング,エアコン・主寝室,冷蔵庫・キッチン,未使用,洋室テレビ,洗濯機・洗面,増設1,増設2,増設3,増設4,増設5,増設6,増設7,増設8,増設9,増設10,増設11,増設12,増設13,増設14,増設15,増設16,増設17,増設18,増設19,増設20,増設21,増設22,増設23,増設24,増設25,増設26,増設27,増設28,増設29,増設30,使用電力量,ガス使用量,水使用量,お湯使用量,燃料電池ガス使用量,補助熱源ガス使用量,燃料電池お湯使用量,補助熱源お湯使用量,燃料電池排熱回収量
20180201,-,-,-,31114,0,1277,0,6504,0,8106,2865,0,2051,2937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31114,-,-,-,-,-,-,-,-
20180202,-,-,-,29655,0,1314,292,4833,0,9667,2062,0,4052,2784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29655,-,-,-,-,-,-,-,-
20180203,-,-,-,32273,0,1281,0,9104,0,8965,2423,0,1142,2224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32273,-,-,-,-,-,-,-,-
20180204,-,-,-,35218,0,698,0,1806,0,10939,6259,0,5611,2419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35218,-,-,-,-,-,-,-,-
20180205,-,-,-,14028,0,5,0,5796,0,2426,1423,0,39,2189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14028,-,-,-,-,-,-,-,-
20180206,-,-,-,5986,0,0,0,784,0,0,1358,0,5,2180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5986,-,-,-,-,-,-,-,-
20180207,-,-,-,6590,0,0,0,1376,0,0,1347,0,11,2200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6590,-,-,-,-,-,-,-,-
20180208,-,-,-,19964,0,723,0,5015,0,4415,1225,0,3877,2615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19964,-,-,-,-,-,-,-,-
20180209,-,-,-,37135,0,1338,743,5911,0,12349,4082,0,2648,2918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37135,-,-,-,-,-,-,-,-
20180210,-,-,-,27209,0,1251,0,6034,0,6537,1574,0,4107,2565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27209,-,-,-,-,-,-,-,-
20180211,-,-,-,33599,0,1332,0,6494,0,8502,1820,0,7325,2383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33599,-,-,-,-,-,-,-,-
