計測日時,太陽光発電(創蓄パワコン),蓄電池充電,蓄電池放電,主幹買電,主幹売電,リビング TV 電灯,食器洗乾燥機・キッチン,エアコン・主寝室,エアコン・リビング,キッチン・冷蔵庫 照明,洗濯機・洗面,未使用,キッチン・炊飯器,電子レンジ,増設1,増設2,増設3,増設4,増設5,増設6,増設7,増設8,増設9,増設10,増設11,増設12,増設13,増設14,増設15,増設16,増設17,増設18,増設19,増設20,増設21,増設22,増設23,増設24,増設25,増設26,増設27,増設28,増設29,増設30,使用電力量,ガス使用量,水使用量,お湯使用量,燃料電池ガス使用量,補助熱源ガス使用量,燃料電池お湯使用量,補助熱源お湯使用量,燃料電池排熱回収量
20180501,-,-,-,11963,0,2665,164,0,0,2010,1868,0,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11963,-,-,-,-,-,-,-,-
20180502,-,-,-,14933,0,2101,92,0,0,2348,588,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14933,-,-,-,-,-,-,-,-
20180503,-,-,-,13860,0,3329,206,0,0,2497,1346,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13860,-,-,-,-,-,-,-,-
20180504,-,-,-,13326,0,3198,337,0,0,2689,1478,0,283,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13326,-,-,-,-,-,-,-,-
20180505,-,-,-,15588,0,3659,440,0,0,2815,2413,0,140,202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15588,-,-,-,-,-,-,-,-
20180506,-,-,-,13845,0,2613,179,0,0,2351,1191,0,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13845,-,-,-,-,-,-,-,-
20180507,-,-,-,18904,0,2643,321,0,0,2657,1829,0,177,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18904,-,-,-,-,-,-,-,-
20180508,-,-,-,16259,0,2256,340,0,0,2245,1280,0,276,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16259,-,-,-,-,-,-,-,-
20180509,-,-,-,12016,0,2172,182,0,0,2243,2154,0,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12016,-,-,-,-,-,-,-,-
20180510,-,-,-,13427,0,1988,110,0,0,2259,1618,0,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13427,-,-,-,-,-,-,-,-
20180511,-,-,-,12085,0,2670,314,0,0,2352,1331,0,383,204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12085,-,-,-,-,-,-,-,-
20180512,-,-,-,12069,0,2301,48,0,0,2259,730,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12069,-,-,-,-,-,-,-,-
20180513,-,-,-,14642,0,2888,428,0,0,2935,2099,0,157,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14642,-,-,-,-,-,-,-,-
20180514,-,-,-,15372,0,2663,367,0,0,2802,953,0,160,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15372,-,-,-,-,-,-,-,-
20180515,-,-,-,11508,0,2518,226,0,0,3010,667,0,249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11508,-,-,-,-,-,-,-,-
20180516,-,-,-,13650,0,2375,260,0,0,2594,768,0,273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13650,-,-,-,-,-,-,-,-
20180517,-,-,-,11931,0,2869,153,21,0,2293,586,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11931,-,-,-,-,-,-,-,-
20180518,-,-,-,13149,0,2670,148,0,0,2563,722,0,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13149,-,-,-,-,-,-,-,-
20180519,-,-,-,13575,0,3084,196,0,0,2475,1618,0,17,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13575,-,-,-,-,-,-,-,-
20180520,-,-,-,14537,0,2553,346,0,0,2678,1398,0,179,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14537,-,-,-,-,-,-,-,-
20180521,-,-,-,14172,0,2201,230,0,0,2474,695,0,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14172,-,-,-,-,-,-,-,-
20180522,-,-,-,10085,0,1722,165,0,0,2471,332,0,129,217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10085,-,-,-,-,-,-,-,-
20180523,-,-,-,14754,0,1968,233,0,0,2454,1363,0,267,223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14754,-,-,-,-,-,-,-,-
20180524,-,-,-,14198,0,2163,243,0,0,2532,732,0,209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14198,-,-,-,-,-,-,-,-
