計測日時,太陽光発電(創蓄パワコン),蓄電池充電,蓄電池放電,主幹買電,主幹売電,2Fエアコン,洗濯機冷蔵庫,IHクッキングヒーター,エコキュート,エアコン・主寝室,キッチンリビング・電灯,未使用,キッチンコンセント,和室エアコン2,増設1,増設2,増設3,増設4,増設5,増設6,増設7,増設8,増設9,増設10,増設11,増設12,増設13,増設14,増設15,増設16,増設17,増設18,増設19,増設20,増設21,増設22,増設23,増設24,増設25,増設26,増設27,増設28,増設29,増設30,使用電力量,ガス使用量,水使用量,お湯使用量,燃料電池ガス使用量,補助熱源ガス使用量,燃料電池お湯使用量,補助熱源お湯使用量,燃料電池排熱回収量
20180601,-,-,-,14792,0,896,898,340,4284,92,2350,0,1664,3261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14792,-,-,320,-,-,-,-,-
20180602,-,-,-,16279,0,759,1073,1066,2527,1626,2248,0,2082,3679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16279,-,-,185,-,-,-,-,-
20180603,-,-,-,16058,0,1017,1079,1029,1747,389,4099,0,2139,3089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16058,-,-,169,-,-,-,-,-
20180604,-,-,-,12370,0,420,1055,475,1674,621,2197,0,2125,2413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12370,-,-,129,-,-,-,-,-
20180605,-,-,-,12915,0,758,976,322,1330,245,2323,0,1853,3633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12915,-,-,355,-,-,-,-,-
20180606,-,-,-,15443,0,676,984,1062,3439,157,2726,0,2060,3210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15443,-,-,469,-,-,-,-,-
20180607,-,-,-,16979,0,920,1127,813,3128,104,4015,0,2105,3180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16979,-,-,341,-,-,-,-,-
20180608,-,-,-,15119,0,930,1204,622,2345,71,2630,0,2214,3502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15119,-,-,140,-,-,-,-,-
20180609,-,-,-,11628,0,643,1250,121,1430,0,2241,0,2222,1927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11628,-,-,437,-,-,-,-,-
20180610,-,-,-,17589,0,872,1173,868,3296,1218,3495,0,2115,2983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17589,-,-,332,-,-,-,-,-
20180611,-,-,-,12710,0,728,1081,595,2086,45,1980,0,2068,2776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12710,-,-,365,-,-,-,-,-
20180612,-,-,-,14999,0,1107,977,954,3221,60,2355,0,1875,3418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14999,-,-,210,-,-,-,-,-
20180613,-,-,-,12769,0,886,1008,1086,1697,176,2014,0,1826,3045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12769,-,-,320,-,-,-,-,-
20180614,-,-,-,14575,0,750,941,1009,3002,172,2400,0,1903,3336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14575,-,-,349,-,-,-,-,-
20180615,-,-,-,13742,0,896,992,978,2871,127,2363,0,1902,2569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13742,-,-,188,-,-,-,-,-
20180616,-,-,-,10633,0,299,940,79,1493,95,1915,0,1675,3385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10633,-,-,330,-,-,-,-,-
20180617,-,-,-,17977,0,458,1359,109,3097,1809,4192,0,2182,3152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17977,-,-,137,-,-,-,-,-
20180618,-,-,-,15789,0,732,1089,248,1033,2127,2384,0,2052,3713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15789,-,-,360,-,-,-,-,-
20180619,-,-,-,16697,0,959,1076,965,2612,359,3036,0,2241,3809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16697,-,-,408,-,-,-,-,-
20180620,-,-,-,15182,0,1006,1071,1230,2887,471,2585,0,2080,2727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15182,-,-,183,-,-,-,-,-
20180621,-,-,-,13388,0,482,1078,368,1447,86,3201,0,2017,3450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13388,-,-,426,-,-,-,-,-
20180622,-,-,-,14518,0,263,1099,92,3578,487,2371,0,1995,3379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14518,-,-,199,-,-,-,-,-
20180623,-,-,-,13068,0,740,1111,686,1272,404,2595,0,1991,2901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13068,-,-,341,-,-,-,-,-
20180624,-,-,-,16116,0,781,1026,302,3095,165,3400,0,2099,4080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16116,-,-,375,-,-,-,-,-
20180625,-,-,-,20167,0,663,1126,1448,2923,2735,4227,0,2172,3108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20167,-,-,254,-,-,-,-,-
20180626,-,-,-,16558,0,592,1192,703,1705,297,2919,0,2276,4130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16558,-,-,346,-,-,-,-,-
20180627,-,-,-,22149,0,796,1264,1219,2767,844,4369,0,2407,4439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22149,-,-,252,-,-,-,-,-
20180628,-,-,-,16598,0,324,1321,123,1429,972,2265,0,2368,4631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16598,-,-,283,-,-,-,-,-
20180629,-,-,-,16656,0,519,1190,1471,2202,564,3052,0,2226,3123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16656,-,-,295,-,-,-,-,-
20180630,-,-,-,16197,0,700,1137,882,1992,580,2769,0,2434,3987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16197,-,-,99,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
