計測日時,太陽光発電(創蓄パワコン),蓄電池充電,蓄電池放電,主幹買電,主幹売電,エアコン・リビング,ＩＨ・キッチン,エコキュート,キッチン・冷蔵庫　電レ,テレビ,リビング・キッチン照明　,未使用,キッチン　炊飯器,洗濯機、トイレ照明　便座,増設1,増設2,増設3,増設4,増設5,増設6,増設7,増設8,増設9,増設10,増設11,増設12,増設13,増設14,増設15,増設16,増設17,増設18,増設19,増設20,増設21,増設22,増設23,増設24,増設25,増設26,増設27,増設28,増設29,増設30,使用電力量,ガス使用量,水使用量,お湯使用量,燃料電池ガス使用量,補助熱源ガス使用量,燃料電池お湯使用量,補助熱源お湯使用量,燃料電池排熱回収量
20180101,-,-,-,30118,0,17355,0,10254,2467,1515,2221,0,647,756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30118,-,-,-,-,-,-,-,-
20180102,-,-,-,29391,0,20968,0,10360,2877,783,988,0,271,562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29391,-,-,-,-,-,-,-,-
20180103,-,-,-,26301,0,15920,0,7254,2941,1425,2105,0,0,441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26301,-,-,-,-,-,-,-,-
20180104,-,-,-,21064,0,12946,0,8468,2267,613,1882,0,479,780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21064,-,-,-,-,-,-,-,-
20180105,-,-,-,9779,0,2657,0,6737,2358,1402,1251,0,507,683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9779,-,-,-,-,-,-,-,-
20180106,-,-,-,9704,0,3044,0,2015,2497,951,951,0,504,682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9704,-,-,-,-,-,-,-,-
20180107,-,-,-,6954,0,1250,0,12240,2014,457,828,0,641,866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6954,-,-,-,-,-,-,-,-
20180108,-,-,-,11463,0,4516,0,2780,2567,995,1396,0,171,633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11463,-,-,-,-,-,-,-,-
20180109,-,-,-,11164,0,5157,0,6450,2337,634,845,0,625,546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11164,-,-,-,-,-,-,-,-
20180110,-,-,-,12173,0,3438,0,4071,2829,1180,1437,0,466,948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12173,-,-,-,-,-,-,-,-
